"","Species_name","Alt_name.notes","Genome","Assembly","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel.Pattern","Confidence","Parvorder","tips"
"Kogia_sima","Kogia sima","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 0","Odontoceti","Kogia_sima"
"Lagenodelphis_hosei","Lagenodelphis hosei","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0,3","Odontoceti","Lagenodelphis_hosei"
"Lagenorhynchus_acutus","Lagenorhynchus acutus","Leucopleurus acutus","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","5,3","Odontoceti","Lagenorhynchus_acutus"
"Lagenorhynchus_albirostris","Lagenorhynchus albirostris","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Lagenorhynchus_albirostris"
"Lagenorhynchus_australis","Lagenorhynchus australis","Sagmatias australis",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2, 2, 2, 0, 2","Odontoceti","Lagenorhynchus_australis"
"Lagenorhynchus_obliquidens","Lagenorhynchus obliquidens","Sagmatias obliquidens","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal/crepuscular in summer. diurnal in captivity ","5,4,3,2","Odontoceti","Lagenorhynchus_obliquidens"
"Lagenorhynchus_obscurus","Lagenorhynchus obscurus","Sagmatias obscurus",NA,NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (subpopulation in New zealand)","4,2,4,2,4,2,2","Odontoceti","Lagenorhynchus_obscurus"
"Lipotes_vexillifer","Lipotes vexillifer","Possibly extinct","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","3,5,5","Odontoceti","Lipotes_vexillifer"
"Lissodelphis_borealis","Lissodelphis borealis","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_borealis"
"Lissodelphis_peronii","Lissodelphis peronii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_peronii"
"Megaptera_novaeangliae","Megaptera novaeangliae","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,3","Mysticeti","Megaptera_novaeangliae"
"Mesoplodon_bidens","Mesoplodon bidens","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4","Odontoceti","Mesoplodon_bidens"
"Mesoplodon_densirostris","Mesoplodon densirostris","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,3,4,3,3","Odontoceti","Mesoplodon_densirostris"
"Mesoplodon_europaeus","Mesoplodon europaeus","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3","Odontoceti","Mesoplodon_europaeus"
"Mesoplodon_ginkgodens","Mesoplodon ginkgodens","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3","Odontoceti","Mesoplodon_ginkgodens"
"Mesoplodon_grayi","Mesoplodon grayi","Insufficient info",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","0.5","Odontoceti","Mesoplodon_grayi"
"Mesoplodon_hotaula","Mesoplodon hotaula","Not in mam tree",NA,NA,"diurnal","diurnal","diurnal","diurnal","","3","Odontoceti","Mesoplodon_hotaula"
"Mesoplodon_stejnegeri","Mesoplodon stejnegeri","Limited data","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3","Odontoceti","Mesoplodon_stejnegeri"
"Monodon_monoceros","Monodon monoceros","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,4,4,4,3,4,4","Odontoceti","Monodon_monoceros"
