"tips","max_crep","Order","Family","Genus"
"Crateromys_heaneyi","nocturnal","Rodentia","Muridae","Crateromys"
"Crateromys_paulus","nocturnal","Rodentia","Muridae","Crateromys"
"Crateromys_schadenbergi","nocturnal","Rodentia","Muridae","Crateromys"
"Cremnomys_cutchicus","nocturnal","Rodentia","Muridae","Cremnomys"
"Cremnomys_elvira","nocturnal","Rodentia","Muridae","Cremnomys"
"Cricetomys_emini","nocturnal","Rodentia","Nesomyidae","Cricetomys"
"Cricetomys_gambianus","nocturnal","Rodentia","Nesomyidae","Cricetomys"
"Cricetulus_alticola","cathemeral","Primates",NA,NA
"Cricetulus_barabensis","cathemeral","Rodentia","Cricetidae","Cricetulus"
"Cricetulus_kamensis","cathemeral","Rodentia","Cricetidae","Cricetulus"
"Cricetulus_lama","cathemeral","Rodentia","Cricetidae","Cricetulus"
"Cricetulus_longicaudatus","cathemeral","Rodentia","Cricetidae","Cricetulus"
"Cricetulus_migratorius","cathemeral","Rodentia","Cricetidae","Cricetulus"
"Cricetulus_sokolovi","cathemeral","Rodentia","Cricetidae","Cricetulus"
"Cricetulus_tibetanus","cathemeral","Primates",NA,NA
"Cricetus_cricetus","crepuscular","Rodentia","Cricetidae","Cricetus"
"Crocidura_aleksandrisi","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_andamanensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_arabica","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_arispa","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_armenica","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_attenuata","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_baluensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_beatus","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_beccarii","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_brunnea","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_canariensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_caspica","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_cyanea","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_dsinezumi","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_elongata","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_flavescens","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_foetida","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_fuliginosa","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_fuscomurina","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_gmelini","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_grandis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_grayi","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_hikmiya","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_hilliana","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_hirta","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_hispida","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_horsfieldii","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_hutanis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_indochinensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_jenkinsi","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_katinka","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_lasiura","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_lea","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_lepidura","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_leucodon","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_levicula","diurnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_luna","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_malayana","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_mariquensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_maxi","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_mindorus","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_miya","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_monticola","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_musseri","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_negligens","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_negrina","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_nicobarica","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_nigripes","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_orientalis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_orii","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_pachyura","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_palawanensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_paradoxura","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_pergrisea","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_pullata","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_ramona","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_rapax","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_rhoditis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_russula","cathemeral","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_serezkyensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_shantungensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_sibirica","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_sicula","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_suaveolens","diurnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_susiana","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_tanakae","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_tenuis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_trichura","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_vorax","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_vosmaeri","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_watasei","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_wuchihensis","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_zarudnyi","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocidura_zimmermanni","nocturnal","Eulipotyphla","Soricidae","Crocidura"
"Crocuta_crocuta","nocturnal","Carnivora","Hyaenidae","Crocuta"
"Crossarchus_alexandri","diurnal","Carnivora","Herpestidae","Crossarchus"
"Crossarchus_ansorgei","diurnal","Carnivora","Herpestidae","Crossarchus"
"Crossarchus_obscurus","diurnal","Carnivora","Herpestidae","Crossarchus"
"Crossarchus_platycephalus","diurnal","Carnivora","Herpestidae","Crossarchus"
"Crossomys_moncktoni","diurnal","Rodentia","Muridae","Crossomys"
"Crunomys_celebensis","diurnal","Rodentia","Muridae","Crunomys"
"Crunomys_fallax","diurnal","Rodentia","Muridae","Crunomys"
"Crunomys_melanius","diurnal","Rodentia","Muridae","Crunomys"
"Crunomys_suncoides","diurnal","Rodentia","Muridae","Crunomys"
"Cryptonanus_agricolai","nocturnal","Didelphimorphia","Didelphidae","Cryptonanus"
"Cryptonanus_chacoensis","nocturnal","Didelphimorphia","Didelphidae","Cryptonanus"
"Cryptonanus_guahybae","nocturnal","Didelphimorphia","Didelphidae","Cryptonanus"
"Cryptonanus_unduaviensis","nocturnal","Didelphimorphia","Didelphidae","Cryptonanus"
"Cryptoprocta_ferox","cathemeral","Carnivora","Eupleridae","Cryptoprocta"
"Cryptotis_alticola","cathemeral","Primates",NA,NA
"Cryptotis_brachyonyx","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_colombiana","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_endersi","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_equatoris","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_goldmani","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_goodwini","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_gracilis","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_griseoventris","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_hondurensis","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_magna","cathemeral","Primates",NA,NA
"Cryptotis_mayensis","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_medellinia","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_mera","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_meridensis","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_merriami","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_mexicana","cathemeral","Primates",NA,NA
"Cryptotis_montivaga","cathemeral","Primates",NA,NA
"Cryptotis_nelsoni","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_nigrescens","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_obscura","cathemeral","Primates",NA,NA
"Cryptotis_orophila","nocturnal","Primates",NA,NA
"Cryptotis_parva","cathemeral","Primates",NA,NA
"Cryptotis_peregrina","cathemeral","Primates",NA,NA
"Cryptotis_peruviensis","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_phillipsii","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_squamipes","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_tamensis","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_thomasi","cathemeral","Eulipotyphla","Soricidae","Cryptotis"
"Cryptotis_tropicalis","nocturnal","Eulipotyphla","Soricidae","Cryptotis"
"Ctenodactylus_gundi","diurnal","Rodentia","Ctenodactylidae","Ctenodactylus"
"Ctenodactylus_vali","diurnal","Rodentia","Ctenodactylidae","Ctenodactylus"
"Cuniculus_paca","nocturnal","Rodentia","Cuniculidae","Cuniculus"
"Cuniculus_taczanowskii","nocturnal","Rodentia","Cuniculidae","Cuniculus"
"Cuon_alpinus","crepuscular","Carnivora","Canidae","Cuon"
"Cuscomys_ashaninka","nocturnal","Rodentia","Abrocomidae","Cuscomys"
"Cyclopes_didactylus","nocturnal","Pilosa","Cyclopedidae","Cyclopes"
"Cynictis_penicillata","diurnal","Carnivora","Herpestidae","Cynictis"
"Cynocephalus_volans","nocturnal","Primates","Cynocephalidae","Cynocephalus"
"Cynogale_bennettii","nocturnal","Carnivora","Viverridae","Cynogale"
"Cynomops_abrasus","nocturnal","Chiroptera","Molossidae","Cynomops"
"Cynomops_greenhalli","nocturnal","Chiroptera","Molossidae","Cynomops"
"Cynomops_mexicanus","nocturnal","Chiroptera","Molossidae","Cynomops"
"Cynomops_paranus","nocturnal","Chiroptera","Molossidae","Cynomops"
"Cynomops_planirostris","nocturnal","Chiroptera","Molossidae","Cynomops"
"Cynomys_gunnisoni","diurnal","Rodentia","Sciuridae","Cynomys"
"Cynomys_leucurus","diurnal","Rodentia","Sciuridae","Cynomys"
"Cynomys_ludovicianus","diurnal","Rodentia","Sciuridae","Cynomys"
"Cynomys_mexicanus","diurnal","Rodentia","Sciuridae","Cynomys"
"Cynomys_parvidens","diurnal","Rodentia","Sciuridae","Cynomys"
"Cynopterus_brachyotis","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cynopterus_horsfieldii","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cynopterus_luzoniensis","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cynopterus_minutus","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cynopterus_nusatenggara","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cynopterus_sphinx","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cynopterus_titthaecheilus","nocturnal","Chiroptera","Pteropodidae","Cynopterus"
"Cyttarops_alecto","nocturnal","Chiroptera","Emballonuridae","Cyttarops"
"Dacnomys_millardi","nocturnal","Rodentia","Muridae","Dacnomys"
"Dactylomys_boliviensis","nocturnal","Rodentia","Echimyidae","Dactylomys"
"Dactylomys_dactylinus","nocturnal","Rodentia","Echimyidae","Dactylomys"
"Dactylomys_peruanus","nocturnal","Rodentia","Echimyidae","Dactylomys"
"Dactylonax_palpator","nocturnal","Primates",NA,NA
"Dactylopsila_megalura","nocturnal","Diprotodontia","Petauridae","Dactylopsila"
"Dactylopsila_tatei","nocturnal","Diprotodontia","Petauridae","Dactylopsila"
"Dactylopsila_trivirgata","nocturnal","Diprotodontia","Petauridae","Dactylopsila"
"Dama_dama","diurnal","Artiodactyla","Cervidae","Dama"
"Dama_mesopotamica","nocturnal","Artiodactyla","Cervidae","Dama"
"Damaliscus_lunatus","diurnal","Artiodactyla","Bovidae","Damaliscus"
"Damaliscus_pygargus","diurnal","Artiodactyla","Bovidae","Damaliscus"
"Dasycercus_blythi","cathemeral","Dasyuromorphia","Dasyuridae","Dasycercus"
"Dasycercus_cristicauda","cathemeral","Dasyuromorphia","Dasyuridae","Dasycercus"
"Dasykaluta_rosamondae","nocturnal","Dasyuromorphia","Dasyuridae","Dasykaluta"
"Dasymys_foxi","nocturnal","Rodentia","Muridae","Dasymys"
"Dasymys_incomtus","nocturnal","Rodentia","Muridae","Dasymys"
"Dasymys_montanus","nocturnal","Rodentia","Muridae","Dasymys"
"Dasymys_nudipes","nocturnal","Rodentia","Muridae","Dasymys"
"Dasymys_rufulus","nocturnal","Rodentia","Muridae","Dasymys"
"Dasyprocta_azarae","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_coibae","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_cristata","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_fuliginosa","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_guamara","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_kalinowskii","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_leporina","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_mexicana","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_prymnolopha","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_punctata","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasyprocta_ruatanica","diurnal","Rodentia","Dasyproctidae","Dasyprocta"
"Dasypus_hybridus","nocturnal","Cingulata","Dasypodidae","Dasypus"
"Dasypus_kappleri","nocturnal","Cingulata","Dasypodidae","Dasypus"
"Dasypus_novemcinctus","nocturnal","Cingulata","Dasypodidae","Dasypus"
"Dasypus_pilosus","nocturnal","Cingulata","Dasypodidae","Dasypus"
"Dasypus_sabanicola","crepuscular","Cingulata","Dasypodidae","Dasypus"
"Dasypus_septemcinctus","diurnal","Cingulata","Dasypodidae","Dasypus"
"Dasypus_yepesi","nocturnal","Cingulata","Dasypodidae","Dasypus"
"Dasyuroides_byrnei","nocturnal","Dasyuromorphia","Dasyuridae","Dasyuroides"
"Dasyurus_albopunctatus","nocturnal","Dasyuromorphia","Dasyuridae","Dasyurus"
"Dasyurus_geoffroii","nocturnal","Dasyuromorphia","Dasyuridae","Dasyurus"
"Dasyurus_hallucatus","nocturnal","Dasyuromorphia","Dasyuridae","Dasyurus"
"Dasyurus_maculatus","nocturnal","Dasyuromorphia","Dasyuridae","Dasyurus"
"Dasyurus_spartacus","nocturnal","Dasyuromorphia","Dasyuridae","Dasyurus"
"Dasyurus_viverrinus","nocturnal","Dasyuromorphia","Dasyuridae","Dasyurus"
"Daubentonia_madagascariensis","nocturnal","Primates","Daubentoniidae","Daubentonia"
"Delanymys_brooksi","nocturnal","Rodentia","Nesomyidae","Delanymys"
"Delomys_collinus","nocturnal","Rodentia","Cricetidae","Delomys"
"Delomys_dorsalis","nocturnal","Rodentia","Cricetidae","Delomys"
"Delomys_sublineatus","nocturnal","Rodentia","Cricetidae","Delomys"
"Dendrogale_melanura","diurnal","Scandentia","Tupaiidae","Dendrogale"
"Dendrogale_murina","diurnal","Scandentia","Tupaiidae","Dendrogale"
"Dendrohyrax_arboreus","nocturnal","Hyracoidea","Procaviidae","Dendrohyrax"
"Dendrohyrax_arboreus","nocturnal","Hyracoidea","Procaviidae","Dendrohyrax"
"Dendrohyrax_dorsalis","nocturnal","Hyracoidea","Procaviidae","Dendrohyrax"
"Dendrohyrax_validus","nocturnal","Primates",NA,NA
"Dendrolagus_bennettianus","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_dorianus","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_goodfellowi","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_inustus","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_lumholtzi","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_matschiei","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_mayri","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_mbaiso","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_notatus","cathemeral","Primates",NA,NA
"Dendrolagus_pulcherrimus","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_scottae","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_spadix","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_stellarum","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendrolagus_ursinus","cathemeral","Diprotodontia","Macropodidae","Dendrolagus"
"Dendromus_insignis","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_kahuziensis","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_kivu","nocturnal","Primates",NA,NA
"Dendromus_lovati","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_melanotis","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_mesomelas","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_messorius","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_mystacalis","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_nyikae","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_oreas","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendromus_vernayi","nocturnal","Rodentia","Nesomyidae","Dendromus"
"Dendroprionomys_rousseloti","nocturnal","Rodentia","Nesomyidae","Dendroprionomys"
"Deomys_ferrugineus","crepuscular","Rodentia","Muridae","Deomys"
"Dephomys_defua","nocturnal","Rodentia","Muridae","Dephomys"
"Desmana_moschata","nocturnal","Eulipotyphla","Talpidae","Desmana"
"Desmodilliscus_braueri","nocturnal","Rodentia","Muridae","Desmodilliscus"
"Desmodillus_auricularis","nocturnal","Rodentia","Muridae","Desmodillus"
"Desmodus_rotundus","nocturnal","Chiroptera","Phyllostomidae","Desmodus"
"Diaemus_youngi","nocturnal","Chiroptera","Phyllostomidae","Diaemus"
"Dicerorhinus_sumatrensis","nocturnal","Perissodactyla","Rhinocerotidae","Dicerorhinus"
"Diceros_bicornis","nocturnal","Perissodactyla","Rhinocerotidae","Diceros"
"Diclidurus_albus","nocturnal","Chiroptera","Emballonuridae","Diclidurus"
"Diclidurus_ingens","nocturnal","Chiroptera","Emballonuridae","Diclidurus"
"Diclidurus_isabellus","nocturnal","Chiroptera","Emballonuridae","Diclidurus"
"Diclidurus_scutatus","nocturnal","Chiroptera","Emballonuridae","Diclidurus"
"Dicrostonyx_groenlandicus","cathemeral","Rodentia","Cricetidae","Dicrostonyx"
"Dicrostonyx_hudsonius","cathemeral","Rodentia","Cricetidae","Dicrostonyx"
"Dicrostonyx_richardsoni","cathemeral","Rodentia","Cricetidae","Dicrostonyx"
"Dicrostonyx_torquatus","cathemeral","Rodentia","Cricetidae","Dicrostonyx"
"Didelphis_albiventris","nocturnal","Didelphimorphia","Didelphidae","Didelphis"
"Didelphis_aurita","nocturnal","Didelphimorphia","Didelphidae","Didelphis"
"Didelphis_imperfecta","nocturnal","Didelphimorphia","Didelphidae","Didelphis"
"Didelphis_marsupialis","nocturnal","Didelphimorphia","Didelphidae","Didelphis"
"Didelphis_pernigra","nocturnal","Didelphimorphia","Didelphidae","Didelphis"
"Didelphis_virginiana","nocturnal","Didelphimorphia","Didelphidae","Didelphis"
"Dinaromys_bogdanovi","nocturnal","Rodentia","Cricetidae","Dinaromys"
"Dinomys_branickii","nocturnal","Rodentia","Dinomyidae","Dinomys"
"Diomys_crumpi","nocturnal","Rodentia","Muridae","Diomys"
"Diphylla_ecaudata","nocturnal","Chiroptera","Phyllostomidae","Diphylla"
"Diplogale_hosei","nocturnal","Carnivora","Viverridae","Diplogale"
"Diplomesodon_pulchellum","nocturnal","Eulipotyphla","Soricidae","Diplomesodon"
"Diplomys_caniceps","nocturnal","Rodentia","Echimyidae","Diplomys"
"Diplomys_labilis","nocturnal","Rodentia","Echimyidae","Diplomys"
"Dipodomys_agilis","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_californicus","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_compactus","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_deserti","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_elator","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_gravipes","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_heermanni","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_ingens","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_insularis","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_margaritae","nocturnal","Primates",NA,NA
"Dipodomys_merriami","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_microps","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_nelsoni","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_nitratoides","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_ordii","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_panamintinus","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_phillipsii","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_simulans","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_spectabilis","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_stephensi","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipodomys_venustus","nocturnal","Rodentia","Heteromyidae","Dipodomys"
"Dipus_sagitta","nocturnal","Rodentia","Dipodidae","Dipus"
"Distoechurus_pennatus","nocturnal","Diprotodontia","Acrobatidae","Distoechurus"
"Dobsonia_anderseni","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_beauforti","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_chapmani","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_crenulata","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_emersa","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_exoleta","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_inermis","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_minor","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_moluccensis","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_pannietensis","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_peronii","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_praedatrix","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dobsonia_viridis","nocturnal","Chiroptera","Pteropodidae","Dobsonia"
"Dolichotis_patagonum","diurnal","Rodentia","Caviidae","Dolichotis"
"Dolichotis_salinicola","diurnal","Rodentia","Caviidae","Dolichotis"
"Dologale_dybowskii","diurnal","Carnivora","Herpestidae","Dologale"
"Dorcatragus_megalotis","diurnal","Artiodactyla","Bovidae","Dorcatragus"
"Dorcopsis_atrata","nocturnal","Diprotodontia","Macropodidae","Dorcopsis"
"Dorcopsis_hageni","nocturnal","Diprotodontia","Macropodidae","Dorcopsis"
"Dorcopsis_luctuosa","nocturnal","Diprotodontia","Macropodidae","Dorcopsis"
"Dorcopsis_muelleri","nocturnal","Diprotodontia","Macropodidae","Dorcopsis"
"Dorcopsulus_macleayi","nocturnal","Diprotodontia","Macropodidae","Dorcopsulus"
"Dorcopsulus_vanheurni","nocturnal","Diprotodontia","Macropodidae","Dorcopsulus"
"Dremomys_everetti","diurnal","Rodentia","Sciuridae","Dremomys"
"Dremomys_gularis","diurnal","Rodentia","Sciuridae","Dremomys"
"Dremomys_lokriah","diurnal","Rodentia","Sciuridae","Dremomys"
"Dremomys_pernyi","diurnal","Rodentia","Sciuridae","Dremomys"
"Dremomys_pyrrhomerus","diurnal","Rodentia","Sciuridae","Dremomys"
"Dremomys_rufigenis","diurnal","Rodentia","Sciuridae","Dremomys"
"Dromiciops_gliroides","nocturnal","Microbiotheria","Microbiotheriidae","Dromiciops"
"Dryomys_laniger","nocturnal","Rodentia","Gliridae","Dryomys"
"Dryomys_niethammeri","nocturnal","Rodentia","Gliridae","Dryomys"
"Dryomys_nitedula","nocturnal","Rodentia","Gliridae","Dryomys"
"Dyacopterus_brooksi","nocturnal","Chiroptera","Pteropodidae","Dyacopterus"
"Dyacopterus_spadiceus","nocturnal","Chiroptera","Pteropodidae","Dyacopterus"
"Echimys_chrysurus","nocturnal","Rodentia","Echimyidae","Echimys"
"Echimys_saturnus","nocturnal","Rodentia","Echimyidae","Echimys"
"Echimys_vieirai","nocturnal","Rodentia","Echimyidae","Echimys"
"Echinoprocta_rufescens","nocturnal","Primates",NA,NA
"Echinops_telfairi","nocturnal","Primates",NA,"Echinops"
"Echinosorex_gymnura","nocturnal","Eulipotyphla","Erinaceidae","Echinosorex"
"Echiothrix_centrosa","nocturnal","Rodentia","Muridae","Echiothrix"
"Echiothrix_leucura","nocturnal","Rodentia","Muridae","Echiothrix"
"Echymipera_clara","nocturnal","Peramelemorphia","Peroryctidae","Echymipera"
"Echymipera_davidi","nocturnal","Peramelemorphia","Peroryctidae","Echymipera"
"Echymipera_echinista","nocturnal","Peramelemorphia","Peroryctidae","Echymipera"
"Echymipera_kalubu","nocturnal","Peramelemorphia","Peroryctidae","Echymipera"
"Echymipera_rufescens","nocturnal","Peramelemorphia","Peroryctidae","Echymipera"
"Ectophylla_alba","nocturnal","Chiroptera","Phyllostomidae","Ectophylla"
