"Species_name","Parvorder","Diel_Pattern_2","Diel_Pattern","New_Pattern","Confidence","tips","column","value"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3.1","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3.2","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3.3","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3.4","nocturnal/crepuscular"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3.5","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf3ByS.1","nocturnal"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4.1","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4.2","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4.3","cathemeral"
"Balaenoptera physalus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,3,3,2,3,3,3,4,4","Balaenoptera_physalus","Conf4.4","cathemeral"
"Balaenoptera ricei","Mysticeti","Diurnal","diurnal","diurnal","4,4,3","Balaenoptera_ricei","Conf3.1","nocturnal"
"Balaenoptera ricei","Mysticeti","Diurnal","diurnal","diurnal","4,4,3","Balaenoptera_ricei","Conf4.1","diurnal"
"Balaenoptera ricei","Mysticeti","Diurnal","diurnal","diurnal","4,4,3","Balaenoptera_ricei","Conf4.2","diurnal"
"Berardius arnuxii","Odontoceti","Cathemeral","cathemeral",NA,"0.5,1,1,1,1","Berardius_arnuxii","Conf1.5","unclear/diurnal"
"Berardius bairdii","Odontoceti","Cathemeral","cathemeral","cathemeral","3,4,4,3","Berardius_bairdii","Conf3.1","cathemeral"
"Berardius bairdii","Odontoceti","Cathemeral","cathemeral","cathemeral","3,4,4,3","Berardius_bairdii","Conf3ByS.1","diurnal/cathemeral"
"Berardius bairdii","Odontoceti","Cathemeral","cathemeral","cathemeral","3,4,4,3","Berardius_bairdii","Conf4.1","cathemeral"
"Berardius bairdii","Odontoceti","Cathemeral","cathemeral","cathemeral","3,4,4,3","Berardius_bairdii","Conf4.2","cathemeral"
"Caperea marginata","Mysticeti","Nocturnal","nocturnal","cathemeral","1,1,1,3","Caperea_marginata","Conf3.1","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","Diurnal","diurnal","","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf2.2","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","Diurnal","diurnal","","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf3ByS.1","cathemeral"
"Cephalorhynchus commersonii","Odontoceti","Diurnal","diurnal","","5,2,2,3,2,2","Cephalorhynchus_commersonii","Conf5.1","diurnal"
"Cephalorhynchus eutropia","Odontoceti","Cathemeral","cathemeral","nocturnal/cathemeral","2,2,2,3","Cephalorhynchus_eutropia","Conf2.3","unclear/nocturnal"
"Cephalorhynchus eutropia","Odontoceti","Cathemeral","cathemeral","nocturnal/cathemeral","2,2,2,3","Cephalorhynchus_eutropia","Conf3.1","cathemeral"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf2.1","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf2.2","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf2.3","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf3.1","nocturnal/crepuscular"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf3ByS.1","nocturnal/crepuscular"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf4.1","nocturnal"
"Cephalorhynchus heavisidii","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4,3,4,2,2","Cephalorhynchus_heavisidii","Conf4.2","nocturnal/crepuscular"
"Cephalorhynchus hectori","Odontoceti","Diurnal","diurnal","cathemeral","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3.1","diurnal"
"Cephalorhynchus hectori","Odontoceti","Diurnal","diurnal","cathemeral","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3.2","cathemeral"
"Cephalorhynchus hectori","Odontoceti","Diurnal","diurnal","cathemeral","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3.3","diurnal"
"Cephalorhynchus hectori","Odontoceti","Diurnal","diurnal","cathemeral","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf3.4","cathemeral"
"Cephalorhynchus hectori","Odontoceti","Diurnal","diurnal","cathemeral","4,2,3,3,3,3,2","Cephalorhynchus_hectori","Conf4.1","cathemeral"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf1.1","diurnal"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf3.1","diurnal"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4.1","cathemeral"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4.2","cathemeral"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4.3","nocturnal"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf4.4","diurnal"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf5.1","diurnal"
"Delphinapterus leucas","Odontoceti","Diurnal","diurnal","diurnal/cathemeral","3,5,1,4,4,4,5,4","Delphinapterus_leucas","Conf5.2","cathemeral"
"Delphinus delphis","Odontoceti","Nocturnal","nocturnal","nocturnal","3,2,3,2,3","Delphinus_delphis","Conf3.1","nocturnal"
"Delphinus delphis","Odontoceti","Nocturnal","nocturnal","nocturnal","3,2,3,2,3","Delphinus_delphis","Conf3.2","nocturnal"
"Delphinus delphis","Odontoceti","Nocturnal","nocturnal","nocturnal","3,2,3,2,3","Delphinus_delphis","Conf3.3","nocturnal"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf2.1","diurnal"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf3.1","nocturnal/crepuscular"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf3.2","cathemeral/crepuscular"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf3.3","cathemeral"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf4.1","diurnal"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf5.1","cathemeral"
"Eschrichtius robustus","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","3,3,2,3,5,5,4","Eschrichtius_robustus","Conf5.2","diurnal"
"Eubalaena australis","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf2.1","unclear/crepuscular"
"Eubalaena australis","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf2.3","diurnal"
"Eubalaena australis","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf3.1","cathemeral"
"Eubalaena australis","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf3.2","nocturnal/crepuscular"
"Eubalaena australis","Mysticeti","Nocturnal/crepuscular","crepuscular","diurnal/crepuscular","2,3,3, 2, 2, 3, 2","Eubalaena_australis","Conf3.3","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf1.1","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.1","diurnal/cathemeral"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.2","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.3","nocturnal/crepuscular"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.4","cathemeral/crepuscular"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.5","nocturnal"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.6","cathemeral/crepuscular"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf3.7","nocturnal"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf4.1","cathemeral"
"Eubalaena glacialis","Mysticeti","Nocturnal","nocturnal","cathemeral","4,3,3,1,4,3,3,3,3,3","Eubalaena_glacialis","Conf4.2","cathemeral"
"Eubalaena japonica","Mysticeti","Nocturnal","nocturnal","diurnal","3,2, 2, 3","Eubalaena_japonica","Conf2.1","diurnal"
"Eubalaena japonica","Mysticeti","Nocturnal","nocturnal","diurnal","3,2, 2, 3","Eubalaena_japonica","Conf3.1","nocturnal"
"Eubalaena japonica","Mysticeti","Nocturnal","nocturnal","diurnal","3,2, 2, 3","Eubalaena_japonica","Conf3.2","nocturnal"
"Eubalaena japonica","Mysticeti","Nocturnal","nocturnal","diurnal","3,2, 2, 3","Eubalaena_japonica","Conf3.3","nocturnal/crepuscular"
"Feresa attenuata","Odontoceti","Nocturnal","nocturnal","nocturnal","4, 1, 2","Feresa_attenuata","Conf1.1","nocturnal"
"Feresa attenuata","Odontoceti","Nocturnal","nocturnal","nocturnal","4, 1, 2","Feresa_attenuata","Conf2.1","nocturnal"
"Feresa attenuata","Odontoceti","Nocturnal","nocturnal","nocturnal","4, 1, 2","Feresa_attenuata","Conf4.1","nocturnal"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf3.1","nocturnal/crepuscular"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf3.2","nocturnal"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4.1","nocturnal"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4.2","nocturnal"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4.3","nocturnal"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4.4","nocturnal"
"Globicephala macrorhynchus","Odontoceti","Nocturnal/crepuscular","crepuscular","","4,4,3,4,4,3,4","Globicephala_macrorhynchus","Conf4.5","nocturnal"
"Globicephala melas","Odontoceti","Nocturnal","nocturnal","","4,4,3,2","Globicephala_melas","Conf2.1","unclear/crepuscular"
"Globicephala melas","Odontoceti","Nocturnal","nocturnal","","4,4,3,2","Globicephala_melas","Conf3.1","nocturnal"
"Globicephala melas","Odontoceti","Nocturnal","nocturnal","","4,4,3,2","Globicephala_melas","Conf4.1","nocturnal"
"Globicephala melas","Odontoceti","Nocturnal","nocturnal","","4,4,3,2","Globicephala_melas","Conf4.2","nocturnal"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf2.2","nocturnal"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf2.3","nocturnal"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3.1","nocturnal/crepuscular"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3.2","nocturnal"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3.3","nocturnal/crepuscular"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf3.4","nocturnal"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf4.1","nocturnal/crepuscular"
"Grampus griseus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal","3,2,4 2,2,3,3,3,4","Grampus_griseus","Conf4.2","nocturnal"
"Hyperoodon ampullatus","Odontoceti","Cathemeral","cathemeral","cathemeral","3,3,4,4","Hyperoodon_ampullatus","Conf3.1","nocturnal"
"Hyperoodon ampullatus","Odontoceti","Cathemeral","cathemeral","cathemeral","3,3,4,4","Hyperoodon_ampullatus","Conf3.2","cathemeral"
"Hyperoodon ampullatus","Odontoceti","Cathemeral","cathemeral","cathemeral","3,3,4,4","Hyperoodon_ampullatus","Conf4.1","cathemeral"
"Hyperoodon ampullatus","Odontoceti","Cathemeral","cathemeral","cathemeral","3,3,4,4","Hyperoodon_ampullatus","Conf4.2","cathemeral"
"Hyperoodon planifrons","Odontoceti","Diurnal/crepuscular","crepuscular","diurnal/crepuscular","3,3","Hyperoodon_planifrons","Conf3.1","diurnal"
"Hyperoodon planifrons","Odontoceti","Diurnal/crepuscular","crepuscular","diurnal/crepuscular","3,3","Hyperoodon_planifrons","Conf3.2","diurnal/crepuscular"
"Indopacetus pacificus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","3,3","Indopacetus_pacificus","Conf3.1","nocturnal/crepuscular"
"Indopacetus pacificus","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","3,3","Indopacetus_pacificus","Conf3.2","nocturnal"
"Inia boliviensis","Odontoceti","Nocturnal","nocturnal",NA,"1","Inia_boliviensis","Conf1.1","unclear/nocturnal"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","3,3,3,5,2","Inia_geoffrensis","Conf2.1","unclear/nocturnal"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","3,3,3,5,2","Inia_geoffrensis","Conf3.1","diurnal"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","3,3,3,5,2","Inia_geoffrensis","Conf3.2","nocturnal/cathemeral"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","3,3,3,5,2","Inia_geoffrensis","Conf3.3","cathemeral"
"Inia geoffrensis","Odontoceti","Cathemeral","cathemeral","","3,3,3,5,2","Inia_geoffrensis","Conf5.1","cathemeral"
"Inia humboldtiana","Odontoceti","Nocturnal","nocturnal",NA,"1","Inia_humboldtiana","Conf1.1","unclear/nocturnal"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,1,1,4,3,3","Kogia_breviceps","Conf1.2","nocturnal"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,1,1,4,3,3","Kogia_breviceps","Conf3.1","cathemeral"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,1,1,4,3,3","Kogia_breviceps","Conf3.2","nocturnal/crepuscular"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,1,1,4,3,3","Kogia_breviceps","Conf3.3","cathemeral"
"Kogia breviceps","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,1,1,4,3,3","Kogia_breviceps","Conf4.1","nocturnal/crepuscular"
"Kogia sima","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,2,1,3,3","Kogia_sima","Conf2.1","nocturnal"
"Kogia sima","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,2,1,3,3","Kogia_sima","Conf3.1","cathemeral"
"Kogia sima","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,2,1,3,3","Kogia_sima","Conf3.2","nocturnal/crepuscular"
"Kogia sima","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,2,1,3,3","Kogia_sima","Conf3.3","cathemeral"
"Lagenodelphis hosei","Odontoceti","Nocturnal","nocturnal","nocturnal","1,3","Lagenodelphis_hosei","Conf1.1","unclear/nocturnal"
"Lagenodelphis hosei","Odontoceti","Nocturnal","nocturnal","nocturnal","1,3","Lagenodelphis_hosei","Conf3ByS.1","nocturnal"
"Lagenorhynchus acutus","Odontoceti","Nocturnal","nocturnal","","2,3","Lagenorhynchus_acutus","Conf2.1","diurnal"
"Lagenorhynchus acutus","Odontoceti","Nocturnal","nocturnal","","2,3","Lagenorhynchus_acutus","Conf3ByS.1","nocturnal"
"Lagenorhynchus albirostris","Odontoceti","Nocturnal/crepuscular","crepuscular","nocturnal/crepuscular","2,4","Lagenorhynchus_albirostris","Conf4.1","nocturnal/crepuscular"
"Lagenorhynchus australis","Odontoceti","Nocturnal","nocturnal",NA,"2, 2, 2, 1, 2","Lagenorhynchus_australis","Conf2.1","nocturnal"
"Lagenorhynchus australis","Odontoceti","Nocturnal","nocturnal",NA,"2, 2, 2, 1, 2","Lagenorhynchus_australis","Conf2.4","nocturnal"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3.1","nocturnal/crepuscular"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3.2","cathemeral"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3.3","nocturnal"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf3ByS.1","cathemeral/crepuscular"
"Lagenorhynchus obliquidens","Odontoceti","Nocturnal/crepuscular","crepuscular","","3,5,3,3,3","Lagenorhynchus_obliquidens","Conf5.1","diurnal"
"Lagenorhynchus obscurus","Odontoceti","Cathemeral","cathemeral","cathemeral","4,2,2,2,4,4,3,2,3","Lagenorhynchus_obscurus","Conf2.1","unclear/cathemeral"
"Lagenorhynchus obscurus","Odontoceti","Cathemeral","cathemeral","cathemeral","4,2,2,2,4,4,3,2,3","Lagenorhynchus_obscurus","Conf2.4","unclear/nocturnal"
