"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Indopacetus pacificus","Indopacetus pacificus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Indopacetus_pacificus"
"Lagenorhynchus acutus","Lagenorhynchus acutus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Lagenorhynchus_acutus"
"Lagenorhynchus albirostris","Lagenorhynchus albirostris","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Lagenorhynchus_albirostris"
"Lagenorhynchus obliquidens","Lagenorhynchus obliquidens","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Lagenorhynchus_obliquidens"
"Neophocaena asiaeorientalis","Neophocaena asiaeorientalis","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neophocaena_asiaeorientalis"
"Neophocaena sunameri","Neophocaena sunameri","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neophocaena_sunameri"
"Platanista gangetica","Platanista gangetica","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Platanista_gangetica"
"Platanista minor","Platanista minor","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Platanista_minor"
"Sousa chinensis","Sousa chinensis","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sousa_chinensis"
"Stenella attenuata","Stenella attenuata","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Stenella_attenuata"
"Steno bredanensis","Steno bredanensis","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Steno_bredanensis"
