"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Connochaetes taurinus","Connochaetes taurinus",NA,"cathemeral","cathemeral","cathemeral","Connochaetes_taurinus"
"Dama dama","Dama dama",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Dama_dama"
"Damaliscus lunatus","Damaliscus lunatus",NA,"cathemeral","cathemeral","cathemeral","Damaliscus_lunatus"
"Damaliscus pygargus","Damaliscus pygargus","diurnal","diurnal","diurnal","diurnal","Damaliscus_pygargus"
"Dorcatragus megalotis","Dorcatragus megalotis","diurnal","diurnal","diurnal","diurnal","Dorcatragus_megalotis"
"Eudorcas thomsonii","Eudorcas thomsonii",NA,"cathemeral","cathemeral","cathemeral","Eudorcas_thomsonii"
"Gazella bennettii","Gazella bennettii","diurnal","diurnal","diurnal","diurnal","Gazella_bennettii"
"Gazella dorcas","Gazella dorcas","diurnal","diurnal/crepuscular","crepuscular","diurnal","Gazella_dorcas"
"Gazella gazella","Gazella gazella",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Gazella_gazella"
"Gazella subgutturosa","Gazella subgutturosa","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Gazella_subgutturosa"
"Giraffa camelopardalis","Giraffa camelopardalis","diurnal","diurnal/crepuscular","crepuscular","diurnal","Giraffa_camelopardalis"
"Hemitragus hylocrius","Hemitragus hylocrius","diurnal","diurnal/crepuscular","crepuscular","diurnal","Hemitragus_hylocrius"
"Hemitragus jayakari","Hemitragus jayakari","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Hemitragus_jayakari"
"Hemitragus jemlahicus","Hemitragus jemlahicus","diurnal","diurnal/crepuscular","crepuscular","diurnal","Hemitragus_jemlahicus"
"Hexaprotodon liberiensis","Hexaprotodon liberiensis","nocturnal","nocturnal","nocturnal","nocturnal","Hexaprotodon_liberiensis"
"Hippocamelus antisensis","Hippocamelus antisensis","diurnal","diurnal","diurnal","diurnal","Hippocamelus_antisensis"
"Hippocamelus bisulcus","Hippocamelus bisulcus","diurnal","diurnal","diurnal","diurnal","Hippocamelus_bisulcus"
"Hippopotamus amphibius","Hippopotamus amphibius","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Hippopotamus_amphibius"
"Hippotragus equinus","Hippotragus equinus","diurnal","diurnal","diurnal","diurnal","Hippotragus_equinus"
"Hippotragus niger","Hippotragus niger","diurnal","diurnal","diurnal","diurnal","Hippotragus_niger"
"Hyemoschus aquaticus","Hyemoschus aquaticus","nocturnal","nocturnal","nocturnal","nocturnal","Hyemoschus_aquaticus"
"Hylochoerus meinertzhageni","Hylochoerus meinertzhageni","diurnal","diurnal/crepuscular","crepuscular","diurnal","Hylochoerus_meinertzhageni"
"Kobus ellipsiprymnus","Kobus ellipsiprymnus",NA,"cathemeral","cathemeral","cathemeral","Kobus_ellipsiprymnus"
"Kobus leche","Kobus leche","diurnal","diurnal/crepuscular","crepuscular","diurnal","Kobus_leche"
"Kobus vardonii","Kobus vardonii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Kobus_vardonii"
"Lama glama","Lama glama","diurnal","diurnal","diurnal","diurnal","Lama_glama"
"Litocranius walleri","Litocranius walleri","diurnal","diurnal","diurnal","diurnal","Litocranius_walleri"
"Madoqua guentheri","Madoqua guentheri","diurnal","diurnal","diurnal","diurnal","Madoqua_guentheri"
"Madoqua kirkii","Madoqua kirkii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Madoqua_kirkii"
"Madoqua piacentinii","Madoqua piacentinii","diurnal","diurnal","diurnal","diurnal","Madoqua_piacentinii"
"Madoqua saltiana","Madoqua saltiana","diurnal","diurnal/crepuscular","crepuscular","diurnal","Madoqua_saltiana"
"Mazama americana","Mazama americana","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Mazama_americana"
"Mazama gouazoubira","Mazama gouazoubira",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Mazama_gouazoubira"
