Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Chimarrogale phaeura,Eulipotyphla,Soricidae,Chimarrogale,phaeura,Bornean Water Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chimarrogale platycephalus,Eulipotyphla,Soricidae,Chimarrogale,platycephalus,Japanese Water Shrew,Cathemeral,Cathemeral,1,0,0,1,,
Chimarrogale styani,Eulipotyphla,Soricidae,Chimarrogale,styani,Chinese Water Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chimarrogale sumatrana,Eulipotyphla,Soricidae,Chimarrogale,sumatrana,Sumatran Water Shrew,Cathemeral,Cathemeral,10,0,0,1,,
Chinchilla chinchilla,Rodentia,Chinchillidae,Chinchilla,chinchilla,Short-tailed Chinchilla,Nocturnal,Nocturnal,1,1,1,1,,
Chinchilla lanigera,Rodentia,Chinchillidae,Chinchilla,lanigera,Long-tailed Chinchilla,Nocturnal,Nocturnal,1,1,1,1,,
Chinchillula sahamae,Rodentia,Cricetidae,Chinchillula,sahamae,Altiplano Chincilla Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chionomys gud,Rodentia,Cricetidae,Chionomys,gud,Gudaurskaya Polyovka,Cathemeral,Cathemeral,1,0,0,1,,
Chionomys nivalis,Rodentia,Cricetidae,Chionomys,nivalis,European Snow Vole,Cathemeral,Cathemeral,1,1,1,1,,
Chionomys roberti,Rodentia,Cricetidae,Chionomys,roberti,Robert's Snow Vole,Nocturnal,Nocturnal,1,0,0,1,,
Chiroderma doriae,Chiroptera,Phyllostomidae,Chiroderma,doriae,Brazilian Big-eyed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chiroderma improvisum,Chiroptera,Phyllostomidae,Chiroderma,improvisum,Guadeloupean Big-eyed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chiroderma salvini,Chiroptera,Phyllostomidae,Chiroderma,salvini,Salvin's Big-eyed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chiroderma trinitatum,Chiroptera,Phyllostomidae,Chiroderma,trinitatum,Little Big-eyed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chiroderma villosum,Chiroptera,Phyllostomidae,Chiroderma,villosum,Hairy Big-eyed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chiromyscus chiropus,Rodentia,Muridae,Chiromyscus,chiropus,Indochinese Chiromyscus,Nocturnal,Nocturnal,1,0,0,1,,
Chironax melanocephalus,Chiroptera,Pteropodidae,Chironax,melanocephalus,Black-capped Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chironectes minimus,Didelphimorphia,Didelphidae,Chironectes,minimus,Water Opossum,Nocturnal,Nocturnal,1,0,0,1,,
Chiropodomys calamianensis,Rodentia,Muridae,Chiropodomys,calamianensis,Palawan Pencil-tailed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiropodomys gliroides,Rodentia,Muridae,Chiropodomys,gliroides,Indomalayan Pencil-tailed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiropodomys karlkoopmani,Rodentia,Muridae,Chiropodomys,karlkoopmani,Koopman Pencil-tailed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiropodomys major,Rodentia,Muridae,Chiropodomys,major,Greater Pencil-tailed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiropodomys muroides,Rodentia,Muridae,Chiropodomys,muroides,Gray-bellied Pencil-tailed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiropodomys pusillus,Rodentia,Muridae,Chiropodomys,pusillus,Lesser Pencil-tailed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiropotes albinasus,Primates,Pitheciidae,Chiropotes,albinasus,White-nosed Saki,Diurnal,Diurnal,1,0,0,1,,
Chiropotes chiropotes,Primates,Pitheciidae,Chiropotes,chiropotes,Bearded Saki,Diurnal,Diurnal,1,0,0,1,,
Chiropotes satanas,Primates,Pitheciidae,Chiropotes,satanas,Black Bearded Saki,Diurnal,Diurnal,1,0,0,1,,
Chiropotes utahickae,Primates,Pitheciidae,Chiropotes,utahickae,Uta Hick's Bearded Saki,Diurnal,Diurnal,1,0,0,1,,
Chiruromys forbesi,Rodentia,Muridae,Chiruromys,forbesi,Forbes's Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiruromys lamia,Rodentia,Muridae,Chiruromys,lamia,Broad-headed Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chiruromys vates,Rodentia,Muridae,Chiruromys,vates,Lesser Tree Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Chlorocebus aethiops,Primates,Cercopithecidae,Chlorocebus,aethiops,Grivet Monkey,Diurnal,Diurnal,1,0,0,1,,
Chlorocebus cynosuros,Primates,Cercopithecidae,Chlorocebus,cynosuros,Malbrouck Monkey,Diurnal,Diurnal,1,0,0,1,,
Chlorocebus djamdjamensis,Primates,Cercopithecidae,Chlorocebus,djamdjamensis,Bale Monkey,Diurnal,Diurnal,1,0,0,1,,
Chlorocebus pygerythrus,Primates,Cercopithecidae,Chlorocebus,pygerythrus,Vervet Monkey,Diurnal,Diurnal,1,0,0,1,,
Chlorocebus sabaeus,Primates,Cercopithecidae,Chlorocebus,sabaeus,Green Monkey,Diurnal,Diurnal,1,0,0,1,,
Chlorocebus tantalus,Primates,Cercopithecidae,Chlorocebus,tantalus,Tantalus Monkey,Diurnal,Diurnal,1,0,0,1,,
Chodsigoa caovansunga,Eulipotyphla,Soricidae,Chodsigoa,caovansunga,Van Sung's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chodsigoa hypsibia,Eulipotyphla,Soricidae,Chodsigoa,hypsibia,De Winton's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chodsigoa lamula,Eulipotyphla,Soricidae,Chodsigoa,lamula,Lamulate Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chodsigoa parca,Eulipotyphla,Soricidae,Chodsigoa,parca,Lowe's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chodsigoa parva,Eulipotyphla,Soricidae,Chodsigoa,parva,Pygmy Brown-toothed Shrew,Cathemeral,Cathemeral,1,0,0,1,,
Chodsigoa salenskii,Eulipotyphla,Soricidae,Chodsigoa,salenskii,Salenski's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chodsigoa smithii,Eulipotyphla,Soricidae,Chodsigoa,smithii,Smith's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Chodsigoa sodalis,Eulipotyphla,Soricidae,Chodsigoa,sodalis,Lesser Taiwanese Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Choeroniscus godmani,Chiroptera,Phyllostomidae,Choeroniscus,godmani,Godman's Long-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Choeroniscus minor,Chiroptera,Phyllostomidae,Choeroniscus,minor,Lesser Long-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Choeroniscus periosus,Chiroptera,Phyllostomidae,Choeroniscus,periosus,Greater Long-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Choeronycteris mexicana,Chiroptera,Phyllostomidae,Choeronycteris,mexicana,Mexican Long-tongued Bat,Nocturnal,Nocturnal,1,0,0,1,,
Choeropsis liberiensis,Cetartiodactyla,Hippopotamidae,Choeropsis,liberiensis,Pygmy Hippopotamus,Nocturnal,Nocturnal,1,1,1,1,,
Choloepus didactylus,Pilosa,Megalonychidae,Choloepus,didactylus,Linnaeus's Two-toed Sloth,Nocturnal,Nocturnal,1,0,0,1,,
Choloepus hoffmanni,Pilosa,Megalonychidae,Choloepus,hoffmanni,Hoffmann's Two-toed Sloth,Nocturnal,Nocturnal,1,0,0,1,,
Chrotogale owstoni,Carnivora,Viverridae,Chrotogale,owstoni,Owston's Civet,Nocturnal,Nocturnal,1,0,0,1,,
Chrotomys gonzalesi,Rodentia,Muridae,Chrotomys,gonzalesi,Isarog Chrotomys,Diurnal,Diurnal,1,1,1,1,,
Chrotomys mindorensis,Rodentia,Muridae,Chrotomys,mindorensis,Lowland Chrotomys,Cathemeral,Cathemeral,1,0,0,1,,
Chrotomys sibuyanensis,Rodentia,Muridae,Chrotomys,sibuyanensis,Sibuyan Striped Shrew-rat,Diurnal,Diurnal,1,0,0,1,,
Chrotomys silaceus,Rodentia,Muridae,Chrotomys,silaceus,Blazed Luzon Chrotomys,Diurnal,Diurnal,1,1,1,1,,
Chrotomys whiteheadi,Rodentia,Muridae,Chrotomys,whiteheadi,Montane Chrotomys,Cathemeral,Cathemeral,1,0,0,1,,
Chrotopterus auritus,Chiroptera,Phyllostomidae,Chrotopterus,auritus,Woolly False Vampire Bat,Nocturnal,Nocturnal,1,0,0,1,,
Chrysocyon brachyurus,Carnivora,Canidae,Chrysocyon,brachyurus,Maned Wolf,Nocturnal,Nocturnal,1,1,1,1,,
Cistugo lesueuri,Chiroptera,Cistugidae,Cistugo,lesueuri,Lesueur's Hairy Bat,Nocturnal,Nocturnal,1,0,0,1,,
Cistugo seabrae,Chiroptera,Cistugidae,Cistugo,seabrae,Angolan Hairy Bat,Nocturnal,Nocturnal,1,0,0,1,,
Civettictis civetta,Carnivora,Viverridae,Civettictis,civetta,African Civet,Nocturnal,Nocturnal,1,1,1,1,,
Cloeotis percivali,Chiroptera,Hipposideridae,Cloeotis,percivali,Percival's Trident Bat,Nocturnal,Nocturnal,1,0,0,1,,
Clyomys laticeps,Rodentia,Echimyidae,Clyomys,laticeps,Broad-headed Spiny Rat,Diurnal,Diurnal,1,1,1,1,,
Coccymys albidens,Rodentia,Muridae,Coccymys,albidens,White-toothed Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Coccymys ruemmleri,Rodentia,Muridae,Coccymys,ruemmleri,R‚àö¬?mmler's Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Coelops frithii,Chiroptera,Hipposideridae,Coelops,frithii,Tail-less Leaf-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Coelops robinsoni,Chiroptera,Hipposideridae,Coelops,robinsoni,Malayan Tailless Leaf-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Coendou baturitensis,Rodentia,Erethizontidae,Coendou,baturitensis,Baturite Porcupine,NA,Nocturnal,Imputed,NA,0,Imputed,,
Coendou bicolor,Rodentia,Erethizontidae,Coendou,bicolor,Bicolor-spined Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou ichillus,Rodentia,Erethizontidae,Coendou,ichillus,Western Amazonian dwarf porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou insidiosus,Rodentia,Erethizontidae,Coendou,insidiosus,Bahia Hairy Dwarf Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou melanurus,Rodentia,Erethizontidae,Coendou,melanurus,Black-tailed porcupine,NA,Nocturnal,Imputed,NA,0,Imputed,,
Coendou mexicanus,Rodentia,Erethizontidae,Coendou,mexicanus,Mexican Hairy Dwarf Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou nycthemera,Rodentia,Erethizontidae,Coendou,nycthemera,Koopman's Porcupine,NA,Nocturnal,Imputed,NA,0,Imputed,,
Coendou prehensilis,Rodentia,Erethizontidae,Coendou,prehensilis,Brazilian Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou pruinosus,Rodentia,Erethizontidae,Coendou,pruinosus,Frosted porcupine,NA,Nocturnal,Imputed,NA,0,Imputed,,
Coendou quichua,Rodentia,Erethizontidae,Coendou,quichua,Quichua porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou roosmalenorum,Rodentia,Erethizontidae,Coendou,roosmalenorum,Roosmalen's Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Coendou rufescens,Rodentia,Erethizontidae,Coendou,rufescens,Stump-tailed Porcupine,NA,Nocturnal,Imputed,NA,0,Imputed,,
Coendou spinosus,Rodentia,Erethizontidae,Coendou,spinosus,Spiny Tree Porcupine,Nocturnal,Nocturnal,2,0,0,1,,
Coendou vestitus,Rodentia,Erethizontidae,Coendou,vestitus,Brown Hairy Dwarf Porcupine,Nocturnal,Nocturnal,2,0,0,1,,
Coleura afra,Chiroptera,Emballonuridae,Coleura,afra,African Sheath-tailed Bat,Nocturnal,Crepuscular,1,0,0,1,,
Coleura seychellensis,Chiroptera,Emballonuridae,Coleura,seychellensis,Seychelles Sheath-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Colobus angolensis,Primates,Cercopithecidae,Colobus,angolensis,Angolan Colobus,Diurnal,Diurnal,1,0,0,1,,
Colobus guereza,Primates,Cercopithecidae,Colobus,guereza,Guereza,Diurnal,Diurnal,1,0,0,1,,
Colobus polykomos,Primates,Cercopithecidae,Colobus,polykomos,King Colobus,Diurnal,Diurnal,1,0,0,1,,
Colobus satanas,Primates,Cercopithecidae,Colobus,satanas,Black Colobus,Diurnal,Diurnal,1,0,0,1,,
Colobus vellerosus,Primates,Cercopithecidae,Colobus,vellerosus,White-thighed Colobus,Diurnal,Diurnal,1,0,0,1,,
Colomys goslingi,Rodentia,Muridae,Colomys,goslingi,African Wading Rat,Nocturnal,Nocturnal,1,0,0,1,,
Condylura cristata,Eulipotyphla,Talpidae,Condylura,cristata,Star-nosed Mole,Cathemeral,Cathemeral,1,0,0,1,,
Conepatus chinga,Carnivora,Mephitidae,Conepatus,chinga,Molina's Hog-nosed Skunk,Nocturnal,Nocturnal,1,1,1,42,,
Conepatus humboldtii,Carnivora,Mephitidae,Conepatus,humboldtii,Humboldt's Hog-nosed Skunk,Nocturnal,Nocturnal,1,1,1,1,,
Conepatus leuconotus,Carnivora,Mephitidae,Conepatus,leuconotus,American Hog-nosed Skunk,Nocturnal,Nocturnal,1,1,1,1,,
Conepatus semistriatus,Carnivora,Mephitidae,Conepatus,semistriatus,Striped Hog-nosed Skunk,Nocturnal,Nocturnal,1,1,1,1,,
Congosorex phillipsorum,Eulipotyphla,Soricidae,Congosorex,phillipsorum,Phillip's Congo Shrew,Nocturnal,Nocturnal,1,1,1,1,,
Congosorex polli,Eulipotyphla,Soricidae,Congosorex,polli,Greater Congo Shrew,Cathemeral,Cathemeral,1,0,0,1,,
Congosorex verheyeni,Eulipotyphla,Soricidae,Congosorex,verheyeni,Lesser Congo Shrew,NA,Nocturnal,Imputed,NA,0,Imputed,,
Conilurus penicillatus,Rodentia,Muridae,Conilurus,penicillatus,Brush-tailed Rabbit-rat,Nocturnal,Nocturnal,1,0,0,1,,
Connochaetes gnou,Cetartiodactyla,Bovidae,Connochaetes,gnou,Black Wildebeest,Cathemeral,Cathemeral,1,1,1,1,,
Connochaetes taurinus,Cetartiodactyla,Bovidae,Connochaetes,taurinus,Common Wildebeest,Cathemeral,Cathemeral,1,0,0,1,,
Cormura brevirostris,Chiroptera,Emballonuridae,Cormura,brevirostris,Chestnut Sac-winged Bat,Nocturnal,Crepuscular,1,0,1,1,,
Corynorhinus mexicanus,Chiroptera,Vespertilionidae,Corynorhinus,mexicanus,Mexican Big-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Corynorhinus rafinesquii,Chiroptera,Vespertilionidae,Corynorhinus,rafinesquii,Rafinesque's Big-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Corynorhinus townsendii,Chiroptera,Vespertilionidae,Corynorhinus,townsendii,Townsend's Big-eared Bat,Nocturnal,Nocturnal,1,0,0,1,,
Craseonycteris thonglongyai,Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,Hog-nosed Bat,Nocturnal,Crepuscular,1,0,0,1,,
Crateromys australis,Rodentia,Muridae,Crateromys,australis,Dinagat Bushy-tailed Cloud Rat,Nocturnal,Nocturnal,1,0,0,1,,
Crateromys heaneyi,Rodentia,Muridae,Crateromys,heaneyi,Panay Crateromys,Nocturnal,Nocturnal,1,0,0,1,,
Crateromys paulus,Rodentia,Muridae,Crateromys,paulus,Ilin Crateromys,Nocturnal,Nocturnal,1,0,0,1,,
Crateromys schadenbergi,Rodentia,Muridae,Crateromys,schadenbergi,Luzon Crateromys,Nocturnal,Nocturnal,1,0,0,1,,
Cremnomys cutchicus,Rodentia,Muridae,Cremnomys,cutchicus,Cutch Rock-rat,Nocturnal,Nocturnal,1,0,0,1,,
Cremnomys elvira,Rodentia,Muridae,Cremnomys,elvira,Large Rock-rat,Nocturnal,Nocturnal,1,0,0,1,,
Cricetomys emini,Rodentia,Nesomyidae,Cricetomys,emini,Forest Giant Pouched Rat,Nocturnal,Nocturnal,1,0,0,1,,
Cricetomys gambianus,Rodentia,Nesomyidae,Cricetomys,gambianus,Gambian Rat,Nocturnal,Nocturnal,1,0,0,1,,
Cricetulus alticola,Rodentia,Cricetidae,Cricetulus,alticola,Tibetan Dwarf Hamster,Nocturnal,Nocturnal,1,1,1,1,,
Cricetulus barabensis,Rodentia,Cricetidae,Cricetulus,barabensis,Striped Dwarf Hamster,Nocturnal,Nocturnal,1,0,0,1,,
Cricetulus kamensis,Rodentia,Cricetidae,Cricetulus,kamensis,Kam Dwarf Hamster,Cathemeral,Cathemeral,1,0,0,1,,
Cricetulus lama,Rodentia,Cricetidae,Cricetulus,lama,Lama Dwarf Hamster,Cathemeral,Cathemeral,1,0,0,1,,
Cricetulus longicaudatus,Rodentia,Cricetidae,Cricetulus,longicaudatus,Long-tailed Dwarf Hamster,Nocturnal,Nocturnal,1,0,0,1,,
Cricetulus migratorius,Rodentia,Cricetidae,Cricetulus,migratorius,Gray Dwarf Hamster,Nocturnal,Nocturnal,1,1,1,1,,
Cricetulus sokolovi,Rodentia,Cricetidae,Cricetulus,sokolovi,Sokolov's Dwarf Hamster,Nocturnal,Nocturnal,1,0,0,1,,
Cricetulus tibetanus,Rodentia,Cricetidae,Cricetulus,tibetanus,Tibetan Dwarf Hamster,Cathemeral,Cathemeral,1,0,0,1,,
Cricetus cricetus,Rodentia,Cricetidae,Cricetus,cricetus,Common Hamster,Nocturnal,Nocturnal,1,1,1,1,,
Crocidura aleksandrisi,Eulipotyphla,Soricidae,Crocidura,aleksandrisi,Alexandrian Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura allex,Eulipotyphla,Soricidae,Crocidura,allex,Highlands Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura andamanensis,Eulipotyphla,Soricidae,Crocidura,andamanensis,Andaman White-toothed Shrew,Nocturnal,Nocturnal,1,1,1,1,,
Crocidura ansellorum,Eulipotyphla,Soricidae,Crocidura,ansellorum,Ansell's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura arabica,Eulipotyphla,Soricidae,Crocidura,arabica,Arabian Shrew,Nocturnal,Nocturnal,1,1,1,1,,
Crocidura arispa,Eulipotyphla,Soricidae,Crocidura,arispa,Jackass Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura armenica,Eulipotyphla,Soricidae,Crocidura,armenica,Armenian Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura attenuata,Eulipotyphla,Soricidae,Crocidura,attenuata,Grey Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura attila,Eulipotyphla,Soricidae,Crocidura,attila,Hun Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura baileyi,Eulipotyphla,Soricidae,Crocidura,baileyi,Bailey's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura baluensis,Eulipotyphla,Soricidae,Crocidura,baluensis,Kinabalu Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura batesi,Eulipotyphla,Soricidae,Crocidura,batesi,Bate's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura beatus,Eulipotyphla,Soricidae,Crocidura,beatus,Mindanao Shrew,Cathemeral,Cathemeral,1,0,0,1,,
Crocidura beccarii,Eulipotyphla,Soricidae,Crocidura,beccarii,Beccari's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura bottegi,Eulipotyphla,Soricidae,Crocidura,bottegi,Bottego's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura bottegoides,Eulipotyphla,Soricidae,Crocidura,bottegoides,Bale Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura brunnea,Eulipotyphla,Soricidae,Crocidura,brunnea,Thick-tailed Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura buettikoferi,Eulipotyphla,Soricidae,Crocidura,buettikoferi,Buettikofer's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura caliginea,Eulipotyphla,Soricidae,Crocidura,caliginea,African Dusky Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura canariensis,Eulipotyphla,Soricidae,Crocidura,canariensis,Musara Canaria,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura caspica,Eulipotyphla,Soricidae,Crocidura,caspica,Caspian Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura cinderella,Eulipotyphla,Soricidae,Crocidura,cinderella,Cinderella Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura congobelgica,Eulipotyphla,Soricidae,Crocidura,congobelgica,Congo Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura crenata,Eulipotyphla,Soricidae,Crocidura,crenata,Long-footed Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura crossei,Eulipotyphla,Soricidae,Crocidura,crossei,Crosse's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura cyanea,Eulipotyphla,Soricidae,Crocidura,cyanea,Reddish-gray Musk Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura denti,Eulipotyphla,Soricidae,Crocidura,denti,Dent's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura desperata,Eulipotyphla,Soricidae,Crocidura,desperata,Desperate Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura dhofarensis,Eulipotyphla,Soricidae,Crocidura,dhofarensis,Dhofarian Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura dolichura,Eulipotyphla,Soricidae,Crocidura,dolichura,Long-tailed Musk Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura douceti,Eulipotyphla,Soricidae,Crocidura,douceti,Doucet's Musk Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura dsinezumi,Eulipotyphla,Soricidae,Crocidura,dsinezumi,Dsinezumi Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura eisentrauti,Eulipotyphla,Soricidae,Crocidura,eisentrauti,Eisentraut's Shrew,Cathemeral,Cathemeral,1,0,0,1,,
Crocidura elgonius,Eulipotyphla,Soricidae,Crocidura,elgonius,Elgon Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura elongata,Eulipotyphla,Soricidae,Crocidura,elongata,Elongated Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura erica,Eulipotyphla,Soricidae,Crocidura,erica,Heather Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura fischeri,Eulipotyphla,Soricidae,Crocidura,fischeri,Fischer's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura flavescens,Eulipotyphla,Soricidae,Crocidura,flavescens,Greater Red Musk Shrew,Nocturnal,Nocturnal,1,1,1,1,,
Crocidura floweri,Eulipotyphla,Soricidae,Crocidura,floweri,Flower's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura foxi,Eulipotyphla,Soricidae,Crocidura,foxi,Fox's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura fuliginosa,Eulipotyphla,Soricidae,Crocidura,fuliginosa,Southeast Asian Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura fulvastra,Eulipotyphla,Soricidae,Crocidura,fulvastra,Savanna Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura fumosa,Eulipotyphla,Soricidae,Crocidura,fumosa,Smoky White-toothed Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura fuscomurina,Eulipotyphla,Soricidae,Crocidura,fuscomurina,Tiny Musk Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura glassi,Eulipotyphla,Soricidae,Crocidura,glassi,Glass's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura gmelini,Eulipotyphla,Soricidae,Crocidura,gmelini,Unknown,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura goliath,Eulipotyphla,Soricidae,Crocidura,goliath,Goliath Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura gracilipes,Eulipotyphla,Soricidae,Crocidura,gracilipes,Peters' Musk Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura grandiceps,Eulipotyphla,Soricidae,Crocidura,grandiceps,Large-headed Forest Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura grandis,Eulipotyphla,Soricidae,Crocidura,grandis,Greater Mindanao Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura grassei,Eulipotyphla,Soricidae,Crocidura,grassei,Grasse's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura grayi,Eulipotyphla,Soricidae,Crocidura,grayi,Luzon Shrew,Cathemeral,Cathemeral,1,1,1,1,,
Crocidura greenwoodi,Eulipotyphla,Soricidae,Crocidura,greenwoodi,Greenwood's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura harenna,Eulipotyphla,Soricidae,Crocidura,harenna,Harenna Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura hikmiya,Eulipotyphla,Soricidae,Crocidura,hikmiya,Sinharaja white-toothed shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura hildegardeae,Eulipotyphla,Soricidae,Crocidura,hildegardeae,Hildegarde's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura hilliana,Eulipotyphla,Soricidae,Crocidura,hilliana,Hill's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura hispida,Eulipotyphla,Soricidae,Crocidura,hispida,Andaman Spiny Shrew,Nocturnal,Nocturnal,1,1,1,1,,
Crocidura horsfieldii,Eulipotyphla,Soricidae,Crocidura,horsfieldii,Horsfield's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura hutanis,Eulipotyphla,Soricidae,Crocidura,hutanis,Hutan Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura indochinensis,Eulipotyphla,Soricidae,Crocidura,indochinensis,Indochinese Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura jacksoni,Eulipotyphla,Soricidae,Crocidura,jacksoni,Jackson's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura jenkinsi,Eulipotyphla,Soricidae,Crocidura,jenkinsi,Jenkin's Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura jouvenetae,Eulipotyphla,Soricidae,Crocidura,jouvenetae,Jouvenet's white-toothed shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura katinka,Eulipotyphla,Soricidae,Crocidura,katinka,Katinka's white-toothed shrew,Nocturnal,Nocturnal,1,0,0,1,,
Crocidura kivuana,Eulipotyphla,Soricidae,Crocidura,kivuana,Kivu Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura lamottei,Eulipotyphla,Soricidae,Crocidura,lamottei,Lamotte's Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura lanosa,Eulipotyphla,Soricidae,Crocidura,lanosa,Lemara Shrew,Nocturnal,Nocturnal,2,0,0,1,,
Crocidura lasiura,Eulipotyphla,Soricidae,Crocidura,lasiura,Belozubka Ussuriiskaya,Cathemeral,Cathemeral,1,0,0,1,,
