Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Acrobates pygmaeus,Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Feathertail Glider,Nocturnal,Nocturnal,22,0,0,1,,
Addax nasomaculatus,Cetartiodactyla,Bovidae,Addax,nasomaculatus,Addax,Diurnal,Diurnal,1,0,0,1,,
Aegialomys galapagoensis,Rodentia,Cricetidae,Aegialomys,galapagoensis,Galapagos Rice Rat,Cathemeral,Cathemeral,1,0,0,1,,
Aegialomys xanthaeolus,Rodentia,Cricetidae,Aegialomys,xanthaeolus,Yellowish Rice Rat,Nocturnal,Nocturnal,1,0,0,1,,
Aepeomys lugens,Rodentia,Cricetidae,Aepeomys,lugens,Olive Montane Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Aepeomys reigi,Rodentia,Cricetidae,Aepeomys,reigi,Reig's Montane Mouse ,Nocturnal,Nocturnal,1,0,0,1,,
Aepyceros melampus,Cetartiodactyla,Bovidae,Aepyceros,melampus,Impala,Cathemeral,Cathemeral,1,1,1,1,,
Aepyprymnus rufescens,Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Rufous Bettong,Nocturnal,Nocturnal,1,0,0,1,,
Aeretes melanopterus,Rodentia,Sciuridae,Aeretes,melanopterus,Northern Chinese Flying Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Aeromys tephromelas,Rodentia,Sciuridae,Aeromys,tephromelas,Black Flying Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Aeromys thomasi,Rodentia,Sciuridae,Aeromys,thomasi,Thomas's Flying Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Aethalops aequalis,Chiroptera,Pteropodidae,Aethalops,aequalis,Borneo Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Aethalops alecto,Chiroptera,Pteropodidae,Aethalops,alecto,Pygmy Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys bocagei,Rodentia,Muridae,Aethomys,bocagei,Bocage's Rock Rat,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys chrysophilus,Rodentia,Muridae,Aethomys,chrysophilus,Red Rock Rat,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys granti,Rodentia,Muridae,Aethomys,granti,Grant's rock rat,Nocturnal,Nocturnal,2,0,0,1,,
Aethomys hindei,Rodentia,Muridae,Aethomys,hindei,Hinde's Rock Rat,Cathemeral,Cathemeral,1,0,0,1,,
Aethomys ineptus,Rodentia,Muridae,Aethomys,ineptus,Tete Veld Aethomys,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys kaiseri,Rodentia,Muridae,Aethomys,kaiseri,Kaiser's Rock Rat,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys namaquensis,Rodentia,Muridae,Aethomys,namaquensis,Namaqua Rock Rat,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys nyikae,Rodentia,Muridae,Aethomys,nyikae,Nyika Rock Rat,Nocturnal,Nocturnal,1,0,0,1,,
Aethomys silindensis,Rodentia,Muridae,Aethomys,silindensis,Selinda Veld Rat,Nocturnal,Nocturnal,2,0,0,1,,
Aethomys stannarius,Rodentia,Muridae,Aethomys,stannarius,Tinfields Rock Rat,Nocturnal,Nocturnal,2,0,0,1,,
Aethomys thomasi,Rodentia,Muridae,Aethomys,thomasi,Thomas's Rock Rat,Nocturnal,Nocturnal,2,0,0,1,,
Ailuropoda melanoleuca,Carnivora,Ursidae,Ailuropoda,melanoleuca,Giant Panda,Cathemeral,Cathemeral,1,0,0,1,,
Ailurops melanotis,Diprotodontia,Phalangeridae,Ailurops,melanotis,Talaud Bear Cuscus,Nocturnal,Nocturnal,10,1,1,1,,
Ailurops ursinus,Diprotodontia,Phalangeridae,Ailurops,ursinus,Bear Cuscus,Diurnal,Diurnal,1,1,1,1,,
Ailurus fulgens,Carnivora,Ailuridae,Ailurus,fulgens,Red Panda,Cathemeral,Cathemeral,1,0,0,1,,
Akodon aerosus,Rodentia,Cricetidae,Akodon,aerosus,Highland Grass Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Akodon affinis,Rodentia,Cricetidae,Akodon,affinis,Colombian Grass Mouse,Diurnal,Diurnal,1,1,1,1,,
Akodon albiventer,Rodentia,Cricetidae,Akodon,albiventer,White-bellied Grass Mouse,Diurnal,Diurnal,1,0,0,1,,
Akodon aliquantulus,Rodentia,Cricetidae,Akodon,aliquantulus,Uncolored grass mouse,Cathemeral,Cathemeral,2,0,0,1,,
Akodon azarae,Rodentia,Cricetidae,Akodon,azarae,Azara's Grass Mouse,Cathemeral,Cathemeral,1,0,0,1,,
Akodon boliviensis,Rodentia,Cricetidae,Akodon,boliviensis,Bolivian Grass Mouse,Cathemeral,Cathemeral,2,0,0,1,,
