"Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2"
"Madoqua guentheri","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA
"Madoqua kirkii","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA
"Madoqua piacentinii","Bovidae","diurnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madoqua saltiana","Bovidae",NA,NA,"unclear/crepuscular",NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA
"Mazama americana","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal/crepuscular","nocturnal","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama bororo","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama bricenii","Cervidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama chunyi","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama gouazoubira","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","cathemeral/crepuscular","cathemeral/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama nana","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama nemorivaga","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama pandora","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama rufina","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mazama temama","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschiola indica","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschiola kathygre","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschiola meminna","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus anhuiensis","Moschidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus berezovskii","Moschidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus chrysogaster","Moschidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus cupreus","Moschidae",NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus fuscus","Moschidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus leucogaster","Moschidae",NA,"nocturnal/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moschus moschiferus","Moschidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus atherodes","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus crinifrons","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus feae","Cervidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus gongshanensis","Cervidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus muntjak","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular","diurnal/crepuscular","diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus reevesi","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus vaginalis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muntiacus vuquangensis","Cervidae",NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naemorhedus baileyi","Bovidae","diurnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naemorhedus caudatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naemorhedus goral","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naemorhedus griseus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nanger dama","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nanger granti","Bovidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nanger soemmerringii","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neotragus batesi","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neotragus pygmaeus","Bovidae",NA,NA,"nocturnal",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA
"Nesotragus moschatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nilgiritragus hylocrius","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odocoileus hemionus","Cervidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,"cathemeral/crepuscular","nocturnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA
"Odocoileus virginianus","Cervidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","diurnal/crepuscular",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA
"Okapia johnstoni","Giraffidae",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,"diurnal","diurnal",NA
"Oreamnos americanus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA
"Oreotragus oreotragus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oryx beisa","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oryx dammah","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oryx gazella","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA
"Oryx leucoryx","Bovidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","cathemeral/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA
"Ourebia ourebi","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular","unclear/crepuscular",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ovibos moschatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA
"Ovis ammon","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Ovis aries","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ovis canadensis","Bovidae",NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA
"Ovis dalli","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA
"Ovis gmelini","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA
"Ovis nivicola","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ovis orientalis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Ozotoceros bezoarticus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA
"Pantholops hodgsonii","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pecari tajacu","Tayassuidae",NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,"diurnal","diurnal/crepuscular",NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA
"Pelea capreolus","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phacochoerus aethiopicus","Suidae",NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phacochoerus africanus","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philantomba maxwellii","Bovidae",NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA
"Philantomba monticola","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal/crepuscular","diurnal/crepuscular",NA,"cathemeral/crepuscular","diurnal",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA
"Philantomba walteri","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Porcula salvania","Suidae",NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potamochoerus larvatus","Suidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Potamochoerus porcus","Suidae",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal",NA,NA,NA,"nocturnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA
"Procapra gutturosa","Bovidae","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procapra picticaudata","Bovidae",NA,"diurnal/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Procapra przewalskii","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudois nayaur","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudoryx nghetinhensis","Bovidae",NA,"diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA
"Pudu mephistophiles","Cervidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pudu puda","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rangifer tarandus","Cervidae",NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular","cathemeral",NA,NA,NA,NA,NA,"cathemeral"
"Raphicerus campestris","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raphicerus melanotis","Bovidae","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raphicerus sharpei","Bovidae","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redunca arundinum","Bovidae","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Redunca fulvorufula","Bovidae",NA,NA,"diurnal/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Redunca redunca","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rucervus duvaucelii","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Rucervus eldii","Cervidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rupicapra pyrenaica","Bovidae",NA,NA,NA,NA,NA,"unclear/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rupicapra rupicapra","Bovidae",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular","diurnal",NA,NA,NA,NA,NA,NA
"Rusa alfredi","Cervidae","nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rusa marianna","Cervidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rusa timorensis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rusa unicolor","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saiga tatarica","Bovidae","diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus ahoenobarbus","Suidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus barbatus","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus cebifrons","Suidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus celebensis","Suidae","nocturnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus oliveri","Suidae","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus philippensis","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus scrofa","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral","nocturnal","nocturnal","nocturnal","diurnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sus verrucosus","Suidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sylvicapra grimmia","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Syncerus caffer","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"nocturnal","nocturnal/crepuscular","nocturnal","nocturnal/crepuscular",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA
"Tayassu pecari","Tayassuidae",NA,NA,NA,"nocturnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA
"Tetracerus quadricornis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus angasii","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus buxtoni","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus derbianus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus eurycerus","Bovidae",NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,"nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus imberbis","Bovidae","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus oryx","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus scriptus","Bovidae",NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","cathemeral/crepuscular",NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus spekii","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular","unclear/crepuscular",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus strepsiceros","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragelaphus sylvaticus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA
"Tragulus javanicus","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Tragulus kanchil","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","diurnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA
"Tragulus napu","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral","cathemeral/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragulus nigricans","Tragulidae","nocturnal","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragulus versicolor","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tragulus williamsoni","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vicugna vicugna","Camelidae",NA,NA,NA,NA,NA,"diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
