"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Body_length","Body_mass","Dive_depth","Orbit_ratio","Diet","Habitat","Prey_capture","Brain_mass","Feeding_method","fam_colours"
"Lagenodelphis_hosei","Odontoceti","Delphinidae","nocturnal","nocturnal",3,2.7,210,600,26.2538798407867,"cephalopods + fish","pelagic","Suction",NA,"Suction/raptorial","grey"
"Lagenorhynchus_acutus","Odontoceti","Delphinidae","nocturnal","nocturnal",3,0,205,191,24.9147666666667,"cephalopods + fish","coastal-pelagic",NA,"1200","Raptorial","grey"
"Lagenorhynchus_albirostris","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,0,325,200,31.7281,"cephalopods + fish","coastal-pelagic","Ram","1126","Raptorial","grey"
"Lagenorhynchus_australis","Odontoceti","Delphinidae","nocturnal","nocturnal",2,0,NA,20,26.7818333333333,"cephalopods + fish","coastal-pelagic",NA,NA,"Raptorial","grey"
"Lagenorhynchus_cruciger","Odontoceti","Delphinidae","nocturnal","nocturnal",1,0,91.1,200,25.851,"cephalopods + fish","coastal-pelagic",NA,NA,"Raptorial","grey"
"Lagenorhynchus_obliquidens","Odontoceti","Delphinidae","cathemeral/crepuscular","crepuscular",5,2.5,198,214,28.33984,"cephalopods + fish","coastal-pelagic",NA,NA,"Raptorial","grey"
"Lagenorhynchus_obscurus","Odontoceti","Delphinidae","nocturnal/crepuscular","crepuscular",4,0,88.4215,200,28.8073333333333,"cephalopods + fish","coastal-pelagic",NA,NA,"Raptorial","grey"
"Lipotes_vexillifer","Odontoceti","Lipotidae","diurnal","diurnal",5,NA,82,NA,12.6522,"fish","riverine","Snap","510","Raptorial","gold"
"Lissodelphis_borealis","Odontoceti","Delphinidae","nocturnal","nocturnal",1,3.1,115,250,29.9918,"cephalopods + fish","pelagic","Ram",NA,"Raptorial","grey"
"Lissodelphis_peronii","Odontoceti","Delphinidae","nocturnal","nocturnal",1,NA,179.975,NA,NA,"cephalopods + fish","pelagic",NA,NA,"Raptorial","grey"
"Megaptera_novaeangliae","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,0,30050,616,NA,"zooplankton + fish","pelagic",NA,"6439","Skim/lunge","magenta"
"Mesoplodon_bidens","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,0,NA,1386,34.414599481276,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_bowdoini","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,NA,"cephalopods + fish","pelagic",NA,NA,"Suction","green2"
"Mesoplodon_carlhubbsi","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,28.4698,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_densirostris","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,4.7,1173,1500,30,"cephalopods + fish","pelagic","Suction","1424.5","Suction/raptorial","green2"
"Mesoplodon_europaeus","Odontoceti","Ziphiidae","cathemeral","cathemeral",3,0,833.5,872,29.5183333333333,"cephalopods + fish","pelagic","Suction","2148.5","Suction/raptorial","green2"
"Mesoplodon_ginkgodens","Odontoceti","Ziphiidae","nocturnal","nocturnal",3,NA,NA,NA,29.331469,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_grayi","Odontoceti","Ziphiidae",NA,NA,0,NA,1077.05,NA,31.3653147686135,"cephalopods + fish","pelagic","Suction",NA,"Suction/raptorial","green2"
"Mesoplodon_hectori","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,NA,"cephalopods + fish","pelagic",NA,NA,"Suction","green2"
"Mesoplodon_hotaula","Odontoceti","Ziphiidae","diurnal","diurnal",3,NA,NA,NA,27.53762,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
"Mesoplodon_layardii","Odontoceti","Ziphiidae",NA,NA,0,NA,2399,NA,23.968415,"cephalopods + fish","pelagic",NA,NA,"Suction","green2"
