"","X","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"54","Connochaetes taurinus","Connochaetes taurinus",NA,"cathemeral","cathemeral","cathemeral","Connochaetes_taurinus"
"55","Dama dama","Dama dama",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Dama_dama"
"56","Damaliscus lunatus","Damaliscus lunatus",NA,"cathemeral","cathemeral","cathemeral","Damaliscus_lunatus"
"57","Damaliscus pygargus","Damaliscus pygargus","diurnal","diurnal","diurnal","diurnal","Damaliscus_pygargus"
"58","Dorcatragus megalotis","Dorcatragus megalotis","diurnal","diurnal","diurnal","diurnal","Dorcatragus_megalotis"
"59","Eudorcas thomsonii","Eudorcas thomsonii",NA,"cathemeral","cathemeral","cathemeral","Eudorcas_thomsonii"
"60","Gazella bennettii","Gazella bennettii","diurnal","diurnal","diurnal","diurnal","Gazella_bennettii"
"61","Gazella dorcas","Gazella dorcas","diurnal","diurnal/crepuscular","crepuscular","diurnal","Gazella_dorcas"
"62","Gazella gazella","Gazella gazella",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Gazella_gazella"
"63","Gazella subgutturosa","Gazella subgutturosa","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Gazella_subgutturosa"
"64","Giraffa camelopardalis","Giraffa camelopardalis","diurnal","diurnal/crepuscular","crepuscular","diurnal","Giraffa_camelopardalis"
"65","Hemitragus hylocrius","Hemitragus hylocrius","diurnal","diurnal/crepuscular","crepuscular","diurnal","Hemitragus_hylocrius"
"66","Hemitragus jayakari","Hemitragus jayakari","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Hemitragus_jayakari"
"67","Hemitragus jemlahicus","Hemitragus jemlahicus","diurnal","diurnal/crepuscular","crepuscular","diurnal","Hemitragus_jemlahicus"
"68","Hexaprotodon liberiensis","Hexaprotodon liberiensis","nocturnal","nocturnal","nocturnal","nocturnal","Hexaprotodon_liberiensis"
"69","Hippocamelus antisensis","Hippocamelus antisensis","diurnal","diurnal","diurnal","diurnal","Hippocamelus_antisensis"
"70","Hippocamelus bisulcus","Hippocamelus bisulcus","diurnal","diurnal","diurnal","diurnal","Hippocamelus_bisulcus"
"71","Hippopotamus amphibius","Hippopotamus amphibius","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Hippopotamus_amphibius"
"72","Hippotragus equinus","Hippotragus equinus","diurnal","diurnal","diurnal","diurnal","Hippotragus_equinus"
"73","Hippotragus niger","Hippotragus niger","diurnal","diurnal","diurnal","diurnal","Hippotragus_niger"
"74","Hyemoschus aquaticus","Hyemoschus aquaticus","nocturnal","nocturnal","nocturnal","nocturnal","Hyemoschus_aquaticus"
"75","Hylochoerus meinertzhageni","Hylochoerus meinertzhageni","diurnal","diurnal/crepuscular","crepuscular","diurnal","Hylochoerus_meinertzhageni"
"76","Kobus ellipsiprymnus","Kobus ellipsiprymnus",NA,"cathemeral","cathemeral","cathemeral","Kobus_ellipsiprymnus"
"77","Kobus leche","Kobus leche","diurnal","diurnal/crepuscular","crepuscular","diurnal","Kobus_leche"
"78","Kobus vardonii","Kobus vardonii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Kobus_vardonii"
"79","Lama glama","Lama glama","diurnal","diurnal","diurnal","diurnal","Lama_glama"
"80","Litocranius walleri","Litocranius walleri","diurnal","diurnal","diurnal","diurnal","Litocranius_walleri"
"81","Madoqua guentheri","Madoqua guentheri","diurnal","diurnal","diurnal","diurnal","Madoqua_guentheri"
"82","Madoqua kirkii","Madoqua kirkii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Madoqua_kirkii"
"83","Madoqua piacentinii","Madoqua piacentinii","diurnal","diurnal","diurnal","diurnal","Madoqua_piacentinii"
"84","Madoqua saltiana","Madoqua saltiana","diurnal","diurnal/crepuscular","crepuscular","diurnal","Madoqua_saltiana"
"85","Mazama americana","Mazama americana","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Mazama_americana"
"86","Mazama gouazoubira","Mazama gouazoubira",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Mazama_gouazoubira"
"87","Mazama nana","Mazama nana","diurnal","diurnal/crepuscular","crepuscular","diurnal","Mazama_nana"
"88","Moschiola meminna","Moschiola meminna","nocturnal","nocturnal","nocturnal","nocturnal","Moschiola_meminna"
"89","Moschus berezovskii","Moschus berezovskii","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_berezovskii"
"90","Moschus chrysogaster","Moschus chrysogaster","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_chrysogaster"
"91","Moschus fuscus","Moschus fuscus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_fuscus"
"92","Moschus moschiferus","Moschus moschiferus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Moschus_moschiferus"
"93","Muntiacus atherodes","Muntiacus atherodes",NA,"cathemeral","cathemeral","cathemeral","Muntiacus_atherodes"
"94","Muntiacus muntjak","Muntiacus muntjak",NA,"cathemeral","cathemeral","cathemeral","Muntiacus_muntjak"
"95","Naemorhedus caudatus","Naemorhedus caudatus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Naemorhedus_caudatus"
"96","Naemorhedus goral","Naemorhedus goral",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Naemorhedus_goral"
"97","Nanger dama","Nanger dama","diurnal","diurnal","diurnal","diurnal","Nanger_dama"
"98","Nanger granti","Nanger granti",NA,"cathemeral","cathemeral","cathemeral","Nanger_granti"
"99","Nanger soemmerringii","Nanger soemmerringii","diurnal","diurnal","diurnal","diurnal","Nanger_soemmerringii"
"100","Neotragus batesi","Neotragus batesi","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neotragus_batesi"
"101","Neotragus moschatus","Neotragus moschatus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neotragus_moschatus"
"102","Neotragus pygmaeus","Neotragus pygmaeus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Neotragus_pygmaeus"
"103","Odocoileus hemionus","Odocoileus hemionus",NA,"cathemeral","cathemeral","cathemeral","Odocoileus_hemionus"
"104","Odocoileus virginianus","Odocoileus virginianus",NA,"cathemeral","cathemeral","cathemeral","Odocoileus_virginianus"
"105","Okapia johnstoni","Okapia johnstoni","diurnal","diurnal","diurnal","diurnal","Okapia_johnstoni"
"106","Oreamnos americanus","Oreamnos americanus","diurnal","diurnal/crepuscular","crepuscular","diurnal","Oreamnos_americanus"
"107","Oreotragus oreotragus","Oreotragus oreotragus",NA,"cathemeral","cathemeral","cathemeral","Oreotragus_oreotragus"
"108","Oryx beisa","Oryx beisa",NA,"cathemeral","cathemeral","cathemeral","Oryx_beisa"
"109","Oryx gazella","Oryx gazella",NA,"cathemeral","cathemeral","cathemeral","Oryx_gazella"
"110","Oryx leucoryx","Oryx leucoryx",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Oryx_leucoryx"
"111","Ourebia ourebi","Ourebia ourebi","diurnal","diurnal","diurnal","diurnal","Ourebia_ourebi"
"112","Ovibos moschatus","Ovibos moschatus",NA,"cathemeral","cathemeral","cathemeral","Ovibos_moschatus"
"113","Ovis ammon","Ovis ammon","diurnal","diurnal","diurnal","diurnal","Ovis_ammon"
"114","Ovis aries","Ovis aries","nocturnal","nocturnal","nocturnal","nocturnal","Ovis_aries"
"115","Ovis canadensis","Ovis canadensis",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Ovis_canadensis"
"116","Ovis dalli","Ovis dalli","diurnal","diurnal","diurnal","diurnal","Ovis_dalli"
"117","Ozotoceros bezoarticus","Ozotoceros bezoarticus",NA,"cathemeral","cathemeral","cathemeral","Ozotoceros_bezoarticus"
"118","Pantholops hodgsonii","Pantholops hodgsonii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Pantholops_hodgsonii"
"119","Pecari tajacu","Pecari tajacu","diurnal","diurnal","diurnal","diurnal","Pecari_tajacu"
"120","Pelea capreolus","Pelea capreolus","diurnal","diurnal","diurnal","diurnal","Pelea_capreolus"
"121","Phacochoerus aethiopicus","Phacochoerus aethiopicus","diurnal","diurnal","diurnal","diurnal","Phacochoerus_aethiopicus"
"122","Phacochoerus africanus","Phacochoerus africanus","diurnal","diurnal","diurnal","diurnal","Phacochoerus_africanus"
"123","Philantomba maxwellii","Philantomba maxwellii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Philantomba_maxwellii"
"124","Philantomba monticola","Philantomba monticola","diurnal","diurnal","diurnal","diurnal","Philantomba_monticola"
"125","Potamochoerus larvatus","Potamochoerus larvatus","nocturnal","nocturnal","nocturnal","nocturnal","Potamochoerus_larvatus"
"126","Potamochoerus porcus","Potamochoerus porcus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Potamochoerus_porcus"
"127","Procapra gutturosa","Procapra gutturosa",NA,"cathemeral","cathemeral","cathemeral","Procapra_gutturosa"
"128","Pseudois nayaur","Pseudois nayaur","diurnal","diurnal","diurnal","diurnal","Pseudois_nayaur"
"129","Pseudois schaeferi","Pseudois schaeferi","diurnal","diurnal","diurnal","diurnal","Pseudois_schaeferi"
"130","Pudu puda","Pudu puda","nocturnal","nocturnal","nocturnal","nocturnal","Pudu_puda"
"131","Rangifer tarandus","Rangifer tarandus",NA,"cathemeral","cathemeral","cathemeral","Rangifer_tarandus"
"132","Raphicerus campestris","Raphicerus campestris","diurnal","diurnal","diurnal","diurnal","Raphicerus_campestris"
"133","Raphicerus melanotis","Raphicerus melanotis","nocturnal","nocturnal","nocturnal","nocturnal","Raphicerus_melanotis"
"134","Raphicerus sharpei","Raphicerus sharpei","nocturnal","nocturnal","nocturnal","nocturnal","Raphicerus_sharpei"
"135","Redunca arundinum","Redunca arundinum",NA,"cathemeral","cathemeral","cathemeral","Redunca_arundinum"
"136","Redunca fulvorufula","Redunca fulvorufula","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Redunca_fulvorufula"
"137","Redunca redunca","Redunca redunca",NA,"cathemeral","cathemeral","cathemeral","Redunca_redunca"
"138","Rucervus duvaucelii","Rucervus duvaucelii",NA,"cathemeral","cathemeral","cathemeral","Rucervus_duvaucelii"
"139","Rucervus eldii","Rucervus eldii",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Rucervus_eldii"
"140","Rupicapra pyrenaica","Rupicapra pyrenaica","diurnal","diurnal","diurnal","diurnal","Rupicapra_pyrenaica"
"141","Rupicapra rupicapra","Rupicapra rupicapra","diurnal","diurnal","diurnal","diurnal","Rupicapra_rupicapra"
"142","Rusa timorensis","Rusa timorensis","nocturnal","nocturnal","nocturnal","nocturnal","Rusa_timorensis"
"143","Rusa unicolor","Rusa unicolor","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Rusa_unicolor"
"144","Saiga tatarica","Saiga tatarica","diurnal","diurnal","diurnal","diurnal","Saiga_tatarica"
"145","Sus barbatus","Sus barbatus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_barbatus"
"146","Sus cebifrons","Sus cebifrons","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_cebifrons"
"147","Sus celebensis","Sus celebensis","diurnal","diurnal/crepuscular","crepuscular","diurnal","Sus_celebensis"
"148","Sus philippensis","Sus philippensis","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_philippensis"
"149","Sus salvanius","Sus salvanius","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Sus_salvanius"
"150","Sus scrofa","Sus scrofa","nocturnal","nocturnal","nocturnal","nocturnal","Sus_scrofa"
"151","Sylvicapra grimmia","Sylvicapra grimmia",NA,"cathemeral","cathemeral","cathemeral","Sylvicapra_grimmia"
