"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Akodon azarae","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Akodon_azarae"
"Akodon azarae","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Akodon_azarae"
"Akodon azarae","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Akodon_azarae"
"Akodon azarae","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Akodon_azarae"
"Akodon boliviensis","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Akodon_boliviensis"
"Akodon cursor","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Akodon_cursor"
"Akodon cursor","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Akodon_cursor"
"Akodon dayi","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Akodon_dayi"
"Akodon dayi","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Akodon_dayi"
"Akodon iniscatus","Rodentia","idk","non-cetacean","Cricetidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Akodon_iniscatus"
"Akodon molinae","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Akodon_molinae"
"Akodon varius","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Akodon_varius"
"Alcelaphus buselaphus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alcelaphus_buselaphus"
"Alces alces","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alces_alces"
"Alces alces","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alces_alces"
"Alces alces","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Alces_alces"
"Allenopithecus nigroviridis","Primates","idk","non-cetacean","Cercopithecidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Allenopithecus_nigroviridis"
"Allocebus trichotis","Primates","idk","non-cetacean","Cheirogaleidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Allocebus_trichotis"
"Allocebus trichotis","Primates","idk","non-cetacean","Cheirogaleidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Allocebus_trichotis"
"Allocebus trichotis","Primates","idk","non-cetacean","Cheirogaleidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Allocebus_trichotis"
