"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel_confidence","diel2","genome"
"31","acanthochromis polyacanthus","Acanthochromis polyacanthus",FALSE,100410,FALSE,"incertae_sedis_inherited",1,"Acanthochromis_polyacanthus","Acanthochromis","Pomacentridae","Ovalentaria/misc","diurnal",1,"diurnal","ENSEMBL, GCF 002109545.1"
"32","acanthocobitis botia","Acanthocobitis botia",FALSE,201101,FALSE,"",1,"Acanthocobitis_botia","Acanthocobitis","Nemacheilidae","Cypriniformes","nocturnal",1,"nocturnal",""
"33","acanthocybium solandri","Acanthocybium solandri",FALSE,828095,FALSE,"",1,"Acanthocybium_solandri","Acanthocybium","Scombridae","Scombriformes","diurnal",2,"diurnal",""
"34","acanthodoras cataphractus","Acanthodoras cataphractus",FALSE,216717,FALSE,"",1,"Acanthodoras_cataphractus","Acanthodoras","Doradidae","Siluriformes","crepuscular/nocturnal",1,"crepuscular",""
"35","acanthogobius flavimanus","Acanthogobius flavimanus",FALSE,705150,FALSE,"",1,"Acanthogobius_flavimanus","Acanthogobius","Gobiidae","Gobiiformes","nocturnal",3,"nocturnal",""
"36","acantholabrus palloni","Acantholabrus palloni",FALSE,155280,FALSE,"",1,"Acantholabrus_palloni","Acantholabrus","Labridae","Eupercaria/misc","diurnal",1,"diurnal",""
"37","acanthopagrus australis","Acanthopagrus australis",FALSE,223216,FALSE,"",1,"Acanthopagrus_australis","Acanthopagrus","Sparidae","Eupercaria/misc","diurnal",4,"diurnal",""
"38","acanthopagrus bifasciatus","Acanthopagrus bifasciatus",FALSE,458567,FALSE,"",1,"Acanthopagrus_bifasciatus","Acanthopagrus","Sparidae","Eupercaria/misc","diurnal",3,"diurnal",""
"39","acanthopagrus butcheri","Acanthopagrus butcheri",FALSE,760738,FALSE,"",1,"Acanthopagrus_butcheri","Acanthopagrus","Sparidae","Eupercaria/misc","unclear",3,"unknown",""
"40","acanthopagrus latus","Acanthopagrus latus",FALSE,760733,FALSE,"",1,"Acanthopagrus_latus","Acanthopagrus","Sparidae","Eupercaria/misc","nocturnal",2,"nocturnal",""
"41","acanthopagrus schlegelii","Acanthopagrus schlegelii",FALSE,380194,FALSE,"",1,"Acanthopagrus_schlegelii","Acanthopagrus","Sparidae","Eupercaria/misc","diurnal",2,"diurnal",""
"42","acanthostracion guineensis","Acanthostracion guineensis",FALSE,5342884,FALSE,"",1,"Acanthostracion_guineensis",NA,NA,NA,"diurnal",1,"diurnal",""
"43","acanthostracion notacanthus","Acanthostracion notacanthus",FALSE,3631409,FALSE,"",1,"Acanthostracion_notacanthus","Acanthostracion","Ostraciidae","Tetraodontiformes","diurnal",1,"diurnal",""
"44","acanthostracion polygonius","Acanthostracion polygonius",FALSE,333678,FALSE,"",1,"Acanthostracion_polygonius",NA,NA,NA,"diurnal",1,"diurnal",""
"45","acanthostracion quadricornis","Acanthostracion quadricornis",FALSE,179259,FALSE,"",1,"Acanthostracion_quadricornis","Acanthostracion","Ostraciidae","Tetraodontiformes","unclear",2,"unknown",""
"46","acanthurus achilles","Acanthurus achilles",FALSE,347408,FALSE,"",1,"Acanthurus_achilles","Acanthurus","Acanthuridae","Acanthuriformes","crepuscular",2,"crepuscular",""
"47","acanthurus bahianus","Acanthurus bahianus",FALSE,324280,FALSE,"",1,"Acanthurus_bahianus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",3,"diurnal",""
"48","acanthurus blochii","Acanthurus blochii",FALSE,1035639,FALSE,"",1,"Acanthurus_blochii","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"49","acanthurus chirurgus","Acanthurus chirurgus",FALSE,737834,FALSE,"",1,"Acanthurus_chirurgus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",3,"diurnal",""
"50","acanthurus coeruleus","Acanthurus coeruleus",FALSE,324283,FALSE,"",1,"Acanthurus_coeruleus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"51","acanthurus guttatus","Acanthurus guttatus",FALSE,824727,FALSE,"",2,"Acanthurus_guttatus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"52","acanthurus leucocheilus","Acanthurus leucocheilus",FALSE,4135122,FALSE,"",1,"Acanthurus_leucocheilus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"53","acanthurus leucopareius","Acanthurus leucopareius",FALSE,4948804,FALSE,"",1,"Acanthurus_leucopareius","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",1,"diurnal",""
"54","acanthurus lineatus","Acanthurus lineatus",FALSE,93141,FALSE,"",1,"Acanthurus_lineatus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"55","acanthurus maculiceps","Acanthurus maculiceps",FALSE,4948808,FALSE,"",1,"Acanthurus_maculiceps","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"56","acanthurus mata","Acanthurus mata",FALSE,467310,FALSE,"",1,"Acanthurus_mata","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"57","acanthurus monroviae","Acanthurus monroviae",FALSE,410350,FALSE,"",1,"Acanthurus_monroviae","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",1,"diurnal",""
"58","acanthurus nigricans","Acanthurus nigricans",FALSE,467313,FALSE,"",1,"Acanthurus_nigricans","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"59","acanthurus nigricauda","Acanthurus nigricauda",FALSE,347377,FALSE,"",1,"Acanthurus_nigricauda","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",3,"diurnal",""
"60","acanthurus nigrofuscus","Acanthurus nigrofuscus",FALSE,605289,FALSE,"",1,"Acanthurus_nigrofuscus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",3,"diurnal",""
"61","acanthurus olivaceus","Acanthurus olivaceus",FALSE,1035648,FALSE,"",1,"Acanthurus_olivaceus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"62","acanthurus thompsoni","Acanthurus thompsoni",FALSE,467297,FALSE,"",1,"Acanthurus_thompsoni","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",3,"diurnal",""
"63","acanthurus tractus","Acanthurus tractus",FALSE,4135120,FALSE,"",2,"Acanthurus_tractus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",1,"diurnal",""
"64","acanthurus triostegus","Acanthurus triostegus",FALSE,467300,FALSE,"",1,"Acanthurus_triostegus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"65","acanthurus xanthopterus","Acanthurus xanthopterus",FALSE,824720,FALSE,"",1,"Acanthurus_xanthopterus","Acanthurus","Acanthuridae","Acanthuriformes","diurnal",2,"diurnal",""
"66","acaronia nassa","Acaronia nassa",FALSE,170137,FALSE,"",1,"Acaronia_nassa","Acaronia","Cichlidae","Cichliformes","diurnal",2,"diurnal",""
"67","acentrogobius pflaumii","Acentrogobius pflaumii",FALSE,423833,FALSE,"",1,"Acentrogobius_pflaumii","Acentrogobius","Gobiidae","Gobiiformes","nocturnal",1,"nocturnal",""
"68","acentronichthys leptos","Acentronichthys leptos",FALSE,1018972,FALSE,"",1,"Acentronichthys_leptos","Acentronichthys","Heptapteridae","Siluriformes","nocturnal",2,"nocturnal",""
"69","acestrocephalus ginesi","Acestrocephalus sardina",FALSE,48215,TRUE,"",1,"Acestrocephalus_sardina","Acestrocephalus","Characidae","Characiformes","nocturnal",2,"nocturnal",""
"70","acestrorhynchus altus","Acestrorhynchus altus",FALSE,845247,FALSE,"",1,"Acestrorhynchus_altus","Acestrorhynchus","Acestrorhynchidae","Characiformes","diurnal",3,"diurnal",""
"71","acestrorhynchus falcirostris","Acestrorhynchus falcirostris",FALSE,512072,FALSE,"",1,"Acestrorhynchus_falcirostris","Acestrorhynchus","Acestrorhynchidae","Characiformes","crepuscular",2,"crepuscular",""
"72","acestrorhynchus grandoculis","Acestrorhynchus grandoculis",FALSE,270832,FALSE,"",1,"Acestrorhynchus_grandoculis","Acestrorhynchus","Acestrorhynchidae","Characiformes","nocturnal",2,"nocturnal",""
"73","acestrorhynchus microlepis","Acestrorhynchus microlepis",FALSE,1035041,FALSE,"",1,"Acestrorhynchus_microlepis","Acestrorhynchus","Acestrorhynchidae","Characiformes","nocturnal",2,"nocturnal",""
"74","acestrorhynchus minimus","Acestrorhynchus minimus",FALSE,512091,FALSE,"",1,"Acestrorhynchus_minimus","Acestrorhynchus","Acestrorhynchidae","Characiformes","nocturnal",2,"nocturnal",""
"75","acheilognathus melanogaster","Acheilognathus melanogaster",FALSE,81090,FALSE,"",1,"Acheilognathus_melanogaster","Acheilognathus","Acheilognathidae","Cypriniformes","diurnal",2,"diurnal",""
"76","achirus lineatus","Achirus lineatus",FALSE,153494,FALSE,"",1,"Achirus_lineatus","Achirus","Achiridae","Pleuronectiformes","nocturnal",1,"nocturnal",""
"77","achondrostoma arcasii","Achondrostoma arcasii",FALSE,262117,FALSE,"",1,"Achondrostoma_arcasii","Achondrostoma","Leuciscidae","Cypriniformes","unclear",3,"unknown",""
"78","acipenser baeri","Acipenser baerii",FALSE,518827,TRUE,"",1,"Acipenser_baerii","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",3,"nocturnal",""
"79","acipenser brevirostrum","Acipenser brevirostrum",FALSE,82746,FALSE,"",1,"Acipenser_brevirostrum","Acipenser","Acipenseridae","Acipenseriformes","diurnal",3,"diurnal",""
"80","acipenser fulvescens","Acipenser fulvescens",FALSE,698270,FALSE,"",1,"Acipenser_fulvescens","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",5,"nocturnal",""
"81","acipenser gueldenstaedtii","Acipenser gueldenstaedtii",FALSE,378912,FALSE,"",1,"Acipenser_gueldenstaedtii","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",5,"nocturnal",""
"82","acipenser medirostris","Acipenser medirostris",FALSE,378900,FALSE,"",1,"Acipenser_medirostris","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",2,"nocturnal",""
"83","acipenser nudiventris","Acipenser nudiventris",FALSE,228582,FALSE,"",1,"Acipenser_nudiventris","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",1,"nocturnal",""
"84","acipenser oxyrhynchus","Acipenser oxyrinchus",FALSE,962564,TRUE,"",1,"Acipenser_oxyrinchus","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",4,"nocturnal",""
"85","acipenser persicus","Acipenser persicus",FALSE,228602,FALSE,"",1,"Acipenser_persicus","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",1,"nocturnal",""
"86","acipenser ruthenus","Acipenser ruthenus",FALSE,378930,FALSE,"",1,"Acipenser_ruthenus","Acipenser","Acipenseridae","Acipenseriformes","diurnal",3,"diurnal","GCA 004119895.1"
"87","acipenser schrenckii","Acipenser schrenckii",FALSE,627357,FALSE,"",1,"Acipenser_schrenckii","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",5,"nocturnal",""
"88","acipenser stellatus","Acipenser stellatus",FALSE,378920,FALSE,"",1,"Acipenser_stellatus","Acipenser","Acipenseridae","Acipenseriformes","diurnal",5,"diurnal",""
"89","acipenser transmontanus","Acipenser transmontanus",FALSE,378925,FALSE,"",1,"Acipenser_transmontanus","Acipenser","Acipenseridae","Acipenseriformes","nocturnal",4,"nocturnal",""
"90","acnodon normani","Acnodon normani",FALSE,179103,FALSE,"",1,"Acnodon_normani","Acnodon","Serrasalmidae","Characiformes","diurnal",3,"diurnal",""
"91","acrochordonichthys gyrinus","Acrochordonichthys gyrinus",FALSE,3623990,FALSE,"",1,"Acrochordonichthys_gyrinus","Acrochordonichthys","Akysidae","Siluriformes","nocturnal",1,"nocturnal",""
"92","acrochordonichthys rugosus","Acrochordonichthys rugosus",FALSE,315256,FALSE,"",1,"Acrochordonichthys_rugosus","Acrochordonichthys","Akysidae","Siluriformes","nocturnal",1,"nocturnal",""
"93","acyrtops amplicirrus","Acyrtops amplicirrus",FALSE,3638557,FALSE,"",1,"Acyrtops_amplicirrus","Acyrtops","Gobiesocidae","Gobiesociformes","diurnal",1,"diurnal",""
"94","acyrtops beryllinus","Acyrtops beryllinus",FALSE,302809,FALSE,"",1,"Acyrtops_beryllinus","Acyrtops","Gobiesocidae","Gobiesociformes","diurnal",1,"diurnal",""
"95","acyrtus artius","Acyrtus artius",FALSE,3638651,FALSE,"",1,"Acyrtus_artius","Acyrtus","Gobiesocidae","Gobiesociformes","diurnal",1,"diurnal",""
"96","acyrtus pauciradiatus","Acyrtus pauciradiatus",FALSE,3638717,FALSE,"",1,"Acyrtus_pauciradiatus","Acyrtus","Gobiesocidae","Gobiesociformes","diurnal",1,"diurnal",""
"97","acyrtus rubiginosus","Acyrtus rubiginosus",FALSE,3638715,FALSE,"",1,"Acyrtus_rubiginosus","Acyrtus","Gobiesocidae","Gobiesociformes","diurnal",1,"diurnal",""
"99","aeoliscus strigatus","Aeoliscus strigatus",FALSE,652346,FALSE,"incertae_sedis_inherited",1,"Aeoliscus_strigatus","Aeoliscus","Centriscidae","Syngnathiformes","diurnal",2,"diurnal",""
"100","aequidens michaeli","Aequidens michaeli",FALSE,314753,FALSE,"",1,"Aequidens_michaeli","Aequidens","Cichlidae","Cichliformes","diurnal",3,"diurnal",""
"101","aequidens pallidus","Aequidens pallidus",FALSE,3636211,FALSE,"",1,"Aequidens_pallidus","Aequidens","Cichlidae","Cichliformes","diurnal",3,"diurnal",""
"102","aequidens portalegrensis","Cichlasoma portalagrense",FALSE,221908,TRUE,"sibling_higher",1,"Cichlasoma_portalagrense",NA,NA,NA,"diurnal",1,"diurnal",""
