"","Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2","tabulated_diel"
"25","Bos sauveli","Bovidae","unclear/crepuscular","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"26","Boselaphus tragocamelus","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"27","Bubalis bubalis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"28","Bubalus arnee","Bovidae",NA,"cathemeral",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"29","Bubalus depressicornis","Bovidae","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"30","Bubalus mindorensis","Bovidae",NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,"cathemeral"
"31","Bubalus quarlesi","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"32","Budorcas taxicolor","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"33","Camelus bactrianus","Camelidae",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"34","Camelus dromedarius","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"35","Camelus ferus","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"36","Capra aegagrus","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"37","Capra caucasica","Bovidae","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"38","Capra cylindricornis","Bovidae","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"39","Capra falconeri","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"40","Capra ibex","Bovidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"41","Capra nubiana","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"42","Capra pyrenaica","Bovidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"43","Capra sibirica","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"44","Capra walie","Bovidae",NA,NA,"cathemeral/crepuscular",NA,NA,"unclear/crepuscular","unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"45","Capreolus capreolus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"46","Capreolus pygargus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"47","Capricornis crispus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"48","Capricornis rubidus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"49","Capricornis sumatraensis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","nocturnal","cathemeral",NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"50","Capricornis swinhoei","Bovidae","unclear/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"51","Capricornis thar","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"52","Catagonus wagneri","Tayassuidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"53","Cephalophus adersi","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"54","Cephalophus callipygus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"55","Cephalophus dorsalis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,"nocturnal"
"56","Cephalophus harveyi","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"57","Cephalophus jentinki","Bovidae",NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"58","Cephalophus leucogaster","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"59","Cephalophus natalensis","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"60","Cephalophus niger","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"61","Cephalophus nigrifrons","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"62","Cephalophus ogilbyi","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal","diurnal",NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,"diurnal"
"63","Cephalophus rufilatus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"64","Cephalophus silvicultor","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal/crepuscular","nocturnal","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,"nocturnal"
"65","Cephalophus spadix","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"66","Cephalophus weynsi","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"67","Cephalophus zebra","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"68","Cervus albirostris","Cervidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"69","Cervus canadensis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"70","Cervus elaphus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,"cathemeral/crepuscular",NA,"cathemeral/crepuscular","cathemeral/crepuscular",NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"71","Cervus nippon","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","nocturnal/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"72","Choeropsis liberiensis","Hippopotamidae",NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"73","Connochaetes gnou","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"74","Connochaetes taurinus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,"diurnal/crepuscular","cathemeral/crepuscular","diurnal/crepuscular",NA,NA,"diurnal",NA,NA,"diurnal/crepuscular"
"75","Dama dama","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","diurnal","diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"76","Dama mesopotamica","Cervidae","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"77","Damaliscus lunatus","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"78","Damaliscus pygargus","Bovidae",NA,"diurnal",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"79","Dorcatragus megalotis","Bovidae",NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"80","Elaphodus cephalophus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"81","Elaphurus davidianus","Cervidae",NA,NA,NA,NA,NA,"diurnal","unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,"diurnal"
"82","Eudorcas albonotata","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"83","Eudorcas rufifrons","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"84","Eudorcas thomsonii","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"85","Gazella bennettii","Bovidae",NA,"nocturnal",NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"86","Gazella cuvieri","Bovidae","diurnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"87","Gazella dorcas","Bovidae",NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","cathemeral",NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"88","Gazella gazella","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"89","Gazella leptoceros","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"90","Gazella marica","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"91","Gazella spekei","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"92","Gazella subgutturosa","Bovidae",NA,"cathemeral/crepuscular",NA,NA,NA,"diurnal/crepuscular",NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"93","Giraffa camelopardalis","Giraffidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
