"","Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2","tabulated_diel"
"94","Hemitragus jemlahicus","Bovidae",NA,NA,NA,NA,NA,"cathemeral/crepuscular","unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"95","Hippocamelus antisensis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"96","Hippocamelus bisulcus","Cervidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"97","Hippopotamus amphibius","Hippopotamidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,"nocturnal/crepuscular",NA,NA,"nocturnal","nocturnal/crepuscular","nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"98","Hippotragus equinus","Bovidae",NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal",NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"99","Hippotragus niger","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular"
"100","Hydropotes inermis","Cervidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"101","Hyemoschus aquaticus","Tragulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal","nocturnal","nocturnal",NA,NA,"nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal"
"102","Hylochoerus meinertzhageni","Suidae",NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,"diurnal/crepuscular",NA,"diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"103","Kobus ellipsiprymnus","Bovidae",NA,"cathemeral/crepuscular",NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"104","Kobus kob","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular","unclear/crepuscular",NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,"diurnal/cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral"
"105","Kobus leche","Bovidae",NA,NA,NA,"diurnal",NA,"unclear/crepuscular","unclear/crepuscular","unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"106","Kobus megaceros","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular"
"107","Kobus vardonii","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular","nocturnal",NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular"
"108","Lama glama","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
"109","Lama guanicoe","Camelidae",NA,"unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal"
