"","Species_name","Family","Order","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_2","Diel_Pattern_4","Confidence","tips"
"Hylochoerus_meinertzhageni","Hylochoerus meinertzhageni","Suidae","Suina","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Hylochoerus_meinertzhageni"
"Ovibos_moschatus","Ovibos moschatus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","4","Ovibos_moschatus"
"Ovis_ammon","Ovis ammon","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Ovis_ammon"
"Ourebia_ourebi","Ourebia ourebi","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Ourebia_ourebi"
"Pantholops_hodgsonii","Pantholops hodgsonii","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Pantholops_hodgsonii"
"Pecari_tajacu","Pecari tajacu","Tayassuidae","Suina","diurnal","diurnal","diurnal","diurnal","3","Pecari_tajacu"
"Ovis_orientalis","Ovis orientalis","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Ovis_orientalis"
"Ozotoceros_bezoarticus","Ozotoceros bezoarticus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","4","Ozotoceros_bezoarticus"
"Pseudois_nayaur","Pseudois nayaur","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Pseudois_nayaur"
"Tragelaphus_spekii","Tragelaphus spekii","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Tragelaphus_spekii"
"Axis_kuhlii","Axis kuhlii","Cervidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","3","Axis_kuhlii"
"Rucervus_duvaucelii","Rucervus duvaucelii","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Rucervus_duvaucelii"
"Bos_javanicus","Bos javanicus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Bos_javanicus"
"Cephalophus_callipygus","Cephalophus callipygus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Cephalophus_callipygus"
"Cephalophus_dorsalis","Cephalophus dorsalis","Bovidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Cephalophus_dorsalis"
"Tragelaphus_buxtoni","Tragelaphus buxtoni","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Tragelaphus_buxtoni"
"Cephalophus_harveyi","Cephalophus harveyi","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Cephalophus_harveyi"
"Cephalophus_leucogaster","Cephalophus leucogaster","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Cephalophus_leucogaster"
"Cephalophus_nigrifrons","Cephalophus nigrifrons","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Cephalophus_nigrifrons"
"Cephalophus_ogilbyi","Cephalophus ogilbyi","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","3","Cephalophus_ogilbyi"
"Cephalophus_silvicultor","Cephalophus silvicultor","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Cephalophus_silvicultor"
"Cervus_nippon","Cervus nippon","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Cervus_nippon"
"Choeropsis_liberiensis","Choeropsis liberiensis","Hippopotamidae","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Choeropsis_liberiensis"
"Dama_dama","Dama dama","Cervidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Dama_dama"
"Gazella_gazella","Gazella gazella","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Gazella_gazella"
"Giraffa_camelopardalis","Giraffa camelopardalis","Giraffidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Giraffa_camelopardalis"
"Mazama_americana","Mazama americana","Cervidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Mazama_americana"
"Mazama_gouazoubira","Mazama gouazoubira","Cervidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Mazama_gouazoubira"
"Mazama_rufina","Mazama rufina","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","3","Mazama_rufina"
"Muntiacus_muntjak","Muntiacus muntjak","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","3","Muntiacus_muntjak"
