"","Species_name","Family","Order","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_2","Diel_Pattern_4","Confidence","tips"
"Odocoileus_hemionus","Odocoileus hemionus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Odocoileus_hemionus"
"Gazella_bennettii","Gazella bennettii","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","2","Gazella_bennettii"
"Oryx_leucoryx","Oryx leucoryx","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Oryx_leucoryx"
"Ovis_gmelini","Ovis gmelini","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Ovis_gmelini"
"Gazella_cuvieri","Gazella cuvieri","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","1","Gazella_cuvieri"
"Gazella_erlangeri","Gazella erlangeri","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Gazella_erlangeri"
"Gazella_spekei","Gazella spekei","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Gazella_spekei"
"Gazella_subgutturosa","Gazella subgutturosa","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Gazella_subgutturosa"
"Giraffa_giraffa","Giraffa giraffa","Giraffidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Giraffa_giraffa"
"Rupicapra_rupicapra","Rupicapra rupicapra","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","4","Rupicapra_rupicapra"
"Giraffa_reticulata","Giraffa reticulata","Giraffidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Giraffa_reticulata"
"Giraffa_tippelskirchii","Giraffa tippelskirchii","Giraffidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Giraffa_tippelskirchii"
"Hemitragus_jemlahicus","Hemitragus jemlahicus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Hemitragus_jemlahicus"
"Hippocamelus_bisulcus","Hippocamelus bisulcus","Cervidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Hippocamelus_bisulcus"
"Hippotragus_leucophaeus","Hippotragus leucophaeus","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Hippotragus_leucophaeus"
"Syncerus_caffer","Syncerus caffer","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Syncerus_caffer"
"Kobus_ellipsiprymnus","Kobus ellipsiprymnus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Kobus_ellipsiprymnus"
"Kobus_leche","Kobus leche","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Kobus_leche"
"Kobus_megaceros","Kobus megaceros","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Kobus_megaceros"
"Lama_glama","Lama glama","Camelidae","Tylopoda","diurnal","diurnal","diurnal","diurnal","4","Lama_glama"
"Lama_pacos","Lama pacos","Camelidae","Tylopoda","unknown","unknown","unknown","unknown","unknown","Lama_pacos"
"Litocranius_walleri","Litocranius walleri","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Litocranius_walleri"
"Madoqua_piacentinii","Madoqua piacentinii","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Madoqua_piacentinii"
"Mazama_bricenii","Mazama bricenii","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","1","Mazama_bricenii"
"Moschus_anhuiensis","Moschus anhuiensis","Moschidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Moschus_anhuiensis"
"Moschus_cupreus","Moschus cupreus","Moschidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","2","Moschus_cupreus"
"Moschus_fuscus","Moschus fuscus","Moschidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Moschus_fuscus"
"Babyrousa_celebensis","Babyrousa celebensis","Suidae","Suina","diurnal","diurnal","diurnal","diurnal","5","Babyrousa_celebensis"
"Moschus_leucogaster","Moschus leucogaster","Moschidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","2","Moschus_leucogaster"
"Moschus_moschiferus","Moschus moschiferus","Moschidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Moschus_moschiferus"
"Muntiacus_feae","Muntiacus feae","Cervidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Muntiacus_feae"
"Muntiacus_gongshanensis","Muntiacus gongshanensis","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Muntiacus_gongshanensis"
"Muntiacus_puhoatensis","Muntiacus puhoatensis","Cervidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Muntiacus_puhoatensis"
"Muntiacus_putaoensis","Muntiacus putaoensis","Cervidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Muntiacus_putaoensis"
"Muntiacus_rooseveltorum","Muntiacus rooseveltorum","Cervidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Muntiacus_rooseveltorum"
"Muntiacus_truongsonensis","Muntiacus truongsonensis","Cervidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Muntiacus_truongsonensis"
"Naemorhedus_baileyi","Naemorhedus baileyi","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","1","Naemorhedus_baileyi"
"Madoqua_saltiana","Madoqua saltiana","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","5","Madoqua_saltiana"
"Connochaetes_taurinus","Connochaetes taurinus","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","5","Connochaetes_taurinus"
"Lama_guanicoe","Lama guanicoe","Camelidae","Tylopoda","diurnal","diurnal","diurnal","diurnal","5","Lama_guanicoe"
"Nanger_granti","Nanger granti","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Nanger_granti"
"Tragulus_kanchil","Tragulus kanchil","Tragulidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","5","Tragulus_kanchil"
"Nanger_soemmerringii","Nanger soemmerringii","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Nanger_soemmerringii"
"Nilgiritragus_hylocrius","Nilgiritragus hylocrius","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Nilgiritragus_hylocrius"
"Oryx_beisa","Oryx beisa","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Oryx_beisa"
"Ovis_nivicola","Ovis nivicola","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Ovis_nivicola"
"Ovis_vignei","Ovis vignei","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Ovis_vignei"
"Rangifer_tarandus","Rangifer tarandus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","5","Rangifer_tarandus"
"Pelea_capreolus","Pelea capreolus","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Pelea_capreolus"
"Phacochoerus_aethiopicus","Phacochoerus aethiopicus","Suidae","Suina","diurnal","diurnal","diurnal","diurnal","2","Phacochoerus_aethiopicus"
"Porcula_salvania","Porcula salvania","Suidae","Suina","diurnal","diurnal","diurnal","diurnal","2","Porcula_salvania"
"Potamochoerus_larvatus","Potamochoerus larvatus","Suidae","Suina","nocturnal","nocturnal","nocturnal","nocturnal","1","Potamochoerus_larvatus"
"Procapra_gutturosa","Procapra gutturosa","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","1","Procapra_gutturosa"
"Procapra_picticaudata","Procapra picticaudata","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Procapra_picticaudata"
"Procapra_przewalskii","Procapra przewalskii","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Procapra_przewalskii"
"Pudu_mephistophiles","Pudu mephistophiles","Cervidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Pudu_mephistophiles"
"Raphicerus_melanotis","Raphicerus melanotis","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Raphicerus_melanotis"
"Raphicerus_sharpei","Raphicerus sharpei","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Raphicerus_sharpei"
"Redunca_arundinum","Redunca arundinum","Bovidae","Ruminantia","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Redunca_arundinum"
"Rucervus_eldii","Rucervus eldii","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Rucervus_eldii"
"Rupicapra_pyrenaica","Rupicapra pyrenaica","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","2","Rupicapra_pyrenaica"
"Rusa_alfredi","Rusa alfredi","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","1","Rusa_alfredi"
"Rusa_marianna","Rusa marianna","Cervidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","1","Rusa_marianna"
"Saiga_tatarica","Saiga tatarica","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","1","Saiga_tatarica"
"Sus_ahoenobarbus","Sus ahoenobarbus","Suidae","Suina","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Sus_ahoenobarbus"
"Sus_cebifrons","Sus cebifrons","Suidae","Suina","nocturnal","nocturnal","nocturnal","nocturnal","1","Sus_cebifrons"
"Sus_celebensis","Sus celebensis","Suidae","Suina","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","1","Sus_celebensis"
"Sus_oliveri","Sus oliveri","Suidae","Suina",NA,"crepuscular","cathemeral","cathemeral","1","Sus_oliveri"
"Tragelaphus_imberbis","Tragelaphus imberbis","Bovidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","1","Tragelaphus_imberbis"
"Tragulus_nigricans","Tragulus nigricans","Tragulidae","Ruminantia","nocturnal","nocturnal","nocturnal","nocturnal","1","Tragulus_nigricans"
"Vicugna_vicugna","Vicugna vicugna","Camelidae","Tylopoda","diurnal","diurnal","diurnal","diurnal","2","Vicugna_vicugna"
"Balaena_mysticetus","Balaena mysticetus","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Balaena_mysticetus"
"Balaenoptera_acutorostrata","Balaenoptera acutorostrata","Mysticeti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Balaenoptera_acutorostrata"
"Balaenoptera_bonaerensis","Balaenoptera bonaerensis","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Balaenoptera_bonaerensis"
"Balaenoptera_borealis","Balaenoptera borealis","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Balaenoptera_borealis"
"Balaenoptera_brydei","Balaenoptera brydei","Mysticeti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","4","Balaenoptera_brydei"
"Balaenoptera_edeni","Balaenoptera edeni","Mysticeti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","4","Balaenoptera_edeni"
"Balaenoptera_musculus","Balaenoptera musculus","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Balaenoptera_musculus"
"Balaenoptera_omurai","Balaenoptera omurai","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Balaenoptera_omurai"
"Balaenoptera_physalus","Balaenoptera physalus","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Balaenoptera_physalus"
"Balaenoptera_ricei","Balaenoptera ricei","Mysticeti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","4","Balaenoptera_ricei"
"Berardius_arnuxii","Berardius arnuxii","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","2","Berardius_arnuxii"
"Berardius_bairdii","Berardius bairdii","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Berardius_bairdii"
"Berardius_minimus","Berardius minimus","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Berardius_minimus"
"Caperea_marginata","Caperea marginata","Mysticeti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","1","Caperea_marginata"
"Cephalorhynchus_commersonii","Cephalorhynchus commersonii","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","5","Cephalorhynchus_commersonii"
"Cephalorhynchus_eutropia","Cephalorhynchus eutropia","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Cephalorhynchus_eutropia"
"Cephalorhynchus_heavisidii","Cephalorhynchus heavisidii","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Cephalorhynchus_heavisidii"
"Cephalorhynchus_hectori","Cephalorhynchus hectori","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","4","Cephalorhynchus_hectori"
"Delphinapterus_leucas","Delphinapterus leucas","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","5","Delphinapterus_leucas"
"Delphinus_delphis","Delphinus delphis","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Delphinus_delphis"
"Eschrichtius_robustus","Eschrichtius robustus","Mysticeti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","5","Eschrichtius_robustus"
"Eubalaena_australis","Eubalaena australis","Mysticeti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Eubalaena_australis"
"Eubalaena_glacialis","Eubalaena glacialis","Mysticeti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","4","Eubalaena_glacialis"
"Eubalaena_japonica","Eubalaena japonica","Mysticeti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Eubalaena_japonica"
"Feresa_attenuata","Feresa attenuata","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","4","Feresa_attenuata"
"Globicephala_macrorhynchus","Globicephala macrorhynchus","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Globicephala_macrorhynchus"
"Globicephala_melas","Globicephala melas","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","4","Globicephala_melas"
"Grampus_griseus","Grampus griseus","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Grampus_griseus"
"Hyperoodon_ampullatus","Hyperoodon ampullatus","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Hyperoodon_ampullatus"
"Hyperoodon_planifrons","Hyperoodon planifrons","Odontoceti","Whippomorpha","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Hyperoodon_planifrons"
"Indopacetus_pacificus","Indopacetus pacificus","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Indopacetus_pacificus"
"Inia_araguaiaensis","Inia araguaiaensis","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Inia_araguaiaensis"
"Inia_boliviensis","Inia boliviensis","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","0","Inia_boliviensis"
"Inia_geoffrensis","Inia geoffrensis","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","5","Inia_geoffrensis"
"Inia_humboldtiana","Inia humboldtiana","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","0","Inia_humboldtiana"
"Kogia_breviceps","Kogia breviceps","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Kogia_breviceps"
"Kogia_sima","Kogia sima","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Kogia_sima"
"Lagenodelphis_hosei","Lagenodelphis hosei","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Lagenodelphis_hosei"
"Lagenorhynchus_acutus","Lagenorhynchus acutus","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","5","Lagenorhynchus_acutus"
"Lagenorhynchus_albirostris","Lagenorhynchus albirostris","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Lagenorhynchus_albirostris"
"Lagenorhynchus_australis","Lagenorhynchus australis","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","2","Lagenorhynchus_australis"
"Lagenorhynchus_cruciger","Lagenorhynchus cruciger","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","2","Lagenorhynchus_cruciger"
"Lagenorhynchus_obliquidens","Lagenorhynchus obliquidens","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","5","Lagenorhynchus_obliquidens"
"Lagenorhynchus_obscurus","Lagenorhynchus obscurus","Odontoceti","Whippomorpha","cathemeral","crepuscular","cathemeral","cathemeral","4","Lagenorhynchus_obscurus"
"Lipotes_vexillifer","Lipotes vexillifer","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","5","Lipotes_vexillifer"
"Lissodelphis_borealis","Lissodelphis borealis","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","0","Lissodelphis_borealis"
"Lissodelphis_peronii","Lissodelphis peronii","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","0","Lissodelphis_peronii"
"Megaptera_novaeangliae","Megaptera novaeangliae","Mysticeti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Megaptera_novaeangliae"
"Mesoplodon_bidens","Mesoplodon bidens","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Mesoplodon_bidens"
"Mesoplodon_bowdoini","Mesoplodon bowdoini","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Mesoplodon_bowdoini"
"Mesoplodon_carlhubbsi","Mesoplodon carlhubbsi","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Mesoplodon_carlhubbsi"
"Mesoplodon_densirostris","Mesoplodon densirostris","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Mesoplodon_densirostris"
"Mesoplodon_eueu","Mesoplodon eueu","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","0.5","Mesoplodon_eueu"
"Mesoplodon_europaeus","Mesoplodon europaeus","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Mesoplodon_europaeus"
"Mesoplodon_ginkgodens","Mesoplodon ginkgodens","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Mesoplodon_ginkgodens"
"Mesoplodon_grayi","Mesoplodon grayi","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","0.5","Mesoplodon_grayi"
"Mesoplodon_hectori","Mesoplodon hectori","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Mesoplodon_hectori"
"Mesoplodon_hotaula","Mesoplodon hotaula","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","3","Mesoplodon_hotaula"
"Mesoplodon_layardii","Mesoplodon layardii","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","0.5","Mesoplodon_layardii"
"Mesoplodon_mirus","Mesoplodon mirus","Odontoceti","Whippomorpha","diurnal","crepuscular","diurnal/crepuscular","diurnal","3","Mesoplodon_mirus"
"Mesoplodon_perrini","Mesoplodon perrini","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Mesoplodon_perrini"
"Mesoplodon_peruvianus","Mesoplodon peruvianus","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","0.5","Mesoplodon_peruvianus"
"Mesoplodon_stejnegeri","Mesoplodon stejnegeri","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Mesoplodon_stejnegeri"
"Mesoplodon_traversii","Mesoplodon traversii","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Mesoplodon_traversii"
"Monodon_monoceros","Monodon monoceros","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Monodon_monoceros"
"Neophocaena_asiaeorientalis","Neophocaena asiaeorientalis","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","5","Neophocaena_asiaeorientalis"
"Neophocaena_phocaenoides","Neophocaena phocaenoides","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Neophocaena_phocaenoides"
"Neophocaena_sunameri","Neophocaena sunameri","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","3","Neophocaena_sunameri"
"Orcaella_brevirostris","Orcaella brevirostris","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Orcaella_brevirostris"
"Orcaella_heinsohni","Orcaella heinsohni","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","2","Orcaella_heinsohni"
"Orcinus_orca","Orcinus orca","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","4","Orcinus_orca"
"Peponocephala_electra","Peponocephala electra","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","4","Peponocephala_electra"
"Phocoena_dioptrica","Phocoena dioptrica","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","unknown","Phocoena_dioptrica"
"Phocoena_phocoena","Phocoena phocoena","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Phocoena_phocoena"
"Phocoena_sinus","Phocoena sinus","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Phocoena_sinus"
"Phocoena_spinipinnis","Phocoena spinipinnis","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","2","Phocoena_spinipinnis"
"Phocoenoides_dalli","Phocoenoides dalli","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Phocoenoides_dalli"
"Physeter_macrocephalus","Physeter macrocephalus","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Physeter_macrocephalus"
"Platanista_gangetica","Platanista gangetica","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Platanista_gangetica"
"Platanista_minor","Platanista minor","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Platanista_minor"
"Pontoporia_blainvillei","Pontoporia blainvillei","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Pontoporia_blainvillei"
"Pseudorca_crassidens","Pseudorca crassidens","Odontoceti","Whippomorpha","diurnal","diurnal","diurnal","diurnal","5","Pseudorca_crassidens"
"Sotalia_fluviatilis","Sotalia fluviatilis","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Sotalia_fluviatilis"
"Sotalia_guianensis","Sotalia guianensis","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","3","Sotalia_guianensis"
"Sousa_chinensis","Sousa chinensis","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Sousa_chinensis"
"Sousa_plumbea","Sousa plumbea","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","3","Sousa_plumbea"
"Sousa_sahulensis","Sousa sahulensis","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","0.5","Sousa_sahulensis"
"Sousa_teuszii","Sousa teuszii","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Sousa_teuszii"
"Stenella_attenuata","Stenella attenuata","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Stenella_attenuata"
"Stenella_clymene","Stenella clymene","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","0","Stenella_clymene"
"Stenella_coeruleoalba","Stenella coeruleoalba","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","3","Stenella_coeruleoalba"
"Stenella_frontalis","Stenella frontalis","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","2","Stenella_frontalis"
"Stenella_longirostris","Stenella longirostris","Odontoceti","Whippomorpha","nocturnal","nocturnal","nocturnal","nocturnal","4","Stenella_longirostris"
"Steno_bredanensis","Steno bredanensis","Odontoceti","Whippomorpha","nocturnal","crepuscular","nocturnal/crepuscular","nocturnal","4","Steno_bredanensis"
"Tasmacetus_shepherdi","Tasmacetus shepherdi","Odontoceti","Whippomorpha",NA,"unknown","unknown","unknown","0.5","Tasmacetus_shepherdi"
"Tursiops_aduncus","Tursiops aduncus","Odontoceti","Whippomorpha","diurnal","crepuscular","diurnal/crepuscular","diurnal","5","Tursiops_aduncus"
"Tursiops_truncatus","Tursiops truncatus","Odontoceti","Whippomorpha","diurnal","crepuscular","diurnal/crepuscular","diurnal","5","Tursiops_truncatus"
"Ziphius_cavirostris","Ziphius cavirostris","Odontoceti","Whippomorpha",NA,"crepuscular","cathemeral","cathemeral","4","Ziphius_cavirostris"
