"","X","Species_name","Family","Notes","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel_Pattern","Confidence","tips","max_conf"
"41","Cephalophus_silvicultor","Cephalophus silvicultor","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Cephalophus_silvicultor","3"
"42","Cephalophus_spadix","Cephalophus spadix","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","","3","Cephalophus_spadix","3"
"43","Cephalophus_weynsi","Cephalophus weynsi","Bovidae","","diurnal","diurnal","diurnal","diurnal","","3","Cephalophus_weynsi","3"
"44","Cephalophus_zebra","Cephalophus zebra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Cephalophus_zebra","4"
"45","Cervus_albirostris","Cervus albirostris","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Cervus_albirostris","3"
"46","Cervus_canadensis","Cervus canadensis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Cervus_canadensis","4"
"47","Cervus_elaphus","Cervus elaphus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Nocturnal in europe, diurnal in Canda (from same source 1)","4","Cervus_elaphus","4"
"48","Cervus_nippon","Cervus nippon","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*deer adjust to activity to be more diurnal or nocturnal in response to culling (source 2)","3","Cervus_nippon","3"
"49","Connochaetes_gnou","Connochaetes gnou","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Connochaetes_gnou","4"
"50","Connochaetes_taurinus","Connochaetes taurinus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","5","Connochaetes_taurinus","5"
"51","Dama_dama","Dama dama","Cervidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Dama_dama","3"
"52","Elaphodus_cephalophus","Elaphodus cephalophus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Elaphodus_cephalophus","3"
"53","Eudorcas_albonotata","Eudorcas albonotata","Bovidae","*subsps of thomsonii, no info","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Eudorcas_albonotata","3"
"54","Eudorcas_rufifrons","Eudorcas rufifrons","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Eudorcas_rufifrons","3"
"55","Eudorcas_thomsonii","Eudorcas thomsonii","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Eudorcas_thomsonii","3"
"56","Gazella_dorcas","Gazella dorcas","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*switches seasonally from being more diurnal in the winter to more crepuscular in the spring","4","Gazella_dorcas","4"
"57","Gazella_gazella","Gazella gazella","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Gazella_gazella","3"
"58","Gazella_leptoceros","Gazella leptoceros","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","*more diurnal in winter, more nocturnal in summer","3","Gazella_leptoceros","3"
"59","Gazella_marica","Gazella marica","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more crepuscular in warm wet period, more nocturnal in hot dry period","4","Gazella_marica","4"
"60","Giraffa_camelopardalis","Giraffa camelopardalis","Giraffidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Giraffa_camelopardalis","3"
"61","Hippocamelus_antisensis","Hippocamelus antisensis","Cervidae","","diurnal","diurnal","diurnal","diurnal","","3","Hippocamelus_antisensis","3"
"62","Hippotragus_equinus","Hippotragus equinus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*very diurnal in dry season","3","Hippotragus_equinus","3"
"63","Hippotragus_niger","Hippotragus niger","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Slightly more diurnal","4","Hippotragus_niger","4"
"64","Hydropotes_inermis","Hydropotes inermis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Hydropotes_inermis","4"
"65","Hyemoschus_aquaticus","Hyemoschus aquaticus","Tragulidae","","nocturnal","nocturnal","nocturnal","nocturnal","","4","Hyemoschus_aquaticus","4"
