"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"1","abalistes stellaris","Abalistes stellaris",FALSE,85767,FALSE,"",1,"Abalistes_stellaris","Abalistes","Balistidae","Tetraodontiformes","diurnal","diurnal",2,"",""
"2","ablennes hians","Ablennes hians",FALSE,42223,FALSE,"",1,"Ablennes_hians","Ablennes","Belonidae","Beloniformes","unclear","unknown",1,"",""
"3","abramis ballerus","Ballerus ballerus",FALSE,109791,TRUE,"",1,"Ballerus_ballerus","Ballerus","Leuciscidae","Cypriniformes","crepuscular","crepuscular",3,"","NEW_SPECIES"
"4","abramis brama","Abramis brama",FALSE,103921,FALSE,"",1,"Abramis_brama","Abramis","Leuciscidae","Cypriniformes","crepuscular/nocturnal","crepuscular",4,"",""
"5","abramites eques","Abramites eques",FALSE,3625692,FALSE,"",1,"Abramites_eques","Abramites","Anostomidae","Characiformes","nocturnal","nocturnal",2,"",""
"6","abudefduf abdominalis","Abudefduf abdominalis",FALSE,809329,FALSE,"incertae_sedis_inherited",1,"Abudefduf_abdominalis","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",4,"","NEW_SPECIES"
"7","abudefduf concolor","Abudefduf concolor",FALSE,659932,FALSE,"incertae_sedis_inherited",1,"Abudefduf_concolor","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"",""
"8","abudefduf declivifrons","Abudefduf declivifrons",FALSE,659926,FALSE,"incertae_sedis_inherited",1,"Abudefduf_declivifrons","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"",""
"9","abudefduf hoefleri","Abudefduf hoefleri",FALSE,779763,FALSE,"incertae_sedis_inherited",1,"Abudefduf_hoefleri","Abudefduf","Pomacentridae","Ovalentaria/misc","crepuscular/diurnal","crepuscular",1,"",""
"10","abudefduf saxatilis","Abudefduf saxatilis",FALSE,405751,FALSE,"incertae_sedis_inherited",1,"Abudefduf_saxatilis","Abudefduf","Pomacentridae","Ovalentaria/misc","crepuscular/diurnal","crepuscular",3,"",""
"11","abudefduf sordidus","Abudefduf sordidus",FALSE,1053071,FALSE,"incertae_sedis_inherited",1,"Abudefduf_sordidus","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",2,"",""
"12","abudefduf taurus","Abudefduf taurus",FALSE,961374,FALSE,"incertae_sedis_inherited",1,"Abudefduf_taurus","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",3,"",""
