"","Species_name","Diel_Pattern_2","tips"
"Elaphurus davidianus","Elaphurus davidianus","Diurnal","Elaphurus_davidianus"
"Eudorcas albonotata","Eudorcas albonotata","Diurnal","Eudorcas_albonotata"
"Eudorcas rufifrons","Eudorcas rufifrons","Crepuscular","Eudorcas_rufifrons"
"Eudorcas thomsonii","Eudorcas thomsonii","Cathemeral","Eudorcas_thomsonii"
"Gazella bennettii","Gazella bennettii","Nocturnal","Gazella_bennettii"
"Gazella cuvieri","Gazella cuvieri","Nocturnal","Gazella_cuvieri"
"Gazella dorcas","Gazella dorcas","Nocturnal","Gazella_dorcas"
"Gazella gazella","Gazella gazella","Cathemeral/Crepuscular","Gazella_gazella"
"Gazella leptoceros","Gazella leptoceros","Crepuscular","Gazella_leptoceros"
"Gazella marica","Gazella marica","Crepuscular","Gazella_marica"
"Gazella spekei","Gazella spekei","Crepuscular","Gazella_spekei"
"Gazella subgutturosa","Gazella subgutturosa","Diurnal","Gazella_subgutturosa"
"Giraffa camelopardalis","Giraffa camelopardalis","Diurnal","Giraffa_camelopardalis"
"Hemitragus jemlahicus","Hemitragus jemlahicus","Diurnal","Hemitragus_jemlahicus"
"Hippocamelus antisensis","Hippocamelus antisensis","Diurnal","Hippocamelus_antisensis"
"Hippocamelus bisulcus","Hippocamelus bisulcus","Diurnal","Hippocamelus_bisulcus"
"Hippopotamus amphibius","Hippopotamus amphibius","Nocturnal/Crepuscular","Hippopotamus_amphibius"
"Hippotragus equinus","Hippotragus equinus","Diurnal","Hippotragus_equinus"
"Hippotragus niger","Hippotragus niger","Cathemeral","Hippotragus_niger"
"Hydropotes inermis","Hydropotes inermis","Cathemeral","Hydropotes_inermis"
"Hyemoschus aquaticus","Hyemoschus aquaticus","Nocturnal","Hyemoschus_aquaticus"
"Hylochoerus meinertzhageni","Hylochoerus meinertzhageni","Diurnal/Crepuscular","Hylochoerus_meinertzhageni"
"Kobus ellipsiprymnus","Kobus ellipsiprymnus","Crepuscular","Kobus_ellipsiprymnus"
"Kobus kob","Kobus kob","Cathemeral","Kobus_kob"
"Kobus leche","Kobus leche","Diurnal","Kobus_leche"
"Kobus megaceros","Kobus megaceros","Diurnal","Kobus_megaceros"
"Kobus vardonii","Kobus vardonii","Crepuscular","Kobus_vardonii"
"Lama guanicoe","Lama guanicoe","Diurnal","Lama_guanicoe"
"Litocranius walleri","Litocranius walleri","Diurnal","Litocranius_walleri"
"Madoqua guentheri","Madoqua guentheri","Diurnal","Madoqua_guentheri"
"Madoqua kirkii","Madoqua kirkii","Diurnal/Crepuscular","Madoqua_kirkii"
"Madoqua piacentinii","Madoqua piacentinii","Cathemeral","Madoqua_piacentinii"
"Madoqua saltiana","Madoqua saltiana","Diurnal/Crepuscular","Madoqua_saltiana"
"Mazama americana","Mazama americana","Nocturnal/Crepuscular","Mazama_americana"
"Mazama bororo","Mazama bororo","Nocturnal","Mazama_bororo"
"Mazama bricenii","Mazama bricenii","Cathemeral","Mazama_bricenii"
"Mazama chunyi","Mazama chunyi","Crepuscular","Mazama_chunyi"
"Mazama gouazoubira","Mazama gouazoubira","Diurnal/Crepuscular","Mazama_gouazoubira"
"Mazama nana","Mazama nana","Cathemeral","Mazama_nana"
"Mazama nemorivaga","Mazama nemorivaga","Cathemeral","Mazama_nemorivaga"
"Mazama pandora","Mazama pandora","Crepuscular","Mazama_pandora"
"Mazama rufina","Mazama rufina","Nocturnal","Mazama_rufina"
"Mazama temama","Mazama temama","Cathemeral","Mazama_temama"
"Moschiola indica","Moschiola indica","Nocturnal","Moschiola_indica"
"Moschiola kathygre","Moschiola kathygre",NA,"Moschiola_kathygre"
"Moschiola meminna","Moschiola meminna","Nocturnal","Moschiola_meminna"
"Moschus anhuiensis","Moschus anhuiensis","Nocturnal","Moschus_anhuiensis"
"Moschus berezovskii","Moschus berezovskii","Nocturnal","Moschus_berezovskii"
"Moschus chrysogaster","Moschus chrysogaster","Nocturnal","Moschus_chrysogaster"
"Moschus cupreus","Moschus cupreus","Nocturnal","Moschus_cupreus"
"Moschus fuscus","Moschus fuscus","Nocturnal","Moschus_fuscus"
"Moschus leucogaster","Moschus leucogaster","Nocturnal","Moschus_leucogaster"
"Moschus moschiferus","Moschus moschiferus","Crepuscular","Moschus_moschiferus"
"Muntiacus atherodes","Muntiacus atherodes","Diurnal","Muntiacus_atherodes"
"Muntiacus crinifrons","Muntiacus crinifrons","Cathemeral","Muntiacus_crinifrons"
"Muntiacus feae","Muntiacus feae","Cathemeral","Muntiacus_feae"
"Muntiacus gongshanensis","Muntiacus gongshanensis","Crepuscular","Muntiacus_gongshanensis"
"Muntiacus montanus","Muntiacus montanus","Cathemeral","Muntiacus_montanus"
"Muntiacus muntjak","Muntiacus muntjak","Cathemeral","Muntiacus_muntjak"
"Muntiacus putaoensis","Muntiacus putaoensis","Cathemeral","Muntiacus_putaoensis"
"Muntiacus reevesi","Muntiacus reevesi","Cathemeral","Muntiacus_reevesi"
"Muntiacus rooseveltorum","Muntiacus rooseveltorum","Cathemeral","Muntiacus_rooseveltorum"
"Muntiacus truongsonensis","Muntiacus truongsonensis","Cathemeral","Muntiacus_truongsonensis"
"Muntiacus vaginalis","Muntiacus vaginalis","Cathemeral","Muntiacus_vaginalis"
"Muntiacus vuquangensis","Muntiacus vuquangensis","Diurnal","Muntiacus_vuquangensis"
"Naemorhedus baileyi","Naemorhedus baileyi","Diurnal","Naemorhedus_baileyi"
"Naemorhedus caudatus","Naemorhedus caudatus","Nocturnal","Naemorhedus_caudatus"
"Naemorhedus goral","Naemorhedus goral","Crepuscular","Naemorhedus_goral"
"Naemorhedus griseus","Naemorhedus griseus","Crepuscular","Naemorhedus_griseus"
"Nanger dama","Nanger dama","Diurnal","Nanger_dama"
"Nanger granti","Nanger granti","Diurnal","Nanger_granti"
"Nanger soemmerringii","Nanger soemmerringii","Diurnal","Nanger_soemmerringii"
"Neotragus batesi","Neotragus batesi","Nocturnal/Crepuscular","Neotragus_batesi"
"Neotragus pygmaeus","Neotragus pygmaeus","Nocturnal","Neotragus_pygmaeus"
"Neotragus moschatus","Neotragus moschatus","Nocturnal/Crepuscular","Neotragus_moschatus"
"Nilgiritragus hylocrius","Nilgiritragus hylocrius","Diurnal","Nilgiritragus_hylocrius"
"Odocoileus hemionus","Odocoileus hemionus","Crepuscular","Odocoileus_hemionus"
"Odocoileus virginianus","Odocoileus virginianus","Cathemeral/Crepuscular","Odocoileus_virginianus"
"Okapia johnstoni","Okapia johnstoni","Diurnal","Okapia_johnstoni"
"Oreamnos americanus","Oreamnos americanus","Diurnal/Crepuscular","Oreamnos_americanus"
"Oreotragus oreotragus","Oreotragus oreotragus","Diurnal","Oreotragus_oreotragus"
"Oryx beisa","Oryx beisa","Cathemeral","Oryx_beisa"
"Oryx dammah","Oryx dammah","Cathemeral","Oryx_dammah"
"Oryx gazella","Oryx gazella","Cathemeral","Oryx_gazella"
"Oryx leucoryx","Oryx leucoryx","Cathemeral/Crepuscular","Oryx_leucoryx"
"Ourebia ourebi","Ourebia ourebi","Cathemeral","Ourebia_ourebi"
"Ovibos moschatus","Ovibos moschatus","Cathemeral","Ovibos_moschatus"
"Ovis ammon","Ovis ammon","Crepuscular","Ovis_ammon"
"Ovis canadensis","Ovis canadensis","Crepuscular","Ovis_canadensis"
"Ovis dalli","Ovis dalli","Diurnal","Ovis_dalli"
"Ovis nivicola","Ovis nivicola","Diurnal","Ovis_nivicola"
"Ovis orientalis","Ovis orientalis","Crepuscular","Ovis_orientalis"
"Ozotoceros bezoarticus","Ozotoceros bezoarticus","Cathemeral","Ozotoceros_bezoarticus"
"Pantholops hodgsonii","Pantholops hodgsonii","Crepuscular","Pantholops_hodgsonii"
"Pecari tajacu","Pecari tajacu","Diurnal","Pecari_tajacu"
"Pelea capreolus","Pelea capreolus","Cathemeral","Pelea_capreolus"
"Phacochoerus aethiopicus","Phacochoerus aethiopicus","Diurnal","Phacochoerus_aethiopicus"
"Phacochoerus africanus","Phacochoerus africanus","Diurnal","Phacochoerus_africanus"
"Philantomba maxwellii","Philantomba maxwellii","Diurnal","Philantomba_maxwellii"
"Philantomba monticola","Philantomba monticola","Diurnal","Philantomba_monticola"
"Philantomba walteri","Philantomba walteri","Diurnal","Philantomba_walteri"
"Porcula salvania","Porcula salvania","Diurnal","Porcula_salvania"
"Potamochoerus larvatus","Potamochoerus larvatus","Nocturnal","Potamochoerus_larvatus"
"Potamochoerus porcus","Potamochoerus porcus","Nocturnal/Crepuscular","Potamochoerus_porcus"
"Procapra gutturosa","Procapra gutturosa","Diurnal","Procapra_gutturosa"
"Procapra picticaudata","Procapra picticaudata","Crepuscular","Procapra_picticaudata"
"Procapra przewalskii","Procapra przewalskii","Diurnal","Procapra_przewalskii"
"Pseudois nayaur","Pseudois nayaur","Diurnal","Pseudois_nayaur"
"Pseudoryx nghetinhensis","Pseudoryx nghetinhensis","Diurnal","Pseudoryx_nghetinhensis"
"Pudu mephistophiles","Pudu mephistophiles","Nocturnal","Pudu_mephistophiles"
"Pudu puda","Pudu puda","Nocturnal","Pudu_puda"
"Rangifer tarandus","Rangifer tarandus","Cathemeral","Rangifer_tarandus"
"Raphicerus campestris","Raphicerus campestris","Cathemeral","Raphicerus_campestris"
"Raphicerus melanotis","Raphicerus melanotis","Nocturnal","Raphicerus_melanotis"
