"Bizygomatic_width","Average_orbit_length","Orbit_ratio","tips"
216.23,69.6377777777778,32.2005806666667,"Steno_bredanensis"
149.341666666667,42.0016666666667,28.1158,"Sotalia_fluviatilis"
162.503333333333,45.4583333333333,27.9737,"Sotalia_guianensis"
323.565555555556,76.7972222222222,23.7357666666667,"Grampus_griseus"
378.411111111111,94.175,24.84204,"Pseudorca_crassidens"
216.982222222222,60.4516666666667,27.8615166666667,"Feresa_attenuata"
431.378888888889,102.079444444444,23.7645666666667,"Globicephala_melas"
246.551666666667,67.2941666666667,27.285,"Peponocephala_electra"
204.66,53.4688888888889,26.2538798407867,"Lagenodelphis_hosei"
181.146944444444,51.1501388888889,28.2617787657773,"Delphinus_delphis"
209.463333333333,59.41,28.42925,"Sousa_plumbea"
162.47,49.7225,30.62917,"Stenella_attenuata"
186.418333333333,48.8704166666667,26.2520475,"Stenella_clymene"
206.23619047619,53.5545238095238,25.9808247045071,"Stenella_coeruleoalba"
190.413333333333,55.2476666666667,29.07710474,"Stenella_frontalis"
141.292222222222,41.5155555555556,29.3828666666667,"Stenella_longirostris"
267.981666666667,67.1580555555556,25.1699166666667,"Tursiops_truncatus"
