"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Cephalophus jentinki","Cephalophus jentinki","Nocturnal","Cephalophus_jentinki","Nocturnal","Nocturnal","Nocturnal"
"Cephalophus leucogaster","Cephalophus leucogaster","Diurnal","Cephalophus_leucogaster","Diurnal","Diurnal","Diurnal"
"Cephalophus natalensis","Cephalophus natalensis","Diurnal","Cephalophus_natalensis","Diurnal","Diurnal","Diurnal"
"Cephalophus niger","Cephalophus niger","Cathemeral","Cephalophus_niger",NA,"Cathemeral","Cathemeral"
"Cephalophus nigrifrons","Cephalophus nigrifrons","Diurnal/Crepuscular","Cephalophus_nigrifrons","Diurnal","Crepuscular","Diurnal"
"Cephalophus ogilbyi","Cephalophus ogilbyi","Diurnal","Cephalophus_ogilbyi","Diurnal","Diurnal","Diurnal"
"Cephalophus rufilatus","Cephalophus rufilatus","Diurnal","Cephalophus_rufilatus","Diurnal","Diurnal","Diurnal"
"Cephalophus silvicultor","Cephalophus silvicultor","Nocturnal/Crepuscular","Cephalophus_silvicultor","Nocturnal","Crepuscular","Nocturnal"
"Cephalophus spadix","Cephalophus spadix","Nocturnal","Cephalophus_spadix","Nocturnal","Nocturnal","Nocturnal"
"Cephalophus weynsi","Cephalophus weynsi","Diurnal","Cephalophus_weynsi","Diurnal","Diurnal","Diurnal"
"Cephalophus zebra","Cephalophus zebra","Diurnal","Cephalophus_zebra","Diurnal","Diurnal","Diurnal"
"Cervus albirostris","Cervus albirostris","Cathemeral","Cervus_albirostris",NA,"Cathemeral","Cathemeral"
"Cervus canadensis","Cervus canadensis","Cathemeral","Cervus_canadensis",NA,"Cathemeral","Cathemeral"
"Cervus elaphus","Cervus elaphus","Cathemeral/Crepuscular","Cervus_elaphus",NA,"Crepuscular","Cathemeral"
"Cervus nippon","Cervus nippon","Cathemeral/Crepuscular","Cervus_nippon",NA,"Crepuscular","Cathemeral"
"Choeropsis liberiensis","Choeropsis liberiensis","Nocturnal","Choeropsis_liberiensis","Nocturnal","Nocturnal","Nocturnal"
"Connochaetes gnou","Connochaetes gnou","Diurnal/Crepuscular","Connochaetes_gnou","Diurnal","Crepuscular","Diurnal"
"Connochaetes taurinus","Connochaetes taurinus","Diurnal","Connochaetes_taurinus","Diurnal","Diurnal","Diurnal"
"Dama dama","Dama dama","Cathemeral","Dama_dama",NA,"Cathemeral","Cathemeral"
"Dama mesopotamica","Dama mesopotamica","Nocturnal","Dama_mesopotamica","Nocturnal","Nocturnal","Nocturnal"
"Damaliscus lunatus","Damaliscus lunatus","Diurnal","Damaliscus_lunatus","Diurnal","Diurnal","Diurnal"
"Damaliscus pygargus","Damaliscus pygargus","Diurnal","Damaliscus_pygargus","Diurnal","Diurnal","Diurnal"
"Dorcatragus megalotis","Dorcatragus megalotis","Diurnal","Dorcatragus_megalotis","Diurnal","Diurnal","Diurnal"
"Elaphodus cephalophus","Elaphodus cephalophus","Crepuscular","Elaphodus_cephalophus",NA,"Crepuscular","Crepuscular"
"Elaphurus davidianus","Elaphurus davidianus","Diurnal","Elaphurus_davidianus","Diurnal","Diurnal","Diurnal"
"Eudorcas albonotata","Eudorcas albonotata","Diurnal","Eudorcas_albonotata","Diurnal","Diurnal","Diurnal"
"Eudorcas rufifrons","Eudorcas rufifrons","Crepuscular","Eudorcas_rufifrons",NA,"Crepuscular","Crepuscular"
"Eudorcas thomsonii","Eudorcas thomsonii","Cathemeral","Eudorcas_thomsonii",NA,"Cathemeral","Cathemeral"
"Gazella bennettii","Gazella bennettii","Nocturnal","Gazella_bennettii","Nocturnal","Nocturnal","Nocturnal"
"Gazella cuvieri","Gazella cuvieri","Nocturnal","Gazella_cuvieri","Nocturnal","Nocturnal","Nocturnal"
"Gazella dorcas","Gazella dorcas","Nocturnal","Gazella_dorcas","Nocturnal","Nocturnal","Nocturnal"
"Gazella gazella","Gazella gazella","Cathemeral/Crepuscular","Gazella_gazella",NA,"Crepuscular","Cathemeral"
"Gazella leptoceros","Gazella leptoceros","Crepuscular","Gazella_leptoceros",NA,"Crepuscular","Crepuscular"
"Gazella marica","Gazella marica","Crepuscular","Gazella_marica",NA,"Crepuscular","Crepuscular"
"Gazella spekei","Gazella spekei","Crepuscular","Gazella_spekei",NA,"Crepuscular","Crepuscular"
"Gazella subgutturosa","Gazella subgutturosa","Diurnal","Gazella_subgutturosa","Diurnal","Diurnal","Diurnal"
"Giraffa camelopardalis","Giraffa camelopardalis","Diurnal","Giraffa_camelopardalis","Diurnal","Diurnal","Diurnal"
"Hemitragus jemlahicus","Hemitragus jemlahicus","Diurnal","Hemitragus_jemlahicus","Diurnal","Diurnal","Diurnal"
"Hippocamelus antisensis","Hippocamelus antisensis","Diurnal","Hippocamelus_antisensis","Diurnal","Diurnal","Diurnal"
"Hippocamelus bisulcus","Hippocamelus bisulcus","Diurnal","Hippocamelus_bisulcus","Diurnal","Diurnal","Diurnal"
"Hippopotamus amphibius","Hippopotamus amphibius","Nocturnal/Crepuscular","Hippopotamus_amphibius","Nocturnal","Crepuscular","Nocturnal"
"Hippotragus equinus","Hippotragus equinus","Diurnal","Hippotragus_equinus","Diurnal","Diurnal","Diurnal"
"Hippotragus niger","Hippotragus niger","Cathemeral","Hippotragus_niger",NA,"Cathemeral","Cathemeral"
"Hydropotes inermis","Hydropotes inermis","Cathemeral","Hydropotes_inermis",NA,"Cathemeral","Cathemeral"
"Hyemoschus aquaticus","Hyemoschus aquaticus","Nocturnal","Hyemoschus_aquaticus","Nocturnal","Nocturnal","Nocturnal"
"Hylochoerus meinertzhageni","Hylochoerus meinertzhageni","Diurnal/Crepuscular","Hylochoerus_meinertzhageni","Diurnal","Crepuscular","Diurnal"
"Kobus ellipsiprymnus","Kobus ellipsiprymnus","Crepuscular","Kobus_ellipsiprymnus",NA,"Crepuscular","Crepuscular"
"Kobus kob","Kobus kob","Cathemeral","Kobus_kob",NA,"Cathemeral","Cathemeral"
"Kobus leche","Kobus leche","Diurnal","Kobus_leche","Diurnal","Diurnal","Diurnal"
"Kobus megaceros","Kobus megaceros","Diurnal","Kobus_megaceros","Diurnal","Diurnal","Diurnal"
"Kobus vardonii","Kobus vardonii","Crepuscular","Kobus_vardonii",NA,"Crepuscular","Crepuscular"
"Lama guanicoe","Lama guanicoe","Diurnal","Lama_guanicoe","Diurnal","Diurnal","Diurnal"
"Litocranius walleri","Litocranius walleri","Diurnal","Litocranius_walleri","Diurnal","Diurnal","Diurnal"
"Madoqua guentheri","Madoqua guentheri","Diurnal","Madoqua_guentheri","Diurnal","Diurnal","Diurnal"
"Madoqua kirkii","Madoqua kirkii","Diurnal/Crepuscular","Madoqua_kirkii","Diurnal","Crepuscular","Diurnal"
"Madoqua piacentinii","Madoqua piacentinii","Cathemeral","Madoqua_piacentinii",NA,"Cathemeral","Cathemeral"
"Madoqua saltiana","Madoqua saltiana","Diurnal/Crepuscular","Madoqua_saltiana","Diurnal","Crepuscular","Diurnal"
"Mazama americana","Mazama americana","Nocturnal/Crepuscular","Mazama_americana","Nocturnal","Crepuscular","Nocturnal"
"Mazama bororo","Mazama bororo","Nocturnal","Mazama_bororo","Nocturnal","Nocturnal","Nocturnal"
"Mazama bricenii","Mazama bricenii","Cathemeral","Mazama_bricenii",NA,"Cathemeral","Cathemeral"
"Mazama chunyi","Mazama chunyi","Crepuscular","Mazama_chunyi",NA,"Crepuscular","Crepuscular"
"Mazama gouazoubira","Mazama gouazoubira","Diurnal/Crepuscular","Mazama_gouazoubira","Diurnal","Crepuscular","Diurnal"
"Mazama nana","Mazama nana","Cathemeral","Mazama_nana",NA,"Cathemeral","Cathemeral"
"Mazama nemorivaga","Mazama nemorivaga","Cathemeral","Mazama_nemorivaga",NA,"Cathemeral","Cathemeral"
"Mazama pandora","Mazama pandora","Crepuscular","Mazama_pandora",NA,"Crepuscular","Crepuscular"
"Mazama rufina","Mazama rufina","Nocturnal","Mazama_rufina","Nocturnal","Nocturnal","Nocturnal"
"Mazama temama","Mazama temama","Cathemeral","Mazama_temama",NA,"Cathemeral","Cathemeral"
"Moschiola indica","Moschiola indica","Nocturnal","Moschiola_indica","Nocturnal","Nocturnal","Nocturnal"
