"Species_name","tabulated_diel"
"Nesotragus moschatus","nocturnal/crepuscular"
"Nilgiritragus hylocrius","cathemeral/crepuscular"
"Odocoileus hemionus","cathemeral/crepuscular"
"Odocoileus virginianus","cathemeral/crepuscular"
"Okapia johnstoni","diurnal"
"Oreamnos americanus","nocturnal"
"Oreotragus oreotragus","diurnal"
"Oryx beisa","diurnal"
"Oryx dammah","cathemeral/crepuscular"
"Oryx gazella","diurnal"
"Oryx leucoryx","nocturnal/crepuscular"
"Ourebia ourebi","diurnal"
"Ovibos moschatus","cathemeral"
"Ovis ammon","cathemeral/crepuscular"
"Ovis aries","cathemeral/crepuscular"
"Ovis canadensis","cathemeral"
"Ovis dalli","diurnal"
"Ovis gmelini","cathemeral/crepuscular"
"Ovis nivicola","cathemeral/crepuscular"
"Ovis orientalis","cathemeral/crepuscular"
"Ozotoceros bezoarticus","cathemeral"
"Pantholops hodgsonii","diurnal/crepuscular"
"Pecari tajacu","diurnal/crepuscular"
"Pelea capreolus","diurnal"
"Phacochoerus aethiopicus","diurnal"
"Phacochoerus africanus","diurnal/crepuscular"
"Philantomba maxwellii","nocturnal/crepuscular"
"Philantomba monticola","diurnal/crepuscular"
"Philantomba walteri","cathemeral/crepuscular"
"Porcula salvania","diurnal"
"Potamochoerus larvatus","nocturnal"
"Potamochoerus porcus","cathemeral"
"Procapra gutturosa","diurnal/crepuscular"
"Procapra picticaudata","diurnal/crepuscular"
"Procapra przewalskii","diurnal/crepuscular"
"Pseudois nayaur","diurnal/crepuscular"
"Pseudoryx nghetinhensis","cathemeral/crepuscular"
"Pudu mephistophiles","nocturnal/crepuscular"
"Pudu puda","nocturnal"
"Rangifer tarandus","cathemeral/crepuscular"
"Raphicerus campestris","diurnal/crepuscular"
"Raphicerus melanotis","nocturnal/crepuscular"
"Raphicerus sharpei","nocturnal/crepuscular"
"Redunca arundinum","nocturnal/crepuscular"
"Redunca fulvorufula","cathemeral/crepuscular"
"Redunca redunca","cathemeral/crepuscular"
"Rucervus duvaucelii","cathemeral/crepuscular"
"Rucervus eldii","cathemeral/crepuscular"
"Rupicapra pyrenaica","diurnal/crepuscular"
"Rupicapra rupicapra","diurnal/crepuscular"
"Rusa alfredi","nocturnal"
"Rusa marianna","nocturnal"
"Rusa timorensis","nocturnal"
"Rusa unicolor","nocturnal"
"Saiga tatarica","diurnal/crepuscular"
"Sus ahoenobarbus","nocturnal/crepuscular"
"Sus barbatus","diurnal/crepuscular"
"Sus cebifrons","nocturnal"
"Sus celebensis","nocturnal/crepuscular"
"Sus oliveri","cathemeral"
"Sus philippensis","nocturnal"
"Sus scrofa","cathemeral"
"Sus verrucosus","cathemeral/crepuscular"
"Sylvicapra grimmia","nocturnal/crepuscular"
"Syncerus caffer","nocturnal/crepuscular"
"Tayassu pecari","diurnal"
"Tetracerus quadricornis","diurnal/crepuscular"
"Tragelaphus angasii","diurnal/crepuscular"
"Tragelaphus buxtoni","cathemeral/crepuscular"
"Tragelaphus derbianus","cathemeral/crepuscular"
"Tragelaphus eurycerus","nocturnal"
"Tragelaphus imberbis","nocturnal"
"Tragelaphus oryx","cathemeral/crepuscular"
"Tragelaphus scriptus","nocturnal/crepuscular"
"Tragelaphus spekii","cathemeral/crepuscular"
"Tragelaphus strepsiceros","diurnal"
"Tragelaphus sylvaticus","cathemeral"
"Tragulus javanicus","diurnal/crepuscular"
"Tragulus kanchil","cathemeral/crepuscular"
"Tragulus napu","cathemeral"
"Tragulus nigricans","nocturnal"
"Tragulus versicolor","diurnal"
"Tragulus williamsoni","diurnal/crepuscular"
"Vicugna vicugna","diurnal"
