"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Capra sibirica","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Capra_sibirica"
"Capra walie","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Capra_walie"
"Capreolus capreolus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Capreolus_capreolus"
"Capreolus pygargus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Capreolus_pygargus"
"Capricornis crispus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",3,"Capricornis_crispus"
"Capricornis rubidus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",3,"Capricornis_rubidus"
"Capricornis sumatraensis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Capricornis_sumatraensis"
"Capricornis swinhoei","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",1,"Capricornis_swinhoei"
"Capricornis thar","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Capricornis_thar"
"Catagonus wagneri","Artiodactyla","Suina","non-cetacean","Tayassuidae","diurnal/crepuscular","crepuscular","diurnal",4,"Catagonus_wagneri"
"Cephalophus adersi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Cephalophus_adersi"
"Cephalophus callipygus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Cephalophus_callipygus"
"Cephalophus dorsalis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal","nocturnal","nocturnal",4,"Cephalophus_dorsalis"
"Cephalophus harveyi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Cephalophus_harveyi"
"Cephalophus jentinki","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Cephalophus_jentinki"
"Cephalophus leucogaster","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Cephalophus_leucogaster"
"Cephalophus natalensis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Cephalophus_natalensis"
"Cephalophus niger","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Cephalophus_niger"
"Cephalophus nigrifrons","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Cephalophus_nigrifrons"
"Cephalophus ogilbyi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Cephalophus_ogilbyi"
"Cephalophus rufilatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Cephalophus_rufilatus"
"Cephalophus silvicultor","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal","nocturnal","nocturnal",4,"Cephalophus_silvicultor"
"Cephalophus spadix","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal","nocturnal","nocturnal",3,"Cephalophus_spadix"
"Cephalophus weynsi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Cephalophus_weynsi"
"Cephalophus zebra","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Cephalophus_zebra"
"Cervus albirostris","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Cervus_albirostris"
"Cervus canadensis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Cervus_canadensis"
"Cervus elaphus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Cervus_elaphus"
"Cervus nippon","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal/crepuscular","crepuscular","diurnal",3,"Cervus_nippon"
"Choeropsis liberiensis","Artiodactyla","Whippomorpha","non-cetacean","Hippopotamidae","nocturnal/crepuscular","crepuscular","nocturnal",4,"Choeropsis_liberiensis"
"Connochaetes gnou","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Connochaetes_gnou"
"Connochaetes taurinus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",5,"Connochaetes_taurinus"
"Dama dama","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Dama_dama"
"Dama mesopotamica","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal/crepuscular","crepuscular","nocturnal",1,"Dama_mesopotamica"
"Damaliscus lunatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",2,"Damaliscus_lunatus"
"Damaliscus pygargus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",2,"Damaliscus_pygargus"
"Dorcatragus megalotis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",2,"Dorcatragus_megalotis"
"Elaphodus cephalophus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Elaphodus_cephalophus"
"Elaphurus davidianus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","diurnal","diurnal","diurnal",4,"Elaphurus_davidianus"
"Eudorcas albonotata","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Eudorcas_albonotata"
"Eudorcas rufifrons","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Eudorcas_rufifrons"
