"Species_name","Family","column","value"
"Philantomba maxwellii","Bovidae","Conf3.1","diurnal/crepuscular"
"Philantomba maxwellii","Bovidae","Conf3.2","diurnal/crepuscular"
"Philantomba maxwellii","Bovidae","Conf4","nocturnal"
"Potamochoerus porcus","Suidae","Conf1.3","nocturnal"
"Potamochoerus porcus","Suidae","Conf3.1","nocturnal"
"Potamochoerus porcus","Suidae","Conf3.2","nocturnal"
"Potamochoerus porcus","Suidae","Conf4","cathemeral"
"Tayassu pecari","Tayassuidae","Conf1.3","cathemeral"
"Tayassu pecari","Tayassuidae","Conf3.1","diurnal"
"Tayassu pecari","Tayassuidae","Conf3.2","diurnal"
"Tayassu pecari","Tayassuidae","Conf4","diurnal"
"Tragelaphus scriptus","Bovidae","Conf1.3","nocturnal/crepuscular"
"Tragelaphus scriptus","Bovidae","Conf3.1","nocturnal"
"Tragelaphus scriptus","Bovidae","Conf3.2","cathemeral/crepuscular"
"Tragelaphus scriptus","Bovidae","Conf4","nocturnal/crepuscular"
"Cephalophus niger","Bovidae","Conf3.1","diurnal/crepuscular"
"Cephalophus niger","Bovidae","Conf4","cathemeral"
"Connochaetes gnou","Bovidae","Conf3.1","diurnal/crepuscular"
"Connochaetes gnou","Bovidae","Conf4","diurnal"
"Madoqua kirkii","Bovidae","Conf3.1","diurnal/crepuscular"
"Madoqua kirkii","Bovidae","Conf4","cathemeral"
"Oreamnos americanus","Bovidae","Conf3.1","cathemeral/crepuscular"
"Oreamnos americanus","Bovidae","Conf4","nocturnal"
"Oryx gazella","Bovidae","Conf3.1","cathemeral/crepuscular"
"Oryx gazella","Bovidae","Conf4","diurnal"
"Ovis dalli","Bovidae","Conf3.1","cathemeral"
"Ovis dalli","Bovidae","Conf4","diurnal"
"Tragelaphus oryx","Bovidae","Conf3.1","cathemeral/crepuscular"
"Tragelaphus oryx","Bovidae","Conf4","cathemeral/crepuscular"
"Tragelaphus sylvaticus","Bovidae","Conf3.1","cathemeral"
"Tragelaphus sylvaticus","Bovidae","Conf4","cathemeral"
"Tragulus javanicus","Tragulidae","Conf3.1","diurnal/crepuscular"
"Tragulus javanicus","Tragulidae","Conf4","diurnal/crepuscular"
"Alcelaphus buselaphus","Bovidae","Conf2.1","unclear/crepuscular"
"Alcelaphus buselaphus","Bovidae","Conf3.2","diurnal/crepuscular"
"Alcelaphus buselaphus","Bovidae","Conf3.3","diurnal"
"Alcelaphus buselaphus","Bovidae","Conf4","diurnal/crepuscular"
"Kobus kob","Bovidae","Conf2.1","unclear/crepuscular"
"Kobus kob","Bovidae","Conf2.2","unclear/crepuscular"
"Kobus kob","Bovidae","Conf3.3","diurnal"
"Kobus kob","Bovidae","Conf4","cathemeral"
"Neotragus pygmaeus","Bovidae","Conf1.2","nocturnal"
"Neotragus pygmaeus","Bovidae","Conf2.1","nocturnal"
"Neotragus pygmaeus","Bovidae","Conf4","nocturnal"
"Redunca fulvorufula","Bovidae","Conf1.2","diurnal/crepuscular"
