"","Species_name","Diel_Pattern_2","tips","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_4"
"Cephalophus niger","Cephalophus niger","cathemeral","Cephalophus_niger",NA,"crepuscular","cathemeral"
"Cephalophus nigrifrons","Cephalophus nigrifrons","diurnal/crepuscular","Cephalophus_nigrifrons","diurnal","crepuscular","diurnal"
"Cephalophus ogilbyi","Cephalophus ogilbyi","diurnal","Cephalophus_ogilbyi","diurnal","diurnal","diurnal"
"Cephalophus rufilatus","Cephalophus rufilatus","diurnal","Cephalophus_rufilatus","diurnal","diurnal","diurnal"
"Cephalophus silvicultor","Cephalophus silvicultor","nocturnal/crepuscular","Cephalophus_silvicultor","nocturnal","crepuscular","nocturnal"
"Cephalophus spadix","Cephalophus spadix","nocturnal","Cephalophus_spadix","nocturnal","nocturnal","nocturnal"
"Cephalophus weynsi","Cephalophus weynsi","diurnal","Cephalophus_weynsi","diurnal","diurnal","diurnal"
"Cephalophus zebra","Cephalophus zebra","diurnal","Cephalophus_zebra","diurnal","diurnal","diurnal"
"Cervus albirostris","Cervus albirostris","cathemeral","Cervus_albirostris",NA,"crepuscular","cathemeral"
"Cervus canadensis","Cervus canadensis","cathemeral","Cervus_canadensis",NA,"crepuscular","cathemeral"
"Cervus elaphus","Cervus elaphus","cathemeral/crepuscular","Cervus_elaphus",NA,"crepuscular","cathemeral"
"Cervus nippon","Cervus nippon","cathemeral/crepuscular","Cervus_nippon",NA,"crepuscular","cathemeral"
"Choeropsis liberiensis","Choeropsis liberiensis","nocturnal","Choeropsis_liberiensis","nocturnal","nocturnal","nocturnal"
"Connochaetes gnou","Connochaetes gnou","diurnal/crepuscular","Connochaetes_gnou","diurnal","crepuscular","diurnal"
"Connochaetes taurinus","Connochaetes taurinus","diurnal","Connochaetes_taurinus","diurnal","diurnal","diurnal"
"Dama dama","Dama dama","cathemeral","Dama_dama",NA,"crepuscular","cathemeral"
"Dama mesopotamica","Dama mesopotamica","nocturnal","Dama_mesopotamica","nocturnal","nocturnal","nocturnal"
"Damaliscus lunatus","Damaliscus lunatus","diurnal","Damaliscus_lunatus","diurnal","diurnal","diurnal"
"Damaliscus pygargus","Damaliscus pygargus","diurnal","Damaliscus_pygargus","diurnal","diurnal","diurnal"
"Dorcatragus megalotis","Dorcatragus megalotis","diurnal","Dorcatragus_megalotis","diurnal","diurnal","diurnal"
"Elaphodus cephalophus","Elaphodus cephalophus","cathemeral/crepuscular","Elaphodus_cephalophus",NA,"crepuscular","cathemeral"
"Elaphurus davidianus","Elaphurus davidianus","diurnal","Elaphurus_davidianus","diurnal","diurnal","diurnal"
"Eudorcas albonotata","Eudorcas albonotata","diurnal","Eudorcas_albonotata","diurnal","diurnal","diurnal"
"Eudorcas rufifrons","Eudorcas rufifrons","cathemeral/crepuscular","Eudorcas_rufifrons",NA,"crepuscular","cathemeral"
"Eudorcas thomsonii","Eudorcas thomsonii","cathemeral","Eudorcas_thomsonii",NA,"crepuscular","cathemeral"
