"","tips","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","NA","NA"
"70","Hippocamelus bisulcus","Hippocamelus bisulcus","diurnal","diurnal","diurnal","Hippocamelus_bisulcus"
"71","Hippopotamus amphibius","Hippopotamus amphibius",NA,"cathemeral","cathemeral","Hippopotamus_amphibius"
"72","Hippotragus equinus","Hippotragus equinus","diurnal","diurnal","diurnal","Hippotragus_equinus"
"73","Hippotragus niger","Hippotragus niger","diurnal","diurnal","diurnal","Hippotragus_niger"
"74","Hyemoschus aquaticus","Hyemoschus aquaticus","nocturnal","nocturnal","nocturnal","Hyemoschus_aquaticus"
"75","Hylochoerus meinertzhageni","Hylochoerus meinertzhageni",NA,"cathemeral","cathemeral","Hylochoerus_meinertzhageni"
"76","Kobus ellipsiprymnus","Kobus ellipsiprymnus",NA,"cathemeral","cathemeral","Kobus_ellipsiprymnus"
"77","Kobus leche","Kobus leche","diurnal","diurnal/crepuscular","crepuscular","Kobus_leche"
"78","Kobus vardonii","Kobus vardonii",NA,"crepuscular","crepuscular","Kobus_vardonii"
"79","Lama glama","Lama glama","diurnal","diurnal","diurnal","Lama_glama"
"80","Litocranius walleri","Litocranius walleri","diurnal","diurnal","diurnal","Litocranius_walleri"
"81","Madoqua guentheri","Madoqua guentheri","diurnal","diurnal","diurnal","Madoqua_guentheri"
"82","Madoqua kirkii","Madoqua kirkii","nocturnal","nocturnal/crepuscular","crepuscular","Madoqua_kirkii"
"83","Madoqua piacentinii","Madoqua piacentinii","diurnal","diurnal","diurnal","Madoqua_piacentinii"
"84","Madoqua saltiana","Madoqua saltiana","diurnal","diurnal","diurnal","Madoqua_saltiana"
"85","Mazama americana","Mazama americana",NA,"cathemeral","cathemeral","Mazama_americana"
"86","Mazama gouazoubira","Mazama gouazoubira",NA,"crepuscular","crepuscular","Mazama_gouazoubira"
"87","Mazama nana","Mazama nana","diurnal","diurnal/crepuscular","crepuscular","Mazama_nana"
"88","Moschiola meminna","Moschiola meminna","nocturnal","nocturnal","nocturnal","Moschiola_meminna"
"89","Moschus berezovskii","Moschus berezovskii","nocturnal","nocturnal/crepuscular","crepuscular","Moschus_berezovskii"
"90","Moschus chrysogaster","Moschus chrysogaster","nocturnal","nocturnal/crepuscular","crepuscular","Moschus_chrysogaster"
"91","Moschus fuscus","Moschus fuscus","nocturnal","nocturnal/crepuscular","crepuscular","Moschus_fuscus"
"92","Moschus moschiferus","Moschus moschiferus","nocturnal","nocturnal/crepuscular","crepuscular","Moschus_moschiferus"
"93","Muntiacus atherodes","Muntiacus atherodes",NA,"cathemeral","cathemeral","Muntiacus_atherodes"
"94","Muntiacus muntjak","Muntiacus muntjak",NA,"cathemeral","cathemeral","Muntiacus_muntjak"
"95","Naemorhedus caudatus","Naemorhedus caudatus",NA,"crepuscular","crepuscular","Naemorhedus_caudatus"
"96","Naemorhedus goral","Naemorhedus goral",NA,"crepuscular","crepuscular","Naemorhedus_goral"
"97","Nanger dama","Nanger dama","diurnal","diurnal","diurnal","Nanger_dama"
