Species,State,Activity,NocGeiger,ActNOC,DiuGeiger,ActDIU,Lit,Family,Order,Class
Hylodes_dactylocinus,DIU,2,2,0,2,0,Narvaes and Rodrigues 2005,Hylodidae,Anura,Amphibia
Megaelosia_goeldii,DIU,2,2,0,2,0,Pombal et al 2003,Hylodidae,Anura,Amphibia
Acanthixalus_sonjae,NOC,1,1,1,1,1,Rodel et al 2003,Hyperoliidae,Anura,Amphibia
Acanthixalus_spinosus,NOC,1,1,1,1,1,Rodel et al 2003,Hyperoliidae,Anura,Amphibia
Afrixalus_dorsalis,NOC,1,1,1,1,1,Raxworthy and Attuquayefio 2000,Hyperoliidae,Anura,Amphibia
Afrixalus_fornasini,NOC,1,1,1,1,1,Vonesh 2005,Hyperoliidae,Anura,Amphibia
Afrixalus_stuhlmanni,NOC,1,1,1,1,1,Pickersgill 2005,Hyperoliidae,Anura,Amphibia
Cryptothylax_greshoffii,NOC,1,1,1,1,1,Jackson and Blackburn 2007,Hyperoliidae,Anura,Amphibia
Heterixalus_betsileo,DIU,2,2,0,2,0,Glaw and Vences 1994,Hyperoliidae,Anura,Amphibia
Heterixalus_luteostriatus,NOC,1,1,1,1,1,Andreone and Luiselli 2003,Hyperoliidae,Anura,Amphibia
Hyperolius_acuticeps,NOC,1,1,1,1,1,Behangana et al 2009,Hyperoliidae,Anura,Amphibia
Hyperolius_argus,NOC,1,1,1,1,1,Duellman and Pianka 1990,Hyperoliidae,Anura,Amphibia
Hyperolius_castaneus,NOC,1,1,1,1,1,Behangana et al 2009,Hyperoliidae,Anura,Amphibia
Hyperolius_cinnamomeoventris,NOC,1,1,1,1,1,Behangana et al 2009,Hyperoliidae,Anura,Amphibia
Hyperolius_concolor,NOC,1,1,1,1,1,Duellman and Pianka 1990,Hyperoliidae,Anura,Amphibia
Hyperolius_frontalis,NOC,1,1,1,1,1,Behangana et al 2009,Hyperoliidae,Anura,Amphibia
Hyperolius_kivuensis,NOC,1,1,1,1,1,Behangana et al 2009,Hyperoliidae,Anura,Amphibia
Hyperolius_lateralis,NOC,1,1,1,1,1,Behangana et al 2009,Hyperoliidae,Anura,Amphibia
Hyperolius_nasutus,NOC,1,1,1,1,1,Channing 2001,Hyperoliidae,Anura,Amphibia
Hyperolius_puncticulatus,NOC,1,1,1,1,1,Duellman and Pianka 1990,Hyperoliidae,Anura,Amphibia
Hyperolius_pusillus,NOC,1,1,1,1,1,Duellman and Pianka 1990,Hyperoliidae,Anura,Amphibia
Hyperolius_semidiscus,NOC,1,1,1,1,1,Duellman and Pianka 1990,Hyperoliidae,Anura,Amphibia
Hyperolius_tuberilinguis,NOC,1,1,1,1,1,Pallett and Passmore 1988,Hyperoliidae,Anura,Amphibia
Kassina_senegalensis,NOC,1,1,1,1,1,Jaeger and Hailman 1976,Hyperoliidae,Anura,Amphibia
Tachycnemis_seychellensis,NOC,1,1,1,1,1,Nussbaum and Wu 1995,Hyperoliidae,Anura,Amphibia
Leiopelma_archeyi,NOC,1,1,1,1,1,Cree 1989,Leiopelmatidae,Anura,Amphibia
Leiopelma_hochstetteri,NOC,1,1,1,1,1,Baber et al 2010,Leiopelmatidae,Anura,Amphibia
Leiopelma_pakeka,NOC,1,1,1,1,1,Bell et al 2004,Leiopelmatidae,Anura,Amphibia
Adenomera_andreae,ARR,3,1,1,2,0,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Adenomera_hylaedactyla,ARR,3,1,1,2,0,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Edalorhina_perezi,ARR,3,1,1,2,0,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Engystomops_petersi,NOC,1,1,1,1,1,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Engystomops_pustulosus,NOC,1,1,1,1,1,Lee 2000,Leptodactylidae,Anura,Amphibia
Leptodactylus_chaquensis,NOC,1,1,1,1,1,de Almeida Prado et al 2000,Leptodactylidae,Anura,Amphibia
Leptodactylus_discodactylus,NOC,1,1,1,1,1,Lynch 2005,Leptodactylidae,Anura,Amphibia
Leptodactylus_fallax,NOC,1,1,1,1,1,Gibson and Buley 2004,Leptodactylidae,Anura,Amphibia
Leptodactylus_labyrinthicus,NOC,1,1,1,1,1,Silva and Giaretta 2008,Leptodactylidae,Anura,Amphibia
Leptodactylus_melanonotus,NOC,1,1,1,1,1,Lee 2000,Leptodactylidae,Anura,Amphibia
Leptodactylus_mystaceus,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Leptodactylidae,Anura,Amphibia
Leptodactylus_pentadactylus,NOC,1,1,1,1,1,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Leptodactylus_rhodomystax,NOC,1,1,1,1,1,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Leptodactylus_wagneri,NOC,1,1,1,1,1,Rodriguez and Duellman 1994,Leptodactylidae,Anura,Amphibia
Lithodytes_lineatus,ARR,3,1,1,2,0,Schluter et al 2004,Leptodactylidae,Anura,Amphibia
Paratelmatobius_cardosoi,NOC,1,1,1,1,1,Pombal and Haddad 1999,Leptodactylidae,Anura,Amphibia
Paratelmatobius_poecilogaster,NOC,1,1,1,1,1,Pombal and Haddad 1999,Leptodactylidae,Anura,Amphibia
Physalaemus_cuvieri,NOC,1,1,1,1,1,Giaretta and Facure 2008,Leptodactylidae,Anura,Amphibia
Physalaemus_ephippifer,NOC,1,1,1,1,1,Hodl 1990,Leptodactylidae,Anura,Amphibia
Pleurodema_brachyops,NOC,1,1,1,1,1,Martins 1989,Leptodactylidae,Anura,Amphibia
Aglyptodactylus_laticeps,NOC,1,1,1,1,1,Glos et al 2008,Mantellidae,Anura,Amphibia
Blommersia_wittei,NOC,1,1,1,1,1,Vejarano et al 2006,Mantellidae,Anura,Amphibia
Boophis_albilabris,NOC,1,1,1,1,1,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Boophis_luteus,NOC,1,1,1,1,1,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Boophis_madagascariensis,DIU,2,2,0,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Boophis_occidentalis,NOC,1,1,1,1,1,Andreone and Luiselli 2003,Mantellidae,Anura,Amphibia
Boophis_tephraeomystax,NOC,1,1,1,1,1,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Boophis_xerophilus,NOC,1,1,1,1,1,Glos et al 2008,Mantellidae,Anura,Amphibia
Gephyromantis_decaryi,DIU,2,2,0,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Gephyromantis_luteus,ARR,3,1,1,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Gephyromantis_pseudoasper,ARR,3,1,1,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Gephyromantis_webbi,DIU,2,2,0,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Guibemantis_depressiceps,DIU,2,2,0,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Guibemantis_liber,NOC,1,1,1,1,1,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Guibemantis_tornieri,NOC,1,1,1,1,1,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Laliostoma_labrosum,NOC,1,1,1,1,1,D'Cruze et al 2009,Mantellidae,Anura,Amphibia
Mantella_aurantiaca,DIU,2,2,0,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Mantella_baroni,DIU,2,2,0,2,0,Schaefer et al 2002,Mantellidae,Anura,Amphibia
Mantella_laevigata,DIU,2,2,0,2,0,Glaw and Vences 1994,Mantellidae,Anura,Amphibia
Mantidactylus_ulcerosus,CRE,4,1,1,2,0,Ramanamanjato 2007,Mantellidae,Anura,Amphibia
Leptobrachium_boringii,NOC,1,1,1,1,1,Zheng et al 2010,Megophryidae,Anura,Amphibia
Megophrys_nasuta,NOC,1,1,1,1,1,Das 2006,Megophryidae,Anura,Amphibia
Anodonthyla_montana,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Anodonthyla_rouxae,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Calluella_guttulata,NOC,1,1,1,1,1,Heyer 1973,Microhylidae,Anura,Amphibia
Chaperina_fusca,NOC,1,1,1,1,1,Das 2006,Microhylidae,Anura,Amphibia
Choerophryne_rostellifer,NOC,1,1,1,1,1,Kraus and Allison 2001,Microhylidae,Anura,Amphibia
Cophixalus_sphagnicola,NOC,1,1,1,1,1,Zweifel and Allison 1982,Microhylidae,Anura,Amphibia
Cophyla_phyllodactyla,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Ctenophryne_geayi,NOC,1,1,1,1,1,Schluter et al 2004,Microhylidae,Anura,Amphibia
Dermatonotus_muelleri,NOC,1,1,1,1,1,Arzabe et al 1998,Microhylidae,Anura,Amphibia
Dyscophus_guineti,NOC,1,1,1,1,1,Tessa et al 2011,Microhylidae,Anura,Amphibia
Elachistocleis_ovalis,NOC,1,1,1,1,1,Caldwell and Vitt 1999,Microhylidae,Anura,Amphibia
Gastrophryne_carolinensis,NOC,1,1,1,1,1,Schwartz and Henderson 1991,Microhylidae,Anura,Amphibia
Gastrophryne_olivacea,NOC,1,1,1,1,1,Stebbins 2003,Microhylidae,Anura,Amphibia
Genyophryne_thomsoni,NOC,1,1,1,1,1,Zweifel 1971,Microhylidae,Anura,Amphibia
Hamptophryne_boliviana,ARR,3,1,1,2,0,Schluter et al 2004,Microhylidae,Anura,Amphibia
Hypopachus_variolosus,NOC,1,1,1,1,1,Lee 2000,Microhylidae,Anura,Amphibia
Kalophrynus_pleurostigma,NOC,1,1,1,1,1,Matsui et al 1996,Microhylidae,Anura,Amphibia
Kaloula_pulchra,NOC,1,1,1,1,1,Jaeger and Hailman 1976,Microhylidae,Anura,Amphibia
Kaloula_taprobanica,NOC,1,1,1,1,1,Rao et al 2005,Microhylidae,Anura,Amphibia
Microhyla_heymonsi,NOC,1,1,1,1,1,Hsu et al 2005,Microhylidae,Anura,Amphibia
Microhyla_okinavensis,NOC,1,1,1,1,1,Kadota 2011,Microhylidae,Anura,Amphibia
Microhyla_ornata,NOC,1,1,1,1,1,Dey and Gupta 2002,Microhylidae,Anura,Amphibia
Micryletta_inornata,NOC,1,1,1,1,1,Phochayavanich et al 2010,Microhylidae,Anura,Amphibia
Oreophryne_clamata,NOC,1,1,1,1,1,Gunther 2005,Microhylidae,Anura,Amphibia
Otophryne_pyburni,DIU,2,2,0,2,0,Renaud et al 2011,Microhylidae,Anura,Amphibia
Paradoxophyla_palmata,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Phrynomantis_bifasciatus,NOC,1,1,1,1,1,Spawls et al 2006,Microhylidae,Anura,Amphibia
Phrynomantis_microps,NOC,1,1,1,1,1,Hirschfeld and Rodel 2011,Microhylidae,Anura,Amphibia
Platypelis_grandis,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Plethodontohyla_mihanika,NOC,1,1,1,1,1,Vences et al 2003,Microhylidae,Anura,Amphibia
Plethodontohyla_notosticta,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Plethodontohyla_tuberata,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Scaphiophryne_calcarata,NOC,1,1,1,1,1,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Stumpffia_grandis,NOC,1,1,1,1,1,Andreone and Luiselli 2003,Microhylidae,Anura,Amphibia
Stumpffia_psologlossa,ARR,3,1,1,2,0,Glaw and Vences 1994,Microhylidae,Anura,Amphibia
Adelotus_brevis,NOC,1,1,1,1,1,Griffiths 1997,Myobatrachidae,Anura,Amphibia
Assa_darlingtoni,DIU,2,2,0,2,0,Lima et al 2000,Myobatrachidae,Anura,Amphibia
Crinia_signifera,NOC,1,1,1,1,1,Lauck 2006,Myobatrachidae,Anura,Amphibia
Limnodynastes_peronii,NOC,1,1,1,1,1,Daly et al 2008,Myobatrachidae,Anura,Amphibia
Limnodynastes_salmini,ARR,3,1,1,2,0,Cogger 1992,Myobatrachidae,Anura,Amphibia
Limnodynastes_tasmaniensis,NOC,1,1,1,1,1,Whitehead et al 1989,Myobatrachidae,Anura,Amphibia
Myobatrachus_gouldii,NOC,1,1,1,1,1,Roberts 1981,Myobatrachidae,Anura,Amphibia
Notaden_melanoscaphus,NOC,1,1,1,1,1,Cogger 1992,Myobatrachidae,Anura,Amphibia
Paracrinia_haswelli,NOC,1,1,1,1,1,Griffiths 1997,Myobatrachidae,Anura,Amphibia
Platyplectrum_spenceri,NOC,1,1,1,1,1,McDonald et al 2011,Myobatrachidae,Anura,Amphibia
Pseudophryne_coriacea,NOC,1,1,1,1,1,Daly 1998,Myobatrachidae,Anura,Amphibia
Rheobatrachus_silus,NOC,1,1,1,1,1,Cogger 1992,Myobatrachidae,Anura,Amphibia
Taudactylus_acutirostris,DIU,2,2,0,2,0,Williams and Hero 1998,Myobatrachidae,Anura,Amphibia
Odontophrynus_americanus,NOC,1,1,1,1,1,Gonzalez and Hamann 2009,Odontophrynidae,Anura,Amphibia
Proceratophrys_boiei,NOC,1,1,1,1,1,Giaretta and Facure 2008,Odontophrynidae,Anura,Amphibia
Pelobates_cultripes,NOC,1,1,1,1,1,Egea-Serrano et al 2006,Pelobatidae,Anura,Amphibia
Pelodytes_punctatus,NOC,1,1,1,1,1,Egea-Serrano et al 2006,Pelodytidae,Anura,Amphibia
Phrynobatrachus_acridoides,DIU,2,2,0,2,0,Spawls et al 2006,Phrynobatrachidae,Anura,Amphibia
Phrynobatrachus_dendrobates,DIU,2,2,0,2,0,Spawls et al 2006,Phrynobatrachidae,Anura,Amphibia
Phrynobatrachus_mababiensis,ARR,3,1,1,2,0,Spawls et al 2006,Phrynobatrachidae,Anura,Amphibia
Phrynobatrachus_natalensis,DIU,2,2,0,2,0,Spawls et al 2006,Phrynobatrachidae,Anura,Amphibia
Hymenochirus_boettgeri,NOC,1,1,1,1,1,Sokol 1962,Pipidae,Anura,Amphibia
Pipa_pipa,NOC,1,1,1,1,1,von May et al 2008,Pipidae,Anura,Amphibia
Xenopus_laevis,ARR,3,1,1,2,0,Behangana et al 2009,Pipidae,Anura,Amphibia
Xenopus_muelleri,ARR,3,1,1,2,0,Behangana et al 2009,Pipidae,Anura,Amphibia
Hildebrandtia_ornata,NOC,1,1,1,1,1,Channing 2001,Ptychadenidae,Anura,Amphibia
Ptychadena_anchietae,ARR,3,1,1,2,0,Spawls et al 2006,Ptychadenidae,Anura,Amphibia
Ptychadena_porosissima,ARR,3,1,1,2,0,Behangana et al 2009,Ptychadenidae,Anura,Amphibia
Amietia_angolensis,NOC,1,1,1,1,1,Behangana et al 2009,Pyxicephalidae,Anura,Amphibia
Anhydrophryne_rattrayi,NOC,1,1,1,1,1,Channing 2001,Pyxicephalidae,Anura,Amphibia
Cacosternum_boettgeri,ARR,3,1,1,2,0,Spawls et al 2006,Pyxicephalidae,Anura,Amphibia
Pyxicephalus_adspersus,DIU,2,2,0,2,0,Channing 2001,Pyxicephalidae,Anura,Amphibia
Pyxicephalus_edulis,NOC,1,1,1,1,1,Channing 2001,Pyxicephalidae,Anura,Amphibia
Tomopterna_cryptotis,NOC,1,1,1,1,1,Spawls et al 2006,Pyxicephalidae,Anura,Amphibia
Amnirana_albolabris,NOC,1,1,1,1,1,Behangana et al 2009,Ranidae,Anura,Amphibia
Amolops_marmoratus,NOC,1,1,1,1,1,Khatiwada 2011,Ranidae,Anura,Amphibia
Huia_cavitympanum,NOC,1,1,1,1,1,Das 2006,Ranidae,Anura,Amphibia
Odorrana_junlianensis,NOC,1,1,1,1,1,Bain and Stuart 2006,Ranidae,Anura,Amphibia
Odorrana_schmackeri,NOC,1,1,1,1,1,Li et al 2003,Ranidae,Anura,Amphibia
Odorrana_tormota,NOC,1,1,1,1,1,Shen et al 2008,Ranidae,Anura,Amphibia
Rana_adenopleura,NOC,1,1,1,1,1,Hsu et al 2005,Ranidae,Anura,Amphibia
Rana_aurora,NOC,1,1,1,1,1,Hayes and Tennant 1985,Ranidae,Anura,Amphibia
Rana_berlandieri,ARR,3,1,1,2,0,Lee 2000,Ranidae,Anura,Amphibia
Rana_boylii,DIU,2,2,0,2,0,Stebbins 2003,Ranidae,Anura,Amphibia
Rana_capito,NOC,1,1,1,1,1,Roznik and Johnson 2009,Ranidae,Anura,Amphibia
Rana_cascadae,DIU,2,2,0,2,0,Stebbins 2003,Ranidae,Anura,Amphibia
Rana_catesbeiana,NOC,1,1,1,1,1,Harding 2000,Ranidae,Anura,Amphibia
Rana_chalconota,NOC,1,1,1,1,1,Inger et al 2009,Ranidae,Anura,Amphibia
Rana_chiricahuensis,NOC,1,1,1,1,1,Degenhardt et al 1996,Ranidae,Anura,Amphibia
Rana_clamitans,NOC,1,1,1,1,1,Harding 2000,Ranidae,Anura,Amphibia
Rana_curtipes,NOC,1,1,1,1,1,Abraham et al 2001,Ranidae,Anura,Amphibia
Rana_dalmatina,NOC,1,1,1,1,1,Lode and Lesbarreres 2004,Ranidae,Anura,Amphibia
Rana_erythraea,NOC,1,1,1,1,1,Al-Ghaferi et al 2009,Ranidae,Anura,Amphibia
Rana_grylio,NOC,1,1,1,1,1,Lamb 1984,Ranidae,Anura,Amphibia
Rana_guentheri,NOC,1,1,1,1,1,Hsu et al 2005,Ranidae,Anura,Amphibia
Rana_heckscheri,NOC,1,1,1,1,1,Hansen 1957,Ranidae,Anura,Amphibia
Rana_hosii,NOC,1,1,1,1,1,Das 2006,Ranidae,Anura,Amphibia
Rana_iberica,ARR,3,1,1,2,0,Rodriguez-Prieto and Fernandez-Juricic 2004,Ranidae,Anura,Amphibia
Rana_japonica,DIU,2,2,0,2,0,Goris and Maeda 2004,Ranidae,Anura,Amphibia
Rana_latouchii,NOC,1,1,1,1,1,Hsu et al 2005,Ranidae,Anura,Amphibia
Rana_lessonae,NOC,1,1,1,1,1,Sjogren et al 1988,Ranidae,Anura,Amphibia
Rana_longicrus,NOC,1,1,1,1,1,Kuramoto et al 1984,Ranidae,Anura,Amphibia
Rana_luteiventris,NOC,1,1,1,1,1,Pilliod et al 2002,Ranidae,Anura,Amphibia
Rana_macrocnemis,NOC,1,1,1,1,1,Cicek 2011,Ranidae,Anura,Amphibia
Rana_muscosa,DIU,2,2,0,2,0,Stebbins 2003,Ranidae,Anura,Amphibia
Rana_narina,NOC,1,1,1,1,1,Goris and Maeda 2004,Ranidae,Anura,Amphibia
Rana_nigromaculata,NOC,1,1,1,1,1,Hirai and Matsui 2002,Ranidae,Anura,Amphibia
Rana_palmipes,ARR,3,1,1,2,0,Rodriguez and Duellman 1994,Ranidae,Anura,Amphibia
Rana_palustris,ARR,3,1,1,2,0,Harding 2000,Ranidae,Anura,Amphibia
Rana_pipiens,ARR,3,1,1,2,0,Oldfield and Moriarty 1994,Ranidae,Anura,Amphibia
Rana_pretiosa,DIU,2,2,0,2,0,Turner 1959,Ranidae,Anura,Amphibia
Rana_ridibunda,ARR,3,1,1,2,0,Hailey and Davies 1986,Ranidae,Anura,Amphibia
Rana_rugosa,NOC,1,1,1,1,1,Goris and Maeda 2004,Ranidae,Anura,Amphibia
Rana_signata,NOC,1,1,1,1,1,Das 2006,Ranidae,Anura,Amphibia
Rana_swinhoana,NOC,1,1,1,1,1,Lai et al 2005,Ranidae,Anura,Amphibia
Rana_sylvatica,DIU,2,2,0,2,0,Stebbins 2003,Ranidae,Anura,Amphibia
Rana_tarahumarae,NOC,1,1,1,1,1,Bursey and Goldberg 2001,Ranidae,Anura,Amphibia
Rana_temporaria,NOC,1,1,1,1,1,Savage 1934,Ranidae,Anura,Amphibia
Rana_vaillanti,NOC,1,1,1,1,1,Lee 2000,Ranidae,Anura,Amphibia
Rana_warszewitschii,DIU,2,2,0,2,0,Savage 2002,Ranidae,Anura,Amphibia
Staurois_latopalmatus,ARR,3,1,1,2,0,Boeckle et al 2009,Ranidae,Anura,Amphibia
Staurois_natator,NOC,1,1,1,1,1,Das 2006,Ranidae,Anura,Amphibia
Buergeria_buergeri,ARR,3,1,1,2,0,Goris and Maeda 2004,Rhacophoridae,Anura,Amphibia
Buergeria_japonica,NOC,1,1,1,1,1,Hsu et al 2005,Rhacophoridae,Anura,Amphibia
Chiromantis_rufescens,NOC,1,1,1,1,1,Behangana et al 2009,Rhacophoridae,Anura,Amphibia
Chiromantis_xerampelina,NOC,1,1,1,1,1,Coe 1974,Rhacophoridae,Anura,Amphibia
Kurixalus_eiffingeri,NOC,1,1,1,1,1,Chen et al 2011,Rhacophoridae,Anura,Amphibia
Nyctixalus_pictus,NOC,1,1,1,1,1,Das 2006,Rhacophoridae,Anura,Amphibia
Polypedates_cruciger,NOC,1,1,1,1,1,Ariyasiri et al 2011,Rhacophoridae,Anura,Amphibia
Polypedates_leucomystax,NOC,1,1,1,1,1,Narins et al 1998,Rhacophoridae,Anura,Amphibia
Polypedates_maculatus,NOC,1,1,1,1,1,Khatiwada 2011,Rhacophoridae,Anura,Amphibia
Polypedates_megacephalus,NOC,1,1,1,1,1,Christy et al 2007,Rhacophoridae,Anura,Amphibia
Rhacophorus_arboreus,NOC,1,1,1,1,1,Mori 1989,Rhacophoridae,Anura,Amphibia
Rhacophorus_bipunctatus,NOC,1,1,1,1,1,Harvey et al 2002,Rhacophoridae,Anura,Amphibia
Rhacophorus_lateralis,NOC,1,1,1,1,1,Harvey et al 2002,Rhacophoridae,Anura,Amphibia
Rhacophorus_reinwardtii,NOC,1,1,1,1,1,Harvey et al 2002,Rhacophoridae,Anura,Amphibia
Rhacophorus_schlegelii,NOC,1,1,1,1,1,Mori 1989,Rhacophoridae,Anura,Amphibia
Rhinophrynus_dorsalis,NOC,1,1,1,1,1,Savage 2002,Rhinophrynidae,Anura,Amphibia
Scaphiopus_couchii,NOC,1,1,1,1,1,Degenhardt et al 1996,Scaphiopodidae,Anura,Amphibia
Scaphiopus_holbrookii,NOC,1,1,1,1,1,Richmond 1947,Scaphiopodidae,Anura,Amphibia
Spea_bombifrons,NOC,1,1,1,1,1,Stebbins 2003,Scaphiopodidae,Anura,Amphibia
Spea_hammondii,NOC,1,1,1,1,1,Stebbins 2003,Scaphiopodidae,Anura,Amphibia
Spea_intermontana,NOC,1,1,1,1,1,Stebbins 2003,Scaphiopodidae,Anura,Amphibia
Spea_multiplicata,NOC,1,1,1,1,1,Stebbins 2003,Scaphiopodidae,Anura,Amphibia
Ambystoma_gracile,NOC,1,1,1,1,1,Stebbins 2003,Ambystomatidae,Caudata,Amphibia
Ambystoma_mexicanum,NOC,1,1,1,1,1,Anderson and Graham 1967,Ambystomatidae,Caudata,Amphibia
Ambystoma_opacum,NOC,1,1,1,1,1,Harding 2000,Ambystomatidae,Caudata,Amphibia
Amphiuma_means,NOC,1,1,1,1,1,Petranka 1998,Amphiumidae,Caudata,Amphibia
Andrias_japonicus,NOC,1,1,1,1,1,Goris and Maeda 2004,Cryptobranchidae,Caudata,Amphibia
Cryptobranchus_alleganiensis,NOC,1,1,1,1,1,Bishop 1941,Cryptobranchidae,Caudata,Amphibia
Dicamptodon_tenebrosus,NOC,1,1,1,1,1,Johnston 2000,Dicamptodontidae,Caudata,Amphibia
Batrachuperus_tibetanus,NOC,1,1,1,1,1,AmphibiaWeb 2014,Hynobiidae,Caudata,Amphibia
Hynobius_nebulosus,NOC,1,1,1,1,1,Goris and Maeda 2004,Hynobiidae,Caudata,Amphibia
Pseudohynobius_flavomaculatus,NOC,1,1,1,1,1,AmphibiaWeb 2014,Hynobiidae,Caudata,Amphibia
Aneides_lugubris,NOC,1,1,1,1,1,Stebbins 2003,Plethodontidae,Caudata,Amphibia
Batrachoseps_pacificus,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Bolitoglossa_dunni,NOC,1,1,1,1,1,McCranie and Wilson 2002,Plethodontidae,Caudata,Amphibia
Bolitoglossa_longissima,NOC,1,1,1,1,1,McCranie and Wilson 2002,Plethodontidae,Caudata,Amphibia
Bolitoglossa_rufescens,NOC,1,1,1,1,1,Lee 2000,Plethodontidae,Caudata,Amphibia
Bolitoglossa_subpalmata,NOC,1,1,1,1,1,Savage 2002,Plethodontidae,Caudata,Amphibia
Bradytriton_silus,NOC,1,1,1,1,1,AmphibiaWeb 2014,Plethodontidae,Caudata,Amphibia
Desmognathus_monticola,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Desmognathus_ochrophaeus,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Desmognathus_quadramaculatus,NOC,1,1,1,1,1,Peterman et al 2008,Plethodontidae,Caudata,Amphibia
Ensatina_eschscholtzii,DIU,2,2,0,2,0,Petranka 1998,Plethodontidae,Caudata,Amphibia
Eurycea_longicauda,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Gyrinophilus_porphyriticus,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Hydromantes_platycephalus,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Ixalotriton_niger,NOC,1,1,1,1,1,Wake and Johnson 1989,Plethodontidae,Caudata,Amphibia
Nototriton_barbouri,NOC,1,1,1,1,1,McCranie and Wilson 2002,Plethodontidae,Caudata,Amphibia
Nyctanolis_pernix,NOC,1,1,1,1,1,Elias and Wake 1983,Plethodontidae,Caudata,Amphibia
Phaeognathus_hubrichti,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Plethodon_cinereus,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Plethodon_elongatus,NOC,1,1,1,1,1,Stebbins 2003,Plethodontidae,Caudata,Amphibia
Plethodon_wehrlei,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Plethodon_yonahlossee,NOC,1,1,1,1,1,Petranka 1998,Plethodontidae,Caudata,Amphibia
Pseudoeurycea_bellii,NOC,1,1,1,1,1,AmphibiaWeb 2014,Plethodontidae,Caudata,Amphibia
Pseudotriton_ruber,NOC,1,1,1,1,1,Bishop 1941,Plethodontidae,Caudata,Amphibia
Necturus_maculosus,NOC,1,1,1,1,1,Petranka 1998,Proteidae,Caudata,Amphibia
Rhyacotriton_olympicus,NOC,1,1,1,1,1,Petranka 1998,Rhyacotritonidae,Caudata,Amphibia
Chioglossa_lusitanica,NOC,1,1,1,1,1,Sequeira et al 2001,Salamandridae,Caudata,Amphibia
Echinotriton_chinhaiensis,NOC,1,1,1,1,1,AmphibiaWeb 2014,Salamandridae,Caudata,Amphibia
Calotriton_asper,NOC,1,1,1,1,1,Poschadel et al 2007,Salamandridae,Caudata,Amphibia
Notophthalmus_viridescens,DIU,2,2,0,2,0,Petranka 1998,Salamandridae,Caudata,Amphibia
Pachytriton_labiatus,NOC,1,1,1,1,1,Kanto et al 2011,Salamandridae,Caudata,Amphibia
Salamandra_salamandra,NOC,1,1,1,1,1,Griffiths 1996,Salamandridae,Caudata,Amphibia
Salamandrina_perspicillata,NOC,1,1,1,1,1,AmphibiaWeb 2014,Salamandridae,Caudata,Amphibia
Taricha_rivularis,NOC,1,1,1,1,1,Petranka 1998,Salamandridae,Caudata,Amphibia
Triturus_marmoratus,ARR,3,1,1,2,0,AmphibiaWeb 2014,Salamandridae,Caudata,Amphibia
Siren_intermedia,NOC,1,1,1,1,1,Harding 2000,Sirenidae,Caudata,Amphibia
Dermophis_mexicanus,NOC,1,1,1,1,1,Wake 1985,Dermophiidae,Gymnophiona,Amphibia
Boulengerula_taitana,NOC,1,1,1,1,1,Spawls et al 2006,Herpelidae,Gymnophiona,Amphibia
