Species,State,Activity,NocGeiger,ActNOC,DiuGeiger,ActDIU,Lit,Family,Order,Class
Espadarana_prosoblepon,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_chirripoi,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_colymbiphyllum,NOC,1,1,1,1,1,Savage 2002,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_fleischmanni,NOC,1,1,1,1,1,Lee 2000,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_valerioi,NOC,1,1,1,1,1,Savage 2002,Centrolenidae,Anura,Amphibia
Teratohyla_midas,NOC,1,1,1,1,1,Schluter et al 2004,Centrolenidae,Anura,Amphibia
Teratohyla_spinosa,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Ceratophrys_cornuta,NOC,1,1,1,1,1,Duellman and Lizana 1994,Ceratophryidae,Anura,Amphibia
Ceratophrys_ornata,NOC,1,1,1,1,1,Toledo and Jared 1993,Ceratophryidae,Anura,Amphibia
Conraua_goliath,NOC,1,1,1,1,1,Sabater-Pi 1985,Conrauidae,Anura,Amphibia
Craugastor_augusti,NOC,1,1,1,1,1,Golberg and Schwalbe 2004,Craugastoridae,Anura,Amphibia
Craugastor_pygmaeus,NOC,1,1,1,1,1,Santos-Barrera and Urbina-Cardona 2011,Craugastoridae,Anura,Amphibia
Haddadus_binotatus,NOC,1,1,1,1,1,Almeida-Gomes et al 2010,Craugastoridae,Anura,Amphibia
Oreobates_quixensis,NOC,1,1,1,1,1,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Phrynopus_bracki,NOC,1,1,1,1,1,Hedges 1990,Craugastoridae,Anura,Amphibia
Pristimantis_acuminatus,ARR,3,1,1,2,0,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_altamazonicus,ARR,3,1,1,2,0,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_conspicillatus,NOC,1,1,1,1,1,Arroyo et al 2008,Craugastoridae,Anura,Amphibia
Pristimantis_diadematus,NOC,1,1,1,1,1,von May et al 2008,Craugastoridae,Anura,Amphibia
Pristimantis_ockendeni,ARR,3,1,1,2,0,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_peruvianus,NOC,1,1,1,1,1,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_unistrigatus,NOC,1,1,1,1,1,Arroyo et al 2008,Craugastoridae,Anura,Amphibia
Cycloramphus_acangatan,NOC,1,1,1,1,1,Lima et al 2010,Cycloramphidae,Anura,Amphibia
Cycloramphus_boraceiensis,ARR,3,1,1,2,0,Lima et al 2010,Cycloramphidae,Anura,Amphibia
Thoropa_miliaris,NOC,1,1,1,1,1,Siqueira et al 2006,Cycloramphidae,Anura,Amphibia
Allobates_femoralis,DIU,2,2,0,2,0,Schluter et al 2004,Dendrobatidae,Anura,Amphibia
Allobates_talamancae,DIU,2,2,0,2,0,Kubicki 2008,Dendrobatidae,Anura,Amphibia
Ameerega_bilinguis,DIU,2,2,0,2,0,Lynch and Arroyo 2009,Dendrobatidae,Anura,Amphibia
Ameerega_hahneli,DIU,2,2,0,2,0,Lynch and Arroyo 2009,Dendrobatidae,Anura,Amphibia
Ameerega_picta,DIU,2,2,0,2,0,Rodrigues et al 2011,Dendrobatidae,Anura,Amphibia
Ameerega_trivittata,DIU,2,2,0,2,0,Lynch and Arroyo 2009,Dendrobatidae,Anura,Amphibia
Anomaloglossus_stepheni,DIU,2,2,0,2,0,Menin et al 2007,Dendrobatidae,Anura,Amphibia
Dendrobates_auratus,DIU,2,2,0,2,0,Savage 2002,Dendrobatidae,Anura,Amphibia
Dendrobates_castaneoticus,DIU,2,2,0,2,0,Rodrigues et al 2011,Dendrobatidae,Anura,Amphibia
Dendrobates_histrionicus,DIU,2,2,0,2,0,Rodrigues et al 2011,Dendrobatidae,Anura,Amphibia
Dendrobates_lehmanni,DIU,2,2,0,2,0,Daly 1998,Dendrobatidae,Anura,Amphibia
Dendrobates_leucomelas,DIU,2,2,0,2,0,Summers 1989,Dendrobatidae,Anura,Amphibia
Dendrobates_pumilio,DIU,2,2,0,2,0,Savage 2002,Dendrobatidae,Anura,Amphibia
Dendrobates_reticulatus,DIU,2,2,0,2,0,Rodriguez and Duellman 1994,Dendrobatidae,Anura,Amphibia
Dendrobates_steyermarki,DIU,2,2,0,2,0,Maxson and Myers 1985,Dendrobatidae,Anura,Amphibia
Dendrobates_ventrimaculatus,DIU,2,2,0,2,0,Schluter et al 2004,Dendrobatidae,Anura,Amphibia
Epipedobates_machalilla,DIU,2,2,0,2,0,Santos et al 2003,Dendrobatidae,Anura,Amphibia
Phyllobates_terribilis,DIU,2,2,0,2,0,Daly 1998,Dendrobatidae,Anura,Amphibia
Phyllobates_vittatus,DIU,2,2,0,2,0,Savage 2002,Dendrobatidae,Anura,Amphibia
Silverstoneia_flotator,DIU,2,2,0,2,0,Kubicki 2008,Dendrobatidae,Anura,Amphibia
Euphlyctis_cyanophlyctis,NOC,1,1,1,1,1,Khatiwada 2011,Dicroglossidae,Anura,Amphibia
Fejervarya_cancrivora,NOC,1,1,1,1,1,Wygoda et al 2011,Dicroglossidae,Anura,Amphibia
Hoplobatrachus_occipitalis,ARR,3,1,1,2,0,Behangana et al 2009,Dicroglossidae,Anura,Amphibia
Hoplobatrachus_tigerinus,NOC,1,1,1,1,1,Abraham et al 2001,Dicroglossidae,Anura,Amphibia
Ingerana_baluensis,NOC,1,1,1,1,1,Das 2006,Dicroglossidae,Anura,Amphibia
Limnonectes_blythii,NOC,1,1,1,1,1,Chan and Goh 2010,Dicroglossidae,Anura,Amphibia
Limnonectes_finchi,NOC,1,1,1,1,1,Das 2006,Dicroglossidae,Anura,Amphibia
Limnonectes_kuhlii,NOC,1,1,1,1,1,Tsuji and Lue 2000,Dicroglossidae,Anura,Amphibia
Limnonectes_leporinus,NOC,1,1,1,1,1,Das 2006,Dicroglossidae,Anura,Amphibia
Nannophrys_ceylonensis,NOC,1,1,1,1,1,Wickramasinghe et al 2004,Dicroglossidae,Anura,Amphibia
Occidozyga_laevis,NOC,1,1,1,1,1,Ibrahim et al 2003,Dicroglossidae,Anura,Amphibia
Sphaerotheca_breviceps,NOC,1,1,1,1,1,Khatiwada 2011,Dicroglossidae,Anura,Amphibia
Adelophryne_gutturosa,DIU,2,2,0,2,0,Hoogmoed et al 1994,Eleutherodactylidae,Anura,Amphibia
Eleutherodactylus_abbotti,DIU,2,2,0,2,0,Schwartz and Henderson 1991,Eleutherodactylidae,Anura,Amphibia
